distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-05-31,151,0.18284156918525696
0.1,2018,2018-09-28,271,0.09177939593791962
0.2,2018,2018-05-31,151,0.1784115582704544
0.3,2018,2018-05-07,127,0.20476573705673218
0.4,2018,2018-05-31,151,0.13782721757888794
0.5,2018,2018-08-23,235,0.1316174864768982
0.6,2018,2018-06-24,175,0.21205541491508484
0.7,2018,2018-06-24,175,0.21810562908649445
0.8,2018,2018-06-24,175,0.2222713977098465
0.9,2018,2018-06-24,175,0.23054663836956024
1.0,2018,2018-03-08,67,0.27734649181365967
1.1,2018,2018-03-08,67,0.30573078989982605
1.2,2018,2018-09-04,247,0.343691885471344
1.3,2018,2018-03-08,67,0.26703301072120667
1.4,2018,2018-03-08,67,0.2118901163339615
1.5,2018,2018-05-31,151,0.19925940036773682
1.6,2018,2018-05-31,151,0.2095167338848114
1.7,2018,2018-05-07,127,0.18527770042419434
1.8,2018,2018-07-18,199,0.1945600062608719
1.9,2018,2018-06-24,175,0.27192315459251404
2.0,2018,2018-05-19,139,0.2642118036746979
2.1,2018,2018-05-19,139,0.4213780164718628
2.2,2018,2018-05-19,139,0.4401126205921173
2.3,2018,2018-05-19,139,0.44280940294265747
2.4,2018,2018-05-19,139,0.4232538938522339
2.5,2018,2018-05-19,139,0.378296434879303
2.6,2018,2018-05-07,127,0.2966673970222473
2.7,2018,2018-03-20,79,0.331726610660553
2.8,2018,2018-09-04,247,0.22848185896873474
2.9,2018,2018-09-04,247,0.22437414526939392
3.0,2018,2018-09-04,247,0.33079439401626587
3.1,2018,2018-05-19,139,0.5277950167655945
3.2,2018,2018-05-19,139,0.3452180027961731
3.3,2018,2018-05-19,139,0.3491077125072479
3.4,2018,2018-09-04,247,0.32630059123039246
3.5,2018,2018-05-19,139,0.36796560883522034
3.6,2018,2018-05-19,139,0.35010701417922974
3.7,2018,2018-05-19,139,0.3447507321834564
3.8,2018,2018-05-19,139,0.5705422759056091
3.9,2018,2018-05-19,139,0.6667075753211975
4.0,2018,2018-05-19,139,0.44827577471733093
4.1,2018,2018-03-20,79,0.38710713386535645
4.2,2018,2018-03-20,79,0.3323119282722473
4.3,2018,2018-05-19,139,0.390479177236557
4.4,2018,2018-05-19,139,0.2864878177642822
