distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,176.57142857142858,136.5,216.0,7,True
0.1,210.85714285714286,147.5,267.5,7,True
0.2,198.85714285714286,146.0,257.0,7,True
0.3,150.85714285714286,85.5,198.0,7,True
0.4,186.85714285714286,127.0,255.5,7,True
0.5,173.14285714285714,103.5,242.5,7,True
0.6,192.0,127.0,261.5,7,True
0.7,166.28571428571428,102.5,224.0,7,True
0.8,137.14285714285714,83.0,160.5,7,True
0.9,159.42857142857142,110.5,212.5,7,True
1.0,149.14285714285714,96.0,193.5,7,True
1.1,144.0,96.0,188.5,7,True
1.2,207.42857142857142,186.0,253.5,7,True
1.3,171.42857142857142,95.0,260.5,7,True
1.4,149.14285714285714,96.0,203.0,7,True
1.5,157.71428571428572,129.5,167.0,7,True
1.6,133.71428571428572,113.5,158.5,7,True
1.7,154.28571428571428,125.0,171.5,7,True
1.8,174.85714285714286,136.0,206.0,7,True
1.9,164.57142857142858,141.5,188.0,7,True
2.0,159.42857142857142,134.5,191.5,7,True
2.1,145.71428571428572,134.5,153.5,7,True
2.2,150.85714285714286,141.5,157.5,7,True
2.3,144.0,119.0,153.5,7,True
2.4,140.57142857142858,118.0,145.0,7,True
2.5,152.57142857142858,138.0,159.5,7,True
2.6,156.0,149.0,160.0,7,True
2.7,157.71428571428572,121.5,189.5,7,True
2.8,171.42857142857142,149.0,207.5,7,True
2.9,198.85714285714286,176.5,222.0,7,True
3.0,210.85714285714286,168.0,249.5,7,True
3.1,173.14285714285714,147.5,182.5,7,True
3.2,173.14285714285714,147.5,182.5,7,True
3.3,135.42857142857142,87.5,160.5,7,True
3.4,198.85714285714286,160.0,249.5,7,True
3.5,145.71428571428572,117.5,150.0,7,True
3.6,161.14285714285714,131.5,187.5,7,True
3.7,180.0,131.5,233.0,7,True
3.8,162.85714285714286,130.5,205.5,7,True
3.9,154.28571428571428,108.0,189.5,7,True
4.0,140.57142857142858,97.5,150.0,7,True
4.1,130.28571428571428,89.0,159.5,7,True
4.2,89.14285714285714,71.5,107.0,7,True
4.3,138.85714285714286,66.0,201.5,7,True
4.4,156.0,111.5,190.0,7,True
4.5,186.85714285714286,136.5,246.0,7,True
4.6,157.71428571428572,121.5,189.5,7,True
4.7,159.42857142857142,127.5,189.5,7,True
