s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,632337.7913120002,3947878.156057479,5782.7993,0.0,0.076639056
0.1,632240.0724987678,3947897.672570527,5751.4453,22.310816,0.072350785
0.2,632152.4538552639,3947945.031581275,5612.0767,25.265362,0.07754397
0.3,632074.7982487641,3948007.250872664,5525.8745,25.283068,0.08337805
0.4,631981.0791242899,3948041.144794734,5466.135,34.913086,0.08637836
0.5,631882.9395049299,3948059.8963669133,5411.236,44.367683,0.087588884
0.6,631783.4859195227,3948070.0949932947,5344.977,62.790348,0.091756366
0.7,631683.646865019,3948075.4501708653,5327.6597,86.553825,0.09325345
0.8,631583.675970115,3948077.3424497684,5314.345,110.3915,0.094625644
0.9,631483.6882557499,3948076.5436945395,5284.3887,117.07005,0.094591975
1.0,631383.7817638615,3948072.541343782,5261.238,126.531265,0.09991479
1.1,631284.1688958661,3948064.0508139096,5235.459,147.08247,0.11635783
1.2,631185.348347276,3948049.060730971,5228.456,167.6704,0.11791231
1.3,631089.3725020043,3948021.732330304,5232.4985,174.75815,0.115851514
1.4,631006.5040007016,3947967.948649805,5214.515,168.29738,0.10245543
1.5,630917.6412805233,3947923.4217686495,5201.3394,176.77003,0.09531672
1.6,630820.3061467379,3947900.8712399635,5170.97,170.01883,0.092649
1.7,630721.2390130849,3947887.52965123,5163.6743,153.91586,0.09389316
1.8,630621.502931706,3947880.399530724,5157.998,154.6932,0.096377864
1.9,630521.5499525941,3947877.342449769,5151.943,159.77536,0.10340202
2.0,630421.5499525941,3947877.3424497684,5151.71,154.8393,0.10675459
2.1,630321.5603765246,3947875.987258628,5142.3784,139.84772,0.11624947
2.2,630221.6133660274,3947872.79815892,5133.942,124.57829,0.11774135
2.3,630121.819370627,3947866.5171379456,5119.584,110.02826,0.11638032
2.4,630022.4603164291,3947855.4252221687,5113.534,61.149693,0.11292113
2.5,629925.4646410319,3947832.1258699517,5108.3994,74.30795,0.112095416
2.6,629842.7037847776,3947776.6556987106,5078.6426,95.33766,0.113004856
2.7,629771.5704025069,3947706.471966072,5078.6426,157.88182,0.121408105
2.8,629706.8220636017,3947630.3013030365,5073.0107,180.28654,0.12901142
2.9,629646.255888784,3947550.7613332514,5053.098,182.33174,0.1350393
3.0,629600.0730081982,3947462.195427096,5049.743,173.94917,0.13673837
3.1,629564.3257571515,3947368.894210534,5034.792,161.70903,0.13520494
3.2,629536.387381708,3947272.9283786817,5018.315,159.6164,0.12889959
3.3,629514.2863220888,3947175.433945154,5002.7495,169.4165,0.12296234
3.4,629496.5914167688,3947077.0364157413,4990.875,179.37305,0.11942983
3.5,629482.2703588734,3946978.0851712585,4980.779,175.81737,0.1293288
3.6,629470.5738555341,3946878.779053334,4980.219,182.68584,0.13549133
3.7,629461.5202809295,3946779.1897326875,4971.9517,180.20938,0.14639905
3.8,629451.5550976112,3946679.6885949983,4965.259,180.30978,0.18241003
3.9,629440.5108169412,3946580.3030881197,4956.352,183.80766,0.17458913
4.0,629427.8404348777,3946481.114047814,4939.235,182.23282,0.1640378
4.1,629412.5571490614,3946382.298540146,4934.862,180.32007,0.13789234
4.2,629391.2065166953,3946284.672955875,4931.4233,188.9932,0.12693547
4.3,629354.7594065635,3946193.857111206,4926.194,180.86842,0.13124876
4.4,629343.0943836743,3946094.635918213,4917.1187,186.60207,0.1258774
4.5,629336.5672438085,3945994.865201279,4910.078,189.12886,0.12832418
4.6,629331.6228038196,3945894.9875135147,4899.6924,196.45847,0.11782662
4.7,629328.5551488969,3945795.034941429,4890.44,201.68892,0.11851879
4.8,629325.5262362337,3945695.080823514,4876.7905,202.91956,0.11511086
4.9,629323.5865932184,3945595.1001784983,4866.106,195.96931,0.118041866
5.0,629321.7464140655,3945495.1171112284,4867.8228,184.92532,0.13063242
5.1,629320.204886298,3945395.129756263,4854.7715,170.51837,0.13823105
5.2,629319.174013243,3945295.1350699007,4830.619,165.53111,0.13070004
5.3,629318.1431401882,3945195.140383538,4803.715,185.73836,0.13010198
5.4,629317.3102530512,3945095.1442366736,4780.062,213.1332,0.13342148
5.5,629316.8658129962,3944995.1452243133,4776.3223,231.34329,0.13563046
5.6,629316.4213729411,3944895.146211953,4774.7144,235.61394,0.13858545
5.7,629315.976932886,3944795.1471995926,4769.0757,234.8496,0.14118198
5.8,629315.8978006645,3944695.147375441,4762.7227,224.15007,0.14431283
5.9,629315.8978006643,3944595.147375441,4757.459,215.10873,0.14003958
6.0,629315.8978006642,3944495.147375441,4740.152,208.02774,0.13168277
6.1,629315.897800664,3944395.147375441,4731.767,206.72958,0.13025172
6.2,629309.7504353094,3944295.377578373,4734.439,205.76854,0.14056984
6.3,629302.2714404854,3944195.657647384,4724.8823,216.75226,0.14463687
6.4,629294.7924456614,3944095.937716395,4726.676,222.89513,0.14711398
6.5,629286.7982210935,3943996.278399103,4704.528,228.97865,0.14436048
6.6,629270.930411555,3943897.545361975,4699.004,224.9067,0.1443168
6.7,629255.0626020165,3943798.8123248476,4685.108,232.08205,0.1307692
6.8,629239.194792478,3943700.07928772,4674.863,240.1872,0.12176353
6.9,629218.543774508,3943602.349163833,4659.8394,247.19405,0.11844957
7.0,629193.4152611663,3943505.5578531837,4654.2466,260.32513,0.11716947
7.1,629168.2867478244,3943408.7665425343,4648.815,266.87463,0.12526716
7.2,629141.5731365803,3943312.4766788785,4634.933,277.45468,0.13389753
7.3,629106.4607924215,3943218.843761122,4626.648,266.26718,0.13681522
7.4,629071.3484482627,3943125.2108433647,4624.431,266.5903,0.13067053
7.5,629036.2361041039,3943031.577925608,4625.0513,295.37442,0.11512711
7.6,628991.1783658267,3942942.3355549746,4617.6304,293.31528,0.11558896
7.7,628945.6494342403,3942853.301199872,4620.464,308.89255,0.11986287
7.8,628900.1205026538,3942764.266844769,4616.15,318.47025,0.13087101
7.9,628845.5685500808,3942680.558374829,4608.877,321.36905,0.13536704
8.0,628789.6212645805,3942597.6735074217,4608.877,311.1073,0.14014798
8.1,628733.6739790803,3942514.7886400144,4599.1123,306.72366,0.13737173
8.2,628669.3106028182,3942438.3856522297,4591.0933,287.11417,0.13949364
8.3,628603.4601420313,3942363.127982759,4587.7563,289.91074,0.1439426
8.4,628537.6096812446,3942287.870313288,4584.608,284.23944,0.16447885
8.5,628464.1124454251,3942220.199911778,4573.798,270.5774,0.16408944
8.6,628389.3715135568,3942153.763527895,4573.5303,264.8476,0.15941893
8.7,628314.6305816884,3942087.327144012,4556.6406,267.01025,0.1688025
8.8,628238.2010670368,3942022.8496574825,4531.739,266.94205,0.18049787
8.9,628161.4728902389,3941958.7186440392,4534.0,262.1628,0.18929845
9.0,628084.4612499602,3941894.9399588997,4509.703,264.22446,0.19825579
9.1,628005.3888791987,3941833.722639601,4505.762,276.7485,0.19005215
9.2,627926.3165084372,3941772.505320302,4499.2695,279.3115,0.19092542
9.3,627845.3775615768,3941713.81947497,4501.577,278.62842,0.1955848
9.4,627763.5218923308,3941656.37690006,4495.2764,276.11053,0.20281278
9.5,627680.0291880667,3941601.423303554,4497.459,275.24573,0.2036183
9.6,627594.8633563963,3941549.013560987,4488.184,267.43515,0.20664352
9.7,627507.4132626321,3941500.6694941763,4484.2104,253.13644,0.20459627
9.8,627418.3527361415,3941455.191778521,4469.61,232.4714,0.20458455
9.9,627325.178900784,3941418.973345052,4468.8247,225.02257,0.20471314
10.0,627229.4428616012,3941391.081922404,4463.6104,201.49107,0.20427729
10.1,627130.9112444876,3941377.342449769,4442.7583,179.62103,0.20219773
10.2,627030.9320265246,3941376.136733419,4430.18,170.1471,0.20120013
10.3,626931.0956167427,3941370.8192048515,4416.212,181.77765,0.19888511
10.4,626831.7327803939,3941359.842664515,4394.296,199.44185,0.19709215
10.5,626734.1324347338,3941338.5879303766,4388.4453,208.3106,0.19603108
10.6,626642.8435240269,3941299.0351828174,4380.7534,219.41309,0.1917277
10.7,626563.7302641941,3941238.758681533,4379.7246,216.42722,0.18460087
10.8,626472.0257830374,3941199.1808444797,4373.2773,210.99283,0.17851155
10.9,626375.7286503663,3941172.35634861,4363.154,197.92578,0.17201571
11.0,626277.8959253053,3941151.7651660456,4358.0854,180.55788,0.1730169
11.1,626179.2127681146,3941135.6585654067,4350.982,168.81429,0.17412129
11.2,626080.040278677,3941122.860259521,4325.691,165.24026,0.17219043
11.3,625981.4934316217,3941105.9752493436,4312.955,168.25974,0.17133176
11.4,625883.8122755386,3941084.651472597,4303.438,181.92796,0.16888754
11.5,625787.0253024092,3941059.586285862,4291.543,186.90955,0.16826558
11.6,625691.1116447668,3941031.3573479047,4280.18,184.86624,0.16629049
11.7,625596.0226234155,3941000.4404882113,4271.708,184.05241,0.15550102
11.8,625501.7677255842,3940967.0336889806,4273.906,191.02426,0.15008911
11.9,625408.537999628,3940930.872771315,4262.1016,203.53532,0.14880091
12.0,625315.9817753325,3940893.0397802154,4253.4253,201.0826,0.14693548
12.1,625224.0219950296,3940853.7625381155,4246.285,206.89717,0.14564602
12.2,625132.9853472835,3940812.382243685,4240.9316,223.06998,0.14852153
12.3,625044.5838608942,3940765.868184399,4234.571,234.40297,0.1576414
12.4,624958.8177743055,3940714.590208508,4222.2754,248.97205,0.17323534
12.5,624877.7498514651,3940656.041153124,4213.3174,255.186,0.17656732
12.6,624802.0949635713,3940590.8101911526,4202.9546,267.386,0.18263243
12.7,624731.5195323008,3940520.1958573526,4199.5396,281.07794,0.18520951
12.8,624666.5838228292,3940444.228315425,4193.0757,274.14587,0.1894698
12.9,624610.0309872736,3940361.7554302406,4186.27,256.7731,0.189758
13.0,624561.183232275,3940274.634769828,4185.1113,270.7709,0.18602857
13.1,624519.0060172642,3940184.1353798034,4180.3823,291.0746,0.18370607
13.2,624483.2031531389,3940090.795408836,4176.1313,302.40378,0.1890843
13.3,624456.8914125588,3939994.3190267123,4173.4385,301.56372,0.19638118
13.4,624432.0449555767,3939897.4618863184,4164.3735,305.70477,0.2019472
13.5,624408.7258052015,3939800.2255815496,4163.7324,308.97693,0.20403387
13.6,624387.2850757174,3939702.5511472323,4162.674,306.0586,0.2075431
13.7,624368.4913246919,3939604.3350096485,4147.976,306.57675,0.20921338
13.8,624351.9576775181,3939505.7216698416,4144.324,302.72174,0.20209178
13.9,624338.0120250505,3939406.7133808965,4141.974,306.7931,0.19272663
14.0,624327.0398291601,3939307.332782214,4139.5684,307.9266,0.18850623
14.1,624319.4929152769,3939207.6333427825,4135.827,296.54105,0.18620798
14.2,624315.8978006642,3939107.713790121,4122.914,293.7881,0.17942566
14.3,624316.5410176457,3939007.7243318297,4115.609,296.6098,0.17335579
14.4,624320.6922795578,3938907.822505817,4108.8594,300.7109,0.16510329
14.5,624328.8976242398,3938808.177400328,4100.3633,312.70874,0.16590232
14.6,624341.7910413555,3938709.0363852745,4093.19,311.2382,0.16227064
