distance_km,year,onset_date,onset_doy
0.5,2017,2017-04-06,96
0.6,2017,2017-04-06,96
0.7,2017,2017-04-06,96
0.8,2017,2017-04-06,96
0.9,2017,2017-04-06,96
1.0,2017,2017-03-25,84
1.1,2017,2017-03-25,84
1.2,2017,2017-03-25,84
1.3,2017,2017-03-25,84
1.4,2017,2017-04-06,96
1.8,2017,2017-03-01,60
1.9,2017,2017-03-01,60
2.0,2017,2017-03-01,60
2.1,2017,2017-03-01,60
2.2,2017,2017-03-01,60
2.3,2017,2017-03-01,60
2.4,2017,2017-03-01,60
2.5,2017,2017-03-01,60
2.6,2017,2017-04-18,108
2.8,2017,2017-03-25,84
2.9,2017,2017-03-25,84
3.0,2017,2017-03-25,84
3.1,2017,2017-03-25,84
3.2,2017,2017-04-06,96
3.3,2017,2017-04-06,96
3.7,2017,2017-04-06,96
3.8,2017,2017-03-01,60
3.9,2017,2017-03-25,84
4.1,2017,2017-04-06,96
6.3,2017,2017-03-01,60
6.4,2017,2017-03-01,60
6.7,2017,2017-06-05,156
6.8,2017,2017-06-05,156
6.9,2017,2017-06-05,156
8.3,2017,2017-04-18,108
8.4,2017,2017-04-18,108
8.5,2017,2017-04-18,108
8.6,2017,2017-04-18,108
8.7,2017,2017-03-13,72
8.8,2017,2017-03-13,72
8.9,2017,2017-03-13,72
9.0,2017,2017-03-13,72
9.1,2017,2017-03-13,72
9.2,2017,2017-03-13,72
9.3,2017,2017-03-13,72
9.4,2017,2017-03-13,72
9.5,2017,2017-03-13,72
9.6,2017,2017-03-13,72
9.7,2017,2017-03-13,72
9.8,2017,2017-04-18,108
9.9,2017,2017-04-18,108
10.0,2017,2017-04-18,108
10.1,2017,2017-04-18,108
10.2,2017,2017-04-18,108
10.3,2017,2017-04-18,108
10.4,2017,2017-04-18,108
10.5,2017,2017-04-18,108
10.6,2017,2017-04-18,108
10.7,2017,2017-04-18,108
10.8,2017,2017-04-18,108
10.9,2017,2017-03-13,72
11.0,2017,2017-04-18,108
11.1,2017,2017-03-13,72
11.2,2017,2017-04-18,108
11.3,2017,2017-04-18,108
11.4,2017,2017-04-18,108
11.5,2017,2017-04-18,108
11.6,2017,2017-04-18,108
11.7,2017,2017-04-18,108
11.8,2017,2017-04-18,108
11.9,2017,2017-03-13,72
12.0,2017,2017-03-13,72
12.1,2017,2017-03-13,72
12.2,2017,2017-03-13,72
12.3,2017,2017-03-13,72
12.4,2017,2017-04-18,108
12.5,2017,2017-03-13,72
12.6,2017,2017-04-18,108
12.7,2017,2017-03-13,72
12.8,2017,2017-03-13,72
12.9,2017,2017-03-13,72
13.0,2017,2017-03-13,72
13.1,2017,2017-03-13,72
13.2,2017,2017-04-18,108
13.3,2017,2017-04-06,96
13.4,2017,2017-04-06,96
13.5,2017,2017-03-13,72
13.6,2017,2017-04-06,96
13.7,2017,2017-03-13,72
13.8,2017,2017-03-13,72
13.9,2017,2017-03-13,72
14.0,2017,2017-03-13,72
14.1,2017,2017-03-13,72
14.2,2017,2017-03-13,72
14.3,2017,2017-03-13,72
14.4,2017,2017-03-13,72
14.5,2017,2017-03-01,60
14.6,2017,2017-03-01,60
14.7,2017,2017-03-13,72
14.8,2017,2017-03-13,72
14.9,2017,2017-03-13,72
15.0,2017,2017-03-13,72
15.1,2017,2017-03-13,72
15.2,2017,2017-03-13,72
15.3,2017,2017-03-13,72
15.4,2017,2017-03-13,72
15.5,2017,2017-03-13,72
15.6,2017,2017-04-18,108
15.7,2017,2017-04-18,108
15.8,2017,2017-04-18,108
15.9,2017,2017-04-18,108
16.0,2017,2017-04-18,108
16.1,2017,2017-04-18,108
16.2,2017,2017-04-18,108
16.3,2017,2017-04-18,108
16.4,2017,2017-04-18,108
16.5,2017,2017-04-18,108
16.6,2017,2017-04-18,108
16.7,2017,2017-04-18,108
16.8,2017,2017-04-18,108
16.9,2017,2017-04-18,108
17.0,2017,2017-04-18,108
17.1,2017,2017-04-06,96
17.2,2017,2017-04-06,96
17.3,2017,2017-04-18,108
17.4,2017,2017-04-18,108
17.5,2017,2017-04-18,108
17.6,2017,2017-04-18,108
17.7,2017,2017-04-18,108
17.8,2017,2017-04-18,108
17.9,2017,2017-04-18,108
18.0,2017,2017-04-18,108
18.1,2017,2017-04-18,108
18.2,2017,2017-04-18,108
18.3,2017,2017-04-18,108
18.4,2017,2017-04-18,108
18.5,2017,2017-04-18,108
18.6,2017,2017-04-18,108
18.7,2017,2017-04-18,108
18.8,2017,2017-04-18,108
18.9,2017,2017-04-18,108
19.0,2017,2017-04-18,108
19.1,2017,2017-04-18,108
19.7,2017,2017-04-18,108
19.8,2017,2017-03-01,60
19.9,2017,2017-03-01,60
20.0,2017,2017-04-18,108
20.2,2017,2017-04-18,108
20.3,2017,2017-04-18,108
20.4,2017,2017-04-18,108
20.5,2017,2017-04-18,108
20.6,2017,2017-04-18,108
20.7,2017,2017-03-13,72
20.8,2017,2017-03-13,72
20.9,2017,2017-03-13,72
21.0,2017,2017-03-13,72
21.1,2017,2017-04-18,108
21.2,2017,2017-04-18,108
0.0,2018,2018-05-31,151
0.1,2018,2018-05-31,151
0.2,2018,2018-04-13,103
0.3,2018,2018-04-13,103
0.4,2018,2018-05-31,151
0.5,2018,2018-05-31,151
0.7,2018,2018-05-31,151
0.8,2018,2018-05-31,151
0.9,2018,2018-04-25,115
1.0,2018,2018-04-25,115
1.1,2018,2018-04-25,115
1.2,2018,2018-04-25,115
1.3,2018,2018-05-31,151
1.4,2018,2018-05-07,127
1.5,2018,2018-05-07,127
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.8,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.0,2018,2018-04-13,103
2.1,2018,2018-05-19,139
2.2,2018,2018-05-19,139
2.3,2018,2018-03-08,67
2.4,2018,2018-03-08,67
2.5,2018,2018-03-08,67
2.6,2018,2018-03-08,67
2.7,2018,2018-05-07,127
2.8,2018,2018-05-19,139
2.9,2018,2018-05-07,127
3.0,2018,2018-05-07,127
3.1,2018,2018-04-13,103
3.2,2018,2018-05-19,139
3.3,2018,2018-05-19,139
3.4,2018,2018-05-19,139
3.5,2018,2018-05-19,139
3.6,2018,2018-03-08,67
3.7,2018,2018-03-08,67
3.8,2018,2018-03-08,67
3.9,2018,2018-03-08,67
4.1,2018,2018-03-20,79
6.5,2018,2018-03-08,67
6.6,2018,2018-03-08,67
7.1,2018,2018-03-08,67
7.2,2018,2018-03-08,67
7.3,2018,2018-03-08,67
8.1,2018,2018-05-07,127
8.2,2018,2018-05-07,127
8.3,2018,2018-04-01,91
8.4,2018,2018-04-01,91
8.5,2018,2018-04-01,91
8.6,2018,2018-04-25,115
8.7,2018,2018-04-25,115
