distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,99.5,73.5,113.5,72,151,4,True
0.1,96.5,69.5,113.5,62,151,4,True
0.2,84.5,69.5,101.5,62,103,4,True
0.3,84.5,69.5,101.5,62,103,4,True
0.4,85.0,65.0,74.0,63,151,5,True
0.5,86.83333333333333,66.75,90.5,63,151,6,True
0.6,74.0,64.5,78.0,63,96,4,True
0.7,96.6,72.0,101.0,63,151,5,True
0.8,96.6,72.0,101.0,63,151,5,True
0.9,89.4,72.0,101.0,63,115,5,True
1.0,87.0,72.0,101.0,63,115,5,True
1.1,86.4,74.0,87.0,72,115,5,True
1.2,86.4,74.0,87.0,72,115,5,True
1.3,123.33333333333333,109.5,143.0,84,151,3,True
1.4,112.2,96.0,127.0,81,135,5,True
1.5,114.33333333333333,104.0,131.0,81,135,3,True
1.6,97.8,81.0,110.0,67,147,5,True
1.7,97.8,81.0,110.0,67,147,5,True
1.8,74.66666666666667,63.25,83.25,60,94,6,True
1.9,83.57142857142857,64.5,89.0,60,137,7,True
2.0,87.71428571428571,70.5,102.0,60,135,7,True
2.1,83.0,63.0,84.0,60,139,5,True
2.2,83.0,63.0,84.0,60,139,5,True
2.3,92.0,67.5,119.25,60,149,6,True
2.4,86.71428571428571,69.5,93.5,60,147,7,True
2.5,86.71428571428571,69.5,93.5,60,147,7,True
2.6,81.5,72.5,85.5,67,108,6,True
2.7,107.4,81.0,127.0,72,135,5,True
2.8,124.2,122.0,139.0,84,141,5,True
2.9,109.5,86.25,133.25,74,141,8,True
3.0,109.5,86.25,133.25,74,141,8,True
3.1,101.42857142857143,82.5,117.5,74,135,7,True
3.2,119.6,101.0,132.0,96,139,5,True
3.3,107.5,88.25,132.25,65,139,4,True
3.4,99.25,64.5,132.25,63,139,4,True
3.5,99.25,64.5,132.25,63,139,4,True
3.6,87.33333333333333,66.0,98.5,65,130,3,True
3.7,89.5,66.5,104.5,65,130,4,True
3.8,91.0,63.5,106.5,60,146,3,True
3.9,90.0,66.0,99.5,63,146,4,True
4.0,144.0,144.0,144.0,144,144,1,True
4.1,110.4,87.0,144.0,79,146,5,True
4.2,145.0,144.5,145.5,144,146,2,True
4.3,110.5,93.75,127.25,77,144,2,True
4.4,114.33333333333333,99.5,133.0,77,144,3,True
4.5,72.0,72.0,72.0,72,72,1,True
4.6,72.0,72.0,72.0,72,72,1,True
4.7,87.0,87.0,87.0,87,87,1,True
4.9,87.0,87.0,87.0,87,87,1,True
5.1,72.0,72.0,72.0,72,72,1,True
5.2,81.0,81.0,81.0,81,81,1,True
5.4,66.66666666666667,64.0,68.5,63,72,3,True
5.5,66.66666666666667,64.0,68.5,63,72,3,True
5.6,72.0,72.0,72.0,72,72,1,True
5.7,72.0,72.0,72.0,72,72,1,True
5.8,72.0,72.0,72.0,72,72,1,True
5.9,72.0,72.0,72.0,72,72,1,True
6.0,68.5,64.5,72.5,63,74,4,True
6.1,68.5,66.75,70.25,65,72,2,True
6.2,63.5,62.75,64.25,62,65,2,True
6.3,62.5,61.25,63.75,60,65,2,True
6.4,62.5,61.25,63.75,60,65,2,True
6.5,66.25,64.5,67.75,63,70,4,True
6.6,96.0,81.5,110.5,67,125,2,True
6.7,140.5,132.75,148.25,125,156,2,True
6.8,140.5,132.75,148.25,125,156,2,True
6.9,140.5,132.75,148.25,125,156,2,True
7.0,94.33333333333333,79.0,104.5,74,125,3,True
7.1,99.33333333333333,86.5,115.5,67,125,3,True
7.2,89.4,67.0,106.0,62,125,5,True
7.3,92.5,65.75,103.75,62,154,4,True
7.4,108.0,85.0,131.0,62,154,2,True
7.5,108.0,85.0,131.0,62,154,2,True
7.6,100.0,78.0,119.0,62,144,3,True
7.7,70.0,70.0,70.0,70,70,1,True
7.8,62.0,62.0,62.0,62,62,1,True
7.9,84.0,73.0,95.0,62,106,2,True
8.0,116.0,97.0,143.0,62,154,3,True
8.1,117.2,118.0,127.0,87,132,5,True
8.2,117.16666666666667,111.75,129.25,62,153,6,True
8.3,107.28571428571429,98.5,115.0,87,129,7,True
8.4,107.16666666666667,94.75,118.5,87,129,6,True
8.5,114.85714285714286,98.5,125.5,87,161,7,True
8.6,120.0,107.0,125.5,99,161,7,True
8.7,113.14285714285714,96.5,125.5,72,161,7,True
8.8,113.14285714285714,96.5,125.5,72,161,7,True
8.9,103.16666666666667,95.25,116.5,72,122,6,True
9.0,103.16666666666667,95.25,116.5,72,122,6,True
9.1,114.85714285714286,104.5,122.5,72,161,7,True
9.2,114.85714285714286,104.5,122.5,72,161,7,True
9.3,114.85714285714286,104.5,122.5,72,161,7,True
