distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-10-27,300,0.26044389605522156
0.1,2017,2017-10-27,300,0.3007963001728058
0.2,2017,2017-10-27,300,0.2856219410896301
0.3,2017,2017-10-27,300,0.22808246314525604
0.4,2017,2017-04-18,108,0.20043863356113434
0.5,2017,2017-04-06,96,0.19324766099452972
0.6,2017,2017-04-06,96,0.18889890611171722
0.7,2017,2017-08-16,228,0.16316011548042297
0.8,2017,2017-08-16,228,0.16930042207241058
0.9,2017,2017-08-16,228,0.1636020541191101
1.0,2017,2017-08-16,228,0.15887251496315002
1.1,2017,2017-03-25,84,0.20670847594738007
1.2,2017,2017-03-25,84,0.2161163091659546
1.3,2017,2017-03-25,84,0.23531179130077362
1.4,2017,2017-08-28,240,0.16390933096408844
1.5,2017,2017-08-28,240,0.16397130489349365
1.6,2017,2017-08-28,240,0.18042078614234924
1.7,2017,2017-08-28,240,0.18042078614234924
1.8,2017,2017-08-16,228,0.24800893664360046
1.9,2017,2017-08-16,228,0.25121578574180603
2.0,2017,2017-07-11,192,0.3970595896244049
2.1,2017,2017-07-11,192,0.43140774965286255
2.2,2017,2017-07-11,192,0.43140774965286255
2.3,2017,2017-08-16,228,0.31711235642433167
2.4,2017,2017-08-16,228,0.2623594105243683
2.5,2017,2017-08-16,228,0.2623594105243683
2.6,2017,2017-08-16,228,0.17770668864250183
2.7,2017,2017-08-28,240,0.16819854080677032
2.8,2017,2017-03-25,84,0.26261457800865173
2.9,2017,2017-03-25,84,0.25404196977615356
3.0,2017,2017-03-25,84,0.25404196977615356
3.1,2017,2017-03-25,84,0.19329003989696503
3.2,2017,2017-04-18,108,0.16707190871238708
3.3,2017,2017-10-27,300,0.28291642665863037
3.4,2017,2017-04-18,108,0.2358560711145401
3.5,2017,2017-04-18,108,0.2358560711145401
3.6,2017,2017-10-27,300,0.35340651869773865
3.7,2017,2017-04-06,96,0.3137403130531311
3.8,2017,2017-10-27,300,0.2833474278450012
3.9,2017,2017-04-06,96,0.30434373021125793
4.0,2017,2017-10-27,300,0.2679547965526581
4.1,2017,2017-04-06,96,0.3261866569519043
4.2,2017,2017-10-27,300,0.2874338626861572
4.3,2017,2017-10-27,300,0.306194543838501
4.4,2017,2017-10-27,300,0.30978429317474365
4.5,2017,2017-10-27,300,0.35848239064216614
4.6,2017,2017-10-27,300,0.35392728447914124
4.7,2017,2017-10-27,300,0.3721541166305542
4.8,2017,2017-10-27,300,0.3738521337509155
4.9,2017,2017-10-27,300,0.36957383155822754
5.0,2017,2017-10-27,300,0.4178468883037567
5.1,2017,2017-10-27,300,0.45682382583618164
5.2,2017,2017-10-27,300,0.4445628225803375
5.3,2017,2017-10-27,300,0.5256105065345764
5.4,2017,2017-10-27,300,0.5748307108879089
5.5,2017,2017-10-27,300,0.5748307108879089
5.6,2017,2017-10-27,300,0.5891978740692139
