distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,202.5,135.75,283.25,8,True
0.1,225.0,169.5,283.25,8,True
0.2,205.5,139.5,283.25,8,True
0.3,211.5,147.75,283.25,8,True
0.4,171.0,124.5,201.5,8,True
0.5,169.5,121.5,201.5,8,True
0.6,175.5,93.75,264.75,8,True
0.7,220.5,205.75,263.75,8,True
0.8,205.5,183.75,257.75,8,True
0.9,195.0,154.75,241.25,8,True
1.0,195.0,154.75,241.25,8,True
1.1,147.0,92.0,196.5,8,True
1.2,144.0,93.75,188.75,8,True
1.3,114.0,85.5,148.0,8,True
1.4,181.5,131.0,240.5,8,True
1.5,204.0,154.5,244.5,8,True
1.6,210.0,144.5,279.75,8,True
1.7,210.0,144.5,279.75,8,True
1.8,153.0,96.75,221.25,8,True
1.9,181.5,129.5,236.5,8,True
2.0,147.0,96.0,185.25,8,True
2.1,199.5,173.25,252.25,8,True
2.2,199.5,173.25,252.25,8,True
2.3,156.0,97.25,212.25,8,True
2.4,211.5,194.75,247.5,8,True
2.5,211.5,194.75,247.5,8,True
2.6,214.5,189.5,270.75,8,True
2.7,192.0,137.5,243.0,8,True
2.8,118.5,85.5,151.5,8,True
2.9,178.5,95.75,270.75,8,True
3.0,178.5,95.75,270.75,8,True
3.1,183.0,122.75,249.25,8,True
3.2,210.0,165.0,256.0,8,True
3.3,198.0,151.5,245.0,8,True
3.4,156.0,118.5,184.5,8,True
3.5,156.0,118.5,184.5,8,True
3.6,196.5,140.5,283.25,8,True
3.7,159.0,101.25,179.25,8,True
3.8,180.0,142.75,193.25,8,True
3.9,154.5,129.0,155.75,8,True
4.0,204.0,144.25,285.75,8,True
4.1,172.5,98.25,242.75,8,True
4.2,156.0,86.25,187.25,8,True
4.3,232.5,216.75,278.25,8,True
4.4,171.0,83.75,289.5,8,True
4.5,169.5,124.75,198.75,8,True
4.6,193.5,91.25,293.25,8,True
4.7,180.0,81.5,278.25,8,True
4.8,177.0,77.0,274.75,8,True
4.9,166.5,78.75,274.75,8,True
5.0,153.0,77.25,208.75,8,True
5.1,232.5,222.75,292.0,8,True
5.2,201.0,73.5,282.25,8,True
5.3,195.0,70.25,278.5,8,True
5.4,189.0,97.5,282.25,8,True
5.5,189.0,97.5,282.25,8,True
5.6,162.0,95.25,266.0,8,True
5.7,211.5,99.75,287.25,8,True
5.8,207.0,99.75,291.5,8,True
5.9,214.5,100.5,287.75,8,True
6.0,183.0,81.75,285.5,8,True
6.1,183.0,83.25,281.75,8,True
6.2,144.0,81.75,190.25,8,True
6.3,157.5,80.5,271.5,8,True
6.4,157.5,80.5,271.5,8,True
6.5,165.0,119.25,192.75,8,True
6.6,204.0,167.75,263.25,8,True
6.7,153.0,130.5,190.5,8,True
6.8,159.0,83.25,227.5,8,True
6.9,159.0,83.25,227.5,8,True
7.0,154.5,129.75,169.5,8,True
7.1,154.5,100.75,216.75,8,True
7.2,112.5,72.25,141.25,8,True
7.3,145.5,102.0,182.0,8,True
7.4,180.0,141.75,221.75,8,True
7.5,180.0,141.75,221.75,8,True
7.6,157.5,102.75,175.5,8,True
7.7,129.0,79.75,166.5,8,True
7.8,144.0,96.25,169.5,8,True
7.9,168.0,139.25,189.25,8,True
8.0,132.0,123.25,147.75,8,True
8.1,141.0,126.5,153.25,8,True
8.2,145.5,131.5,153.75,8,True
8.3,138.0,127.25,147.0,8,True
8.4,127.5,116.5,134.25,8,True
8.5,136.5,129.25,148.5,8,True
8.6,148.5,131.5,160.25,8,True
8.7,162.0,133.0,171.75,8,True
8.8,163.5,134.25,171.75,8,True
8.9,165.0,134.25,180.75,8,True
9.0,160.5,130.75,180.75,8,True
9.1,163.5,134.25,171.75,8,True
9.2,160.5,134.25,175.5,8,True
9.3,169.5,149.75,188.25,8,True
9.4,163.5,134.25,171.75,8,True
9.5,171.0,138.75,210.5,8,True
9.6,168.0,139.5,171.75,8,True
9.7,169.5,139.5,180.75,8,True
9.8,153.0,128.5,161.75,8,True
9.9,162.0,139.5,161.75,8,True
10.0,148.5,138.0,160.0,8,True
