s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,462817.2311688951,4037831.5835612197,6994.6177,32.347103,0.12797058
0.1,462717.2311688951,4037831.5835612183,6926.264,31.073753,0.12651587
0.2,462617.2311688951,4037831.583561218,6858.422,30.325834,0.12618224
0.3,462518.20685088285,4037839.858846525,6825.7456,35.098812,0.1263574
0.4,462424.13236567477,4037872.8040405014,6816.1055,34.790012,0.12483235
0.5,462335.84099005506,4037919.4725746587,6744.9277,27.390247,0.1221025
0.6,462252.046619535,4037973.9070405243,6758.949,33.91735,0.118463345
0.7,462171.44703172945,4038033.0136422724,6713.0713,33.060883,0.11061384
0.8,462093.0886294531,4038095.126736993,6690.9136,32.80207,0.10454956
0.9,462017.5853176135,4038160.695402537,6625.7227,40.886852,0.09903798
1.0,461943.42262546776,4038227.7485273825,6585.5586,32.95691,0.09635791
1.1,461870.5243762027,4038296.2017614483,6568.8022,38.34055,0.09525941
1.2,461799.2821929512,4038366.3639577026,6549.1978,36.137966,0.093229845
1.3,461728.57151483285,4038437.0746358214,6538.666,36.649982,0.0917555
1.4,461657.1290572694,4038507.0440925704,6490.9194,33.29088,0.092176065
1.5,461585.41583753994,4038576.7362130056,6497.0645,36.70771,0.09568503
1.6,461512.65689692146,4038645.3374998746,6508.085,38.06575,0.1033541
1.7,461439.0138708267,4038712.9799468494,6535.5117,40.760895,0.11117454
1.8,461364.1195789432,4038779.2276470196,6487.8486,34.923336,0.11934563
1.9,461287.0692506297,4038842.938914256,6542.922,36.252537,0.13096683
2.0,461205.929905751,4038901.257650661,6652.0337,36.669216,0.13690351
2.1,461113.5633264304,4038930.083699405,6670.4927,33.973972,0.1410584
2.2,461024.70714586414,4038887.0669785407,6550.578,35.03011,0.13783734
2.3,460956.9139060957,4038813.9196643354,6529.1924,31.727436,0.13287464
2.4,460903.53505962464,4038729.551967721,6376.3223,35.921852,0.1251427
2.5,460872.1369397622,4038635.0296631847,6267.62,35.42938,0.11499678
2.6,460870.47636532894,4038535.5474369256,6162.5054,28.083443,0.10133028
2.7,460895.2767469136,4038438.8401334034,6055.332,31.862478,0.09319184
2.8,460907.2045415757,4038339.6904944773,5868.73,35.07246,0.09303174
2.9,460909.06258943497,4038239.738105448,5797.391,50.341373,0.0954782
3.0,460904.58247196046,4038139.8519752957,5774.8926,42.695675,0.09925519
3.1,460896.27420706896,4038040.2061346183,5725.9087,47.8121,0.10399686
3.2,460885.2178536311,4037940.8256747844,5661.2983,49.92858,0.10844927
3.3,460871.0786539248,4037841.8533417117,5606.1133,51.903976,0.11884707
3.4,460852.036420969,4037743.715803122,5548.3467,54.330547,0.124358706
3.5,460826.8550526014,4037646.9821823016,5455.6836,59.30282,0.12843744
3.6,460793.3858062622,4037552.8255310087,5371.3438,63.735344,0.13156828
3.7,460747.92052181315,4037463.892046261,5270.021,66.17171,0.13160364
3.8,460687.2877136004,4037384.8086853838,5215.6025,67.02916,0.13113363
3.9,460613.6957242379,4037317.192489694,5147.562,65.405846,0.12909563
4.0,460531.72883984604,4037260.1833114666,5113.335,64.82568,0.12820143
4.1,460436.9543044651,4037231.583561219,5059.2227,64.00564,0.12968083
4.2,460349.0651802096,4037188.728268915,5049.2793,62.958122,0.13399132
4.3,460274.589657856,4037122.11062964,5005.351,59.879192,0.14001878
4.4,460204.8960976361,4037050.424331003,4994.031,60.72019,0.14578529
4.5,460137.8030952952,4036976.2841449035,4948.0874,64.28328,0.15416536
4.6,460072.3714383353,4036900.6632064437,4908.905,67.60597,0.15557466
4.7,460008.5696518606,4036823.661050353,4874.9854,68.04618,0.15595756
4.8,459945.58840107,4036745.990825762,4820.12,70.23257,0.15867127
4.9,459883.14312005305,4036667.8849672033,4773.441,74.708435,0.16610703
5.0,459822.2771503087,4036588.5418280726,4712.9917,79.35986,0.17183363
5.1,459762.59440669237,4036508.3148099473,4701.2266,86.60619,0.17948012
5.2,459704.5940778805,4036426.867506675,4663.0195,90.97433,0.19725409
5.3,459649.1772748533,4036343.644925023,4622.81,90.89761,0.2230013
5.4,459598.02283048443,4036257.759013185,4585.3228,87.258934,0.256915
5.5,459554.5765631734,4036167.8042488485,4569.744,78.832,0.28511846
5.6,459534.0625894353,4036071.009506952,4547.8794,74.37885,0.31625572
5.7,459548.5391384815,4035972.252881382,4526.355,70.304306,0.2923135
5.8,459577.4069694552,4035876.5504211574,4489.307,68.63217,0.2729108
5.9,459613.6502656791,4035783.3789833174,4483.656,64.81368,0.25143
6.0,459654.5527233861,4035692.1404170394,4443.1,64.065796,0.22175966
6.1,459698.65507981676,4035602.3985804548,4406.996,67.38806,0.17144696
6.2,459736.50354874466,4035509.893063378,4308.4883,83.24236,0.13368991
6.3,459765.01337598555,4035414.1052183784,4244.1167,106.095795,0.112126306
6.4,459784.5210234597,4035316.1037400626,4215.6533,159.79068,0.11026247
6.5,459794.97193635686,4035216.7222145055,4199.7007,200.49289,0.11431358
6.6,459796.56258943456,4035116.7821539175,4189.767,235.8045,0.12454784
6.7,459789.13533664605,4035017.092791691,4177.5586,265.4914,0.1309927
6.8,459773.22678205185,4034918.432068443,4177.7954,274.73776,0.14101449
6.9,459747.4976021892,4034821.888599479,4172.382,291.1957,0.15010141
7.0,459712.3798641357,4034728.3581507457,4163.4966,292.90118,0.15459545
7.1,459668.58647257445,4034638.55648705,4153.366,292.16818,0.15830563
7.2,459617.0179061533,4034552.969050693,4139.8164,284.2744,0.16596268
7.3,459558.65992950427,4034471.843219205,4138.7056,278.7,0.1710768
7.4,459494.49444261857,4034395.215207869,4125.622,291.89227,0.17231065
7.5,459425.4357764226,4034322.9567482057,4111.1255,302.08322,0.17354791
7.6,459348.92973206256,4034258.9856663123,4101.665,319.43692,0.17511038
7.7,459264.8886404965,4034205.2159527065,4101.455,324.08063,0.17515075
7.8,459175.52753992425,4034160.669541414,4097.5146,325.88306,0.18590397
7.9,459082.519427676,4034123.999800716,4095.982,330.06253,0.19369097
8.0,458986.367032912,4034096.527687926,4090.5625,338.24234,0.20839164
8.1,458888.83008841716,4034074.845012634,4081.566,339.55634,0.22721724
8.2,458790.420780719,4034057.331583723,4076.4495,339.13812,0.2446666
8.3,458691.1057202867,4034045.6474589664,4072.8657,338.70883,0.27192396
8.4,458591.4678633328,4034037.727089538,4066.5012,338.6695,0.2868281
8.5,458491.61363600503,4034032.329563736,4064.2673,328.3277,0.29576904
8.6,458391.633783529,4034031.583561219,4060.6758,325.36667,0.30052277
8.7,458291.633783529,4034031.583561219,4052.398,312.2649,0.2986232
8.8,458191.72855948383,4034027.259700256,4047.6394,282.4772,0.2990571
8.9,458091.8918439414,4034021.891825525,4041.617,247.65845,0.30080995
9.0,457992.31777653587,4034012.6720044683,4026.7148,232.08478,0.30177733
9.1,457893.068597896,4034000.73885658,4016.4492,228.42502,0.3020188
9.2,457794.1326843595,4033986.1894575306,4008.05,212.7474,0.3016957
9.3,457696.1290036467,4033966.389064179,3996.849,239.55835,0.30008078
9.4,457598.79690445913,4033943.662537614,3977.3958,265.0636,0.29736423
9.5,457502.4451134959,4033916.898151236,3968.6301,281.027,0.29681295
9.6,457408.0673476811,4033883.9066891647,3961.0728,299.38876,0.28932258
9.7,457315.39998669975,4033846.526624094,3953.6755,327.515,0.28378305
9.8,457224.84026966797,4033804.2378280144,3950.7036,345.84363,0.2818239
9.9,457137.42454205564,4033755.6735348967,3946.6672,351.75732,0.27323246
10.0,457049.44685684174,4033708.136628284,3947.2314,365.01498,0.2586787
10.1,456960.82918186154,4033661.8076607496,3940.9856,377.6509,0.2539595
10.2,456871.3124444872,4033617.2452548714,3935.1077,386.745,0.24404782
10.3,456780.3684272661,4033575.694036014,3923.9592,389.24048,0.2442882
10.4,456686.70755608974,4033540.7985501033,3923.9805,395.19626,0.24833526
10.5,456588.81657753943,4033523.4851564607,3913.8196,392.08612,0.25338095
10.6,456501.05088628136,4033476.2424257835,3912.5605,387.88974,0.25699645
10.7,456422.47555754863,4033414.508962459,3907.3667,387.4814,0.26229802
10.8,456349.0933946122,4033346.6143663945,3903.316,386.94946,0.27267158
10.9,456281.0365169611,4033273.4618392047,3895.8552,378.3663,0.2793668
11.0,456219.7190221315,4033194.5304995733,3886.302,375.1452,0.27763042
11.1,456163.49433680286,4033111.8659215183,3877.4648,374.3153,0.27843025
11.2,456111.12861225434,4033026.69359925,3872.85,366.43417,0.27637193
11.3,456061.71788997826,4032939.7701865267,3865.3748,358.5428,0.27025077
11.4,456014.6007107553,4032851.5788501063,3857.2102,349.0442,0.27435935
11.5,455969.28912275925,4032762.4386688937,3847.861,343.43652,0.28291076
11.6,455925.9075608826,4032672.338501917,3835.9448,337.79156,0.28313
11.7,455884.03850185935,4032581.530568551,3827.4136,324.7534,0.28489828
