distance_km,year,onset_date,onset_doy
0.0,2017,2017-03-13,72
0.1,2017,2017-03-13,72
0.2,2017,2017-03-13,72
0.3,2017,2017-03-01,60
0.4,2017,2017-03-01,60
0.5,2017,2017-03-13,72
0.6,2017,2017-03-13,72
0.7,2017,2017-03-13,72
0.8,2017,2017-04-18,108
1.0,2017,2017-04-18,108
1.1,2017,2017-04-18,108
1.2,2017,2017-04-18,108
1.3,2017,2017-04-30,120
1.7,2017,2017-04-30,120
1.8,2017,2017-04-18,108
1.9,2017,2017-04-18,108
2.0,2017,2017-04-30,120
2.1,2017,2017-04-30,120
2.2,2017,2017-04-18,108
2.4,2017,2017-03-01,60
2.5,2017,2017-03-25,84
2.8,2017,2017-03-25,84
2.9,2017,2017-03-01,60
3.0,2017,2017-03-13,72
3.1,2017,2017-03-13,72
3.2,2017,2017-03-13,72
3.8,2017,2017-04-06,96
4.0,2017,2017-05-12,132
4.1,2017,2017-04-30,120
4.2,2017,2017-03-13,72
4.3,2017,2017-03-13,72
4.4,2017,2017-03-13,72
4.5,2017,2017-03-25,84
4.8,2017,2017-04-30,120
4.9,2017,2017-04-30,120
5.5,2017,2017-03-13,72
5.6,2017,2017-03-13,72
5.7,2017,2017-03-13,72
5.8,2017,2017-03-25,84
40.8,2017,2017-04-30,120
40.9,2017,2017-04-30,120
41.0,2017,2017-04-06,96
41.1,2017,2017-04-30,120
41.4,2017,2017-04-30,120
41.5,2017,2017-04-30,120
41.6,2017,2017-04-30,120
41.9,2017,2017-04-30,120
42.0,2017,2017-04-06,96
42.1,2017,2017-04-06,96
42.2,2017,2017-04-06,96
42.3,2017,2017-04-06,96
45.8,2017,2017-03-25,84
45.9,2017,2017-03-25,84
46.3,2017,2017-04-06,96
46.4,2017,2017-04-06,96
46.6,2017,2017-04-18,108
46.7,2017,2017-04-18,108
46.8,2017,2017-04-18,108
46.9,2017,2017-04-18,108
47.0,2017,2017-04-18,108
47.1,2017,2017-04-06,96
47.2,2017,2017-04-30,120
47.3,2017,2017-04-06,96
47.4,2017,2017-04-06,96
47.5,2017,2017-04-06,96
47.6,2017,2017-03-01,60
48.0,2017,2017-06-05,156
48.1,2017,2017-04-18,108
48.2,2017,2017-03-13,72
48.3,2017,2017-04-18,108
49.2,2017,2017-05-12,132
49.3,2017,2017-05-12,132
49.4,2017,2017-05-12,132
49.5,2017,2017-05-12,132
49.6,2017,2017-05-12,132
49.7,2017,2017-05-12,132
