distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,72.0,72.0,72.0,72,72,1,True
0.1,111.5,91.75,131.25,72,151,2,True
0.2,111.5,91.75,131.25,72,151,2,True
0.3,105.5,82.75,128.25,60,151,2,True
0.4,105.5,82.75,128.25,60,151,2,True
0.5,95.0,67.0,111.5,62,151,3,True
0.6,87.0,75.5,94.5,72,110,3,True
0.7,71.0,67.0,75.5,62,79,3,True
0.8,93.5,86.25,100.75,79,108,2,True
0.9,79.0,79.0,79.0,79,79,1,True
1.0,93.5,86.25,100.75,79,108,2,True
1.1,93.5,86.25,100.75,79,108,2,True
1.2,99.5,95.25,103.75,91,108,2,True
1.3,133.5,126.75,140.25,120,147,2,True
1.4,147.0,147.0,147.0,147,147,1,True
1.5,147.0,147.0,147.0,147,147,1,True
1.6,147.0,147.0,147.0,147,147,1,True
1.7,121.5,120.75,122.25,120,123,2,True
1.8,115.5,111.75,119.25,108,123,2,True
1.9,104.33333333333333,95.0,115.5,82,123,3,True
2.0,114.75,103.0,126.75,82,147,4,True
2.1,114.75,103.0,126.75,82,147,4,True
2.2,84.0,72.0,95.0,62,108,3,True
2.3,114.33333333333333,96.0,130.5,82,151,3,True
2.4,100.75,76.5,120.25,60,151,4,True
2.5,91.0,81.5,97.0,79,110,3,True
2.6,79.0,79.0,79.0,79,79,1,True
2.7,79.0,79.0,79.0,79,79,1,True
2.8,84.0,84.0,84.0,84,84,1,True
2.9,60.0,60.0,60.0,60,60,1,True
3.0,72.0,72.0,72.0,72,72,1,True
3.1,72.0,72.0,72.0,72,72,1,True
3.2,72.0,72.0,72.0,72,72,1,True
3.8,96.0,96.0,96.0,96,96,1,True
4.0,132.0,132.0,132.0,132,132,1,True
4.1,120.0,120.0,120.0,120,120,1,True
4.2,67.0,64.5,69.5,62,72,2,True
4.3,72.0,72.0,72.0,72,72,1,True
4.4,72.0,72.0,72.0,72,72,1,True
4.5,84.0,84.0,84.0,84,84,1,True
4.6,115.33333333333333,111.5,120.5,105,123,3,True
4.7,92.83333333333333,74.0,104.0,63,132,6,True
4.8,100.5,78.25,120.5,63,132,8,True
4.9,97.28571428571429,83.5,111.5,70,120,7,True
5.0,93.5,88.0,99.75,81,103,6,True
5.1,101.25,92.0,108.75,86,120,4,True
5.2,117.33333333333333,113.5,123.5,105,125,3,True
5.3,140.66666666666666,135.5,150.0,122,151,3,True
5.4,106.0,98.0,120.5,77,122,4,True
5.5,87.71428571428571,72.0,101.5,63,127,7,True
5.6,93.5,72.0,117.75,63,127,6,True
5.7,83.0,72.0,81.0,63,127,5,True
5.8,83.57142857142857,69.5,89.0,65,122,7,True
5.9,96.0,77.0,108.0,67,129,5,True
