distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-09-21,264,0.29189515113830566
0.1,2017,2017-04-30,120,0.23619134724140167
0.2,2017,2017-04-30,120,0.23619134724140167
0.3,2017,2017-04-18,108,0.19874773919582367
0.4,2017,2017-04-18,108,0.19874773919582367
0.5,2017,2017-04-18,108,0.21677571535110474
0.6,2017,2017-09-09,252,0.2765807509422302
0.7,2017,2017-09-09,252,0.268105149269104
0.8,2017,2017-09-09,252,0.31025752425193787
0.9,2017,2017-04-30,120,0.30786076188087463
1.0,2017,2017-03-25,84,0.3386152982711792
1.1,2017,2017-09-09,252,0.26840415596961975
1.2,2017,2017-09-09,252,0.27225586771965027
1.3,2017,2017-04-30,120,0.276141881942749
1.4,2017,2017-03-25,84,0.3664986193180084
1.5,2017,2017-03-25,84,0.3118210434913635
1.6,2017,2017-03-25,84,0.3118210434913635
1.7,2017,2017-05-12,132,0.3216426968574524
1.8,2017,2017-05-12,132,0.3295062780380249
1.9,2017,2017-04-18,108,0.3675110638141632
2.0,2017,2017-10-27,300,0.36473262310028076
2.1,2017,2017-10-27,300,0.36473262310028076
2.2,2017,2017-04-18,108,0.35057249665260315
2.3,2017,2017-08-28,240,0.2019759565591812
2.4,2017,2017-04-06,96,0.1673409789800644
2.5,2017,2017-04-30,120,0.14273543655872345
2.6,2017,2017-03-25,84,0.20231889188289642
2.7,2017,2017-03-25,84,0.20231889188289642
2.8,2017,2017-03-25,84,0.3188396990299225
2.9,2017,2017-04-30,120,0.2835044264793396
3.0,2017,2017-03-25,84,0.511044979095459
3.1,2017,2017-03-13,72,0.7215360403060913
3.2,2017,2017-03-13,72,0.7215360403060913
3.3,2017,2017-03-13,72,0.8350836634635925
3.4,2017,2017-04-18,108,0.8126625418663025
3.5,2017,2017-03-13,72,0.6263114213943481
3.6,2017,2017-04-18,108,0.9096461534500122
3.7,2017,2017-04-18,108,0.9096461534500122
3.8,2017,2017-04-18,108,0.8134426474571228
3.9,2017,2017-03-13,72,0.8204821348190308
4.0,2017,2017-03-13,72,1.0339711904525757
4.1,2017,2017-05-12,132,0.8239749073982239
4.2,2017,2017-05-12,132,1.0017671585083008
4.3,2017,2017-07-23,204,1.2282521724700928
4.4,2017,2017-06-29,180,0.9195266962051392
4.5,2017,2017-05-12,132,0.7306182384490967
4.6,2017,2017-05-12,132,0.8899098038673401
4.7,2017,2017-05-12,132,0.8899098038673401
4.8,2017,2017-04-30,120,0.9577556252479553
4.9,2017,2017-09-09,252,1.0802044868469238
5.0,2017,2017-05-12,132,1.1600236892700195
5.1,2017,2017-05-12,132,0.8881059885025024
5.2,2017,2017-07-23,204,0.7895362377166748
5.3,2017,2017-08-28,240,1.4074231386184692
5.4,2017,2017-08-16,228,1.5195302963256836
5.5,2017,2017-03-13,72,1.3348255157470703
5.6,2017,2017-03-13,72,1.195607304573059
5.7,2017,2017-03-13,72,1.4019001722335815
5.8,2017,2017-04-30,120,0.880698561668396
5.9,2017,2017-06-05,156,0.8307724595069885
6.0,2017,2017-06-05,156,0.8307724595069885
6.1,2017,2017-10-15,288,0.6110686659812927
40.5,2017,2017-10-27,300,0.07849591970443726
40.6,2017,2017-10-27,300,0.07877331972122192
40.7,2017,2017-08-28,240,0.12233606725931168
40.8,2017,2017-05-12,132,0.143450528383255
40.9,2017,2017-04-30,120,0.1492278277873993
41.0,2017,2017-05-12,132,0.14419148862361908
41.1,2017,2017-04-30,120,0.1558653861284256
41.2,2017,2017-05-12,132,0.15159039199352264
41.3,2017,2017-08-28,240,0.13740187883377075
41.4,2017,2017-04-30,120,0.14092297852039337
41.5,2017,2017-04-30,120,0.16167694330215454
41.6,2017,2017-04-30,120,0.16166457533836365
41.7,2017,2017-05-12,132,0.15852241218090057
41.8,2017,2017-05-12,132,0.19300852715969086
41.9,2017,2017-05-12,132,0.14894713461399078
42.0,2017,2017-05-12,132,0.1495741903781891
42.1,2017,2017-05-12,132,0.16462288796901703
42.2,2017,2017-05-12,132,0.1677657812833786
42.3,2017,2017-05-12,132,0.1810723841190338
42.4,2017,2017-05-12,132,0.1985313892364502
42.5,2017,2017-05-12,132,0.19497418403625488
42.6,2017,2017-05-12,132,0.19497418403625488
42.7,2017,2017-05-12,132,0.17780037224292755
42.8,2017,2017-05-12,132,0.20010876655578613
42.9,2017,2017-05-12,132,0.20113733410835266
43.0,2017,2017-05-12,132,0.19202473759651184
43.1,2017,2017-04-30,120,0.19925184547901154
43.2,2017,2017-05-12,132,0.23211899399757385
43.3,2017,2017-05-12,132,0.23211899399757385
43.4,2017,2017-04-30,120,0.21575145423412323
43.5,2017,2017-04-30,120,0.21161024272441864
43.6,2017,2017-04-30,120,0.2375715672969818
43.7,2017,2017-04-30,120,0.24807307124137878
43.8,2017,2017-04-30,120,0.259378582239151
43.9,2017,2017-06-05,156,0.2511654794216156
44.0,2017,2017-04-30,120,0.23519180715084076
44.1,2017,2017-06-05,156,0.24965998530387878
44.2,2017,2017-04-06,96,0.2746228575706482
44.3,2017,2017-04-06,96,0.28626325726509094
44.4,2017,2017-04-18,108,0.31429529190063477
44.5,2017,2017-05-12,132,0.32609260082244873
44.6,2017,2017-04-18,108,0.29177454113960266
44.7,2017,2017-04-18,108,0.28863969445228577
44.8,2017,2017-04-18,108,0.28814008831977844
44.9,2017,2017-04-18,108,0.29210716485977173
45.0,2017,2017-04-18,108,0.2827715277671814
45.1,2017,2017-04-18,108,0.27866414189338684
45.2,2017,2017-04-18,108,0.275780588388443
45.3,2017,2017-04-18,108,0.26081153750419617
45.4,2017,2017-04-18,108,0.25427860021591187
45.5,2017,2017-04-18,108,0.2576950788497925
45.6,2017,2017-04-18,108,0.2508857250213623
45.7,2017,2017-04-18,108,0.24960874021053314
45.8,2017,2017-04-18,108,0.24560634791851044
45.9,2017,2017-04-18,108,0.23905207216739655
46.0,2017,2017-04-18,108,0.23147687315940857
46.1,2017,2017-04-18,108,0.2268202006816864
46.2,2017,2017-04-18,108,0.22743988037109375
46.3,2017,2017-04-06,96,0.2337987869977951
46.4,2017,2017-04-18,108,0.23944291472434998
46.5,2017,2017-04-18,108,0.2525867819786072
46.6,2017,2017-04-18,108,0.21845924854278564
46.7,2017,2017-04-18,108,0.21225662529468536
