distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,235.5,226.75,267.75,8,True
0.1,148.5,100.5,178.75,8,True
0.2,148.5,100.5,178.75,8,True
0.3,162.0,100.5,262.5,8,True
0.4,162.0,100.5,262.5,8,True
0.5,210.0,177.75,262.5,8,True
0.6,165.0,103.5,225.0,8,True
0.7,165.0,103.5,225.0,8,True
0.8,171.0,120.0,225.0,8,True
0.9,145.5,103.5,154.5,8,True
1.0,148.5,96.75,184.5,8,True
1.1,169.5,116.5,225.0,8,True
1.2,193.5,132.75,254.5,8,True
1.3,177.0,131.25,224.25,8,True
1.4,156.0,99.75,192.75,8,True
1.5,163.5,126.75,192.75,8,True
1.6,163.5,126.75,192.75,8,True
1.7,201.0,153.75,245.0,8,True
1.8,180.0,99.0,267.75,8,True
1.9,217.5,171.5,257.25,8,True
2.0,178.5,90.75,274.75,8,True
2.1,178.5,90.75,274.75,8,True
2.2,145.5,85.75,175.5,8,True
2.3,202.5,191.75,241.75,8,True
2.4,127.5,105.0,142.5,8,True
2.5,144.0,109.5,151.5,8,True
2.6,141.0,77.75,165.75,8,True
2.7,141.0,77.75,165.75,8,True
2.8,94.5,72.25,111.75,8,True
2.9,127.5,107.25,137.75,8,True
3.0,118.5,95.25,136.25,8,True
3.1,130.5,77.25,140.75,8,True
3.2,130.5,77.25,140.75,8,True
3.3,114.0,71.5,119.25,8,True
3.4,85.5,66.5,96.75,8,True
3.5,123.0,71.5,132.75,8,True
3.6,133.5,80.5,146.25,8,True
3.7,133.5,80.5,146.25,8,True
3.8,135.0,108.0,140.5,8,True
3.9,129.0,99.0,137.5,8,True
4.0,157.5,109.5,179.25,8,True
4.1,189.0,126.0,259.5,8,True
4.2,175.5,120.0,259.5,8,True
4.3,169.5,112.5,216.75,8,True
4.4,153.0,104.5,186.0,8,True
4.5,171.0,122.5,220.5,8,True
4.6,151.5,131.5,171.75,8,True
4.7,151.5,97.25,180.75,8,True
4.8,165.0,104.75,217.25,8,True
4.9,190.5,140.25,255.0,8,True
5.0,178.5,135.75,242.25,8,True
5.1,187.5,142.5,235.0,8,True
5.2,217.5,199.5,248.75,8,True
5.3,192.0,160.25,224.25,8,True
5.4,207.0,173.0,232.75,8,True
5.5,183.0,143.0,244.0,8,True
5.6,195.0,93.5,277.25,8,True
5.7,150.0,105.75,196.25,8,True
5.8,156.0,120.0,198.25,8,True
5.9,141.0,115.25,161.25,8,True
6.0,121.5,90.25,139.5,8,True
6.1,172.5,100.75,240.75,8,True
6.2,197.14285714285714,139.5,252.0,7,True
6.3,168.0,134.5,212.5,7,True
6.4,161.14285714285714,125.0,195.5,7,True
6.5,156.0,123.5,188.5,7,True
6.6,198.85714285714286,178.0,239.0,7,True
6.7,152.57142857142858,122.5,171.5,7,True
6.8,154.28571428571428,99.5,188.0,7,True
6.9,190.28571428571428,153.5,234.5,7,True
7.0,149.14285714285714,133.5,170.5,7,True
7.1,147.42857142857142,112.5,181.5,7,True
7.2,147.42857142857142,100.0,194.5,7,True
7.3,140.57142857142858,122.5,160.5,7,True
7.4,145.71428571428572,141.5,161.5,7,True
7.5,169.71428571428572,124.0,210.0,7,True
7.6,132.0,109.5,146.5,7,True
7.7,183.42857142857142,176.0,189.5,7,True
7.8,162.85714285714286,136.5,195.5,7,True
7.9,166.28571428571428,118.5,222.0,7,True
8.0,118.28571428571429,87.5,145.0,7,True
8.1,121.71428571428571,104.5,134.5,7,True
8.2,149.14285714285714,124.5,180.0,7,True
8.3,162.85714285714286,125.0,181.0,7,True
8.4,126.85714285714286,111.5,146.5,7,True
8.5,137.14285714285714,113.5,135.5,7,True
8.6,114.85714285714286,99.5,134.5,7,True
8.7,161.14285714285714,127.0,193.5,7,True
8.8,169.71428571428572,130.5,193.0,7,True
8.9,159.42857142857142,129.5,177.5,7,True
9.0,133.71428571428572,90.0,164.0,7,True
9.1,116.57142857142857,95.5,131.0,7,True
9.2,135.42857142857142,96.0,141.5,7,True
9.3,150.85714285714286,96.0,187.0,7,True
9.4,202.28571428571428,199.5,232.5,7,True
9.5,197.14285714285714,181.0,224.5,7,True
9.6,200.57142857142858,180.5,235.0,7,True
9.7,210.85714285714286,190.0,249.5,7,True
9.8,178.28571428571428,134.0,218.5,7,True
9.9,132.0,83.0,167.5,7,True
10.0,144.0,94.5,178.5,7,True
10.1,174.85714285714286,125.0,227.5,7,True
10.2,144.0,101.0,199.0,7,True
10.3,174.85714285714286,147.5,225.5,7,True
10.4,176.57142857142858,149.0,183.5,7,True
10.5,176.57142857142858,149.0,183.5,7,True
10.6,173.14285714285714,141.5,183.5,7,True
10.7,147.42857142857142,124.5,177.5,7,True
10.8,159.42857142857142,127.0,179.0,7,True
10.9,174.85714285714286,152.5,190.0,7,True
11.0,150.85714285714286,114.0,182.5,7,True
11.1,157.71428571428572,146.5,163.5,7,True
11.2,140.57142857142858,134.0,162.5,7,True
11.3,137.14285714285714,123.5,143.5,7,True
11.4,130.28571428571428,119.0,143.5,7,True
11.5,133.71428571428572,119.0,144.0,7,True
11.6,113.14285714285714,83.0,143.5,7,True
11.7,130.28571428571428,83.0,141.5,7,True
11.8,147.42857142857142,120.5,148.5,7,True
11.9,145.71428571428572,127.5,152.0,7,True
12.0,137.14285714285714,127.5,150.0,7,True
12.1,137.14285714285714,133.0,140.5,7,True
12.2,142.28571428571428,139.0,145.0,7,True
12.3,116.57142857142857,104.5,139.0,7,True
12.4,142.28571428571428,138.0,147.5,7,True
12.5,128.57142857142858,118.5,138.0,7,True
12.6,135.42857142857142,131.0,145.0,7,True
12.7,132.0,125.0,146.5,7,True
12.8,138.85714285714286,126.0,150.0,7,True
12.9,133.71428571428572,122.0,140.5,7,True
13.0,123.42857142857143,102.0,151.5,7,True
13.1,125.14285714285714,110.5,139.0,7,True
13.2,99.42857142857143,71.5,129.5,7,True
13.3,121.71428571428571,115.5,135.5,7,True
13.4,137.14285714285714,130.5,139.0,7,True
13.5,147.42857142857142,110.5,168.5,7,True
13.6,154.28571428571428,111.5,156.5,7,True
