s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,537519.3315504193,4006780.8129323907,7690.91,24.435375,0.09929152
0.1,537488.6349172634,4006686.803655323,7659.1514,17.313725,0.097221
0.2,537436.9627111778,4006601.3176161502,7620.8857,19.703403,0.09689465
0.3,537377.0804229627,4006521.24556869,7487.574,21.98475,0.09923829
0.4,537313.0619829964,4006444.4234407297,7426.2935,19.792706,0.10610172
0.5,537246.3753628846,4006369.912268821,7258.982,24.447556,0.117088914
0.6,537178.0466706197,4006296.9103808952,7133.174,29.231731,0.1301359
0.7,537108.5996852933,4006224.9650565116,7003.2,28.02027,0.13922209
0.8,537037.8890071745,4006154.2543783933,6940.5234,37.2288,0.14074951
0.9,536971.6522318779,4006079.4686960964,6900.9424,37.2288,0.1385274
1.0,536908.6733502587,4006001.8514399193,6810.958,32.436794,0.13958919
1.1,536852.726064759,4005918.9665725115,6673.928,33.52069,0.13466388
1.2,536802.0016858611,4005832.9311744617,6599.63,37.452293,0.13643272
1.3,536755.8055644836,4005744.3000671268,6540.798,40.03103,0.13690251
1.4,536717.9422799117,4005651.745371506,6423.6104,41.644836,0.1352844
1.5,536686.1339662243,4005557.0699680815,6350.7803,42.55407,0.141355
1.6,536659.1989356658,4005460.8229762823,6249.0728,42.742123,0.14549336
1.7,536640.7700821606,4005362.535757589,6176.564,43.89646,0.14873265
1.8,536628.0179725452,4005263.462723028,6100.357,41.42408,0.15183407
1.9,536619.3315504206,4005163.852823663,6037.2,39.01557,0.15534872
2.0,536619.3315504201,4005063.852823663,5971.14,37.273396,0.15722026
2.1,536619.7727645518,4004963.855221495,5900.032,35.94856,0.15622148
2.2,536620.8596568685,4004863.861128344,5720.886,34.321217,0.14889611
2.3,536623.314184405,4004763.8915622095,5636.6235,33.085285,0.13495737
2.4,536627.1834672116,4004663.9701410374,5551.044,30.062965,0.11678991
2.5,536633.3691853272,4004564.1700329427,5479.6494,26.991545,0.10792946
2.6,536644.340626374,4004464.8151832125,5420.9985,26.808258,0.10410699
2.7,536677.1263432608,4004372.752819331,5353.4946,0.0,0.106192596
2.8,536690.8574291143,4004273.912255991,5284.858,40.488613,0.11173266
2.9,536694.3063518828,4004173.9780762866,5262.323,55.434864,0.124465145
3.0,536694.3315504191,4004073.978482609,5245.355,71.98786,0.1508738
3.1,536692.817203723,4003973.9939335175,5229.7905,88.79131,0.20901372
3.2,536690.4807213157,4003874.0228776215,5213.449,101.55263,0.25021535
