distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
32.7,86.5,85.25,87.75,84,89,2,True
32.8,88.66666666666667,80.5,101.5,63,105,3,True
32.9,80.25,66.75,95.0,60,98,4,True
33.0,114.0,72.75,151.75,69,166,4,True
33.1,147.5,138.25,156.75,129,166,2,True
33.2,128.66666666666666,113.5,156.0,74,159,3,True
33.3,144.5,143.25,145.75,142,147,2,True
33.4,142.0,142.0,142.0,142,142,1,True
33.5,165.0,165.0,165.0,165,165,1,True
33.6,142.0,142.0,142.0,142,142,1,True
33.7,127.33333333333333,111.5,138.5,105,159,3,True
33.8,97.0,72.0,106.0,69,151,5,True
33.9,113.5,83.25,144.75,72,153,4,True
34.0,105.5,87.25,123.75,69,142,2,True
34.1,91.0,65.5,105.5,62,142,3,True
34.2,107.5,84.75,130.25,62,153,2,True
34.3,138.6,139.0,153.0,99,158,5,True
34.4,119.4,111.0,141.0,62,144,5,True
34.5,116.25,112.25,133.5,62,144,4,True
34.6,135.66666666666666,124.5,143.5,120,158,3,True
34.7,115.66666666666667,109.0,124.5,98,129,3,True
34.8,113.25,71.25,151.0,69,166,4,True
34.9,95.5,88.5,103.5,72,117,4,True
35.0,107.25,88.5,124.25,72,146,4,True
35.1,92.2,81.0,99.0,62,125,5,True
35.2,89.25,67.25,109.5,62,120,4,True
35.3,103.2,69.0,120.0,63,166,5,True
35.4,91.2,62.0,105.0,60,166,5,True
35.5,132.0,110.75,165.25,74,166,4,True
35.6,106.0,97.5,114.5,89,123,2,True
35.8,105.5,71.25,131.25,63,165,4,True
35.9,108.0,75.0,130.0,69,146,5,True
36.0,123.33333333333333,102.5,147.5,75,165,3,True
36.1,154.5,149.25,159.75,144,165,2,True
36.2,130.33333333333334,125.0,140.0,111,141,3,True
36.3,119.33333333333333,96.5,147.5,63,165,3,True
36.4,114.0,88.5,139.5,63,165,2,True
36.5,100.83333333333333,79.25,121.5,63,153,6,True
36.6,113.66666666666667,91.75,134.25,77,153,6,True
36.7,127.4,120.0,139.0,94,149,5,True
36.8,87.0,66.75,105.25,60,118,4,True
36.9,95.66666666666667,73.5,113.75,60,139,6,True
37.0,100.33333333333333,89.25,107.75,69,139,6,True
37.1,97.0,87.0,101.0,62,139,5,True
37.2,122.5,105.75,151.25,63,158,4,True
37.3,139.0,129.5,148.5,120,158,2,True
37.4,105.0,69.0,135.0,62,139,5,True
37.5,135.0,116.75,156.75,98,165,4,True
37.6,85.4,63.0,101.0,62,120,5,True
37.7,105.0,96.0,113.5,81,130,4,True
37.8,107.4,74.0,127.0,69,159,5,True
37.9,104.0,85.0,125.0,62,142,3,True
38.0,98.4,84.0,111.0,67,141,5,True
38.1,104.0,85.5,114.0,84,141,3,True
38.2,79.5,75.75,83.25,72,87,2,True
38.3,80.5,71.0,88.5,60,103,6,True
38.4,77.16666666666667,69.25,83.75,60,103,6,True
38.5,93.6,69.0,110.0,60,142,5,True
38.6,138.0,130.5,145.5,123,153,2,True
