distance_km,year,peak_date,peak_doy,peak_val
32.6,2018,2018-05-07,127,1.926481672853697e-05
32.7,2018,2018-09-28,271,0.24823568761348724
32.8,2018,2018-05-19,139,0.2943864166736603
32.9,2018,2018-07-30,211,0.3431377112865448
33.0,2018,2018-08-23,235,0.3307422995567322
33.1,2018,2018-08-23,235,0.3398635983467102
33.2,2018,2018-07-18,199,0.32550758123397827
33.3,2018,2018-07-30,211,0.34062930941581726
33.4,2018,2018-07-18,199,0.3769403100013733
33.5,2018,2018-07-18,199,0.3500239849090576
33.6,2018,2018-07-18,199,0.3685552179813385
33.7,2018,2018-07-18,199,0.34468257427215576
33.8,2018,2018-09-28,271,0.36050084233283997
33.9,2018,2018-09-28,271,0.33897820115089417
34.0,2018,2018-09-28,271,0.3300091028213501
34.1,2018,2018-06-24,175,0.3082634508609772
34.2,2018,2018-08-23,235,0.4016039967536926
34.3,2018,2018-08-23,235,0.37572816014289856
34.4,2018,2018-05-19,139,0.41915756464004517
34.5,2018,2018-09-16,259,0.5188601613044739
34.6,2018,2018-07-18,199,0.5927026271820068
34.7,2018,2018-07-30,211,0.5911573767662048
34.8,2018,2018-07-18,199,0.7865741848945618
34.9,2018,2018-07-18,199,0.781448245048523
35.0,2018,2018-03-08,67,0.9555419683456421
35.1,2018,2018-05-07,127,0.9501018524169922
35.2,2018,2018-09-04,247,1.1698436737060547
35.3,2018,2018-07-18,199,1.3174021244049072
35.4,2018,2018-07-18,199,1.2173259258270264
35.5,2018,2018-03-20,79,1.5325000286102295
35.6,2018,2018-09-04,247,1.242437720298767
35.7,2018,2018-09-04,247,0.8581832051277161
35.8,2018,2018-03-20,79,0.9062200784683228
35.9,2018,2018-08-23,235,0.8088355660438538
36.0,2018,2018-09-28,271,1.0905262231826782
36.1,2018,2018-09-28,271,0.9744596481323242
36.2,2018,2018-08-11,223,0.9951087236404419
36.3,2018,2018-08-23,235,1.0627788305282593
36.4,2018,2018-09-28,271,0.9841722249984741
36.5,2018,2018-09-28,271,1.2810747623443604
36.6,2018,2018-06-24,175,1.061046838760376
36.7,2018,2018-08-11,223,1.2934218645095825
36.8,2018,2018-09-04,247,1.7106761932373047
36.9,2018,2018-05-19,139,1.2759852409362793
37.0,2018,2018-05-31,151,1.5342531204223633
37.1,2018,2018-07-30,211,1.4920635223388672
37.2,2018,2018-09-28,271,1.4856066703796387
37.3,2018,2018-07-30,211,1.1194688081741333
37.4,2018,2018-07-18,199,1.5642391443252563
37.5,2018,2018-07-18,199,1.2912981510162354
37.6,2018,2018-07-18,199,0.8998362421989441
37.7,2018,2018-05-31,151,1.0162969827651978
37.8,2018,2018-09-16,259,1.0542495250701904
37.9,2018,2018-05-07,127,1.2404251098632812
38.0,2018,2018-03-20,79,1.4136202335357666
38.1,2018,2018-09-28,271,1.3136693239212036
38.2,2018,2018-03-08,67,1.0020818710327148
38.3,2018,2018-05-19,139,1.1706647872924805
38.4,2018,2018-05-19,139,1.2388488054275513
38.5,2018,2018-05-19,139,1.4756473302841187
38.6,2018,2018-09-28,271,0.43565577268600464
32.7,2019,2019-06-07,158,0.21594244241714478
32.8,2019,2019-05-14,134,0.29265567660331726
32.9,2019,2019-10-05,278,0.30150914192199707
33.0,2019,2019-03-15,74,0.386708527803421
