distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
32.4,168.0,168.0,168.0,1,True
32.5,168.0,168.0,168.0,1,True
32.6,158.4,127.0,183.0,5,True
32.7,186.85714285714286,159.5,207.5,7,True
32.8,156.0,128.5,183.5,7,True
32.9,186.85714285714286,132.5,244.5,7,True
33.0,180.0,123.5,236.5,7,True
33.1,204.0,188.5,236.5,7,True
33.2,193.71428571428572,184.0,218.5,7,True
33.3,229.71428571428572,213.5,262.0,7,True
33.4,161.14285714285714,137.5,192.0,7,True
33.5,181.71428571428572,153.5,195.5,7,True
33.6,188.57142857142858,153.5,207.5,7,True
33.7,173.14285714285714,114.0,227.0,7,True
33.8,180.0,114.5,243.5,7,True
33.9,204.0,132.0,276.0,7,True
34.0,174.85714285714286,138.0,204.0,7,True
34.1,204.0,153.5,256.0,7,True
34.2,180.0,130.0,212.0,7,True
34.3,154.28571428571428,110.5,184.5,7,True
34.4,188.57142857142858,153.5,220.0,7,True
34.5,178.28571428571428,155.0,196.0,7,True
34.6,186.85714285714286,150.0,198.0,7,True
34.7,168.0,138.5,195.5,7,True
34.8,166.28571428571428,146.5,188.5,7,True
34.9,159.42857142857142,138.5,185.5,7,True
35.0,144.0,94.5,159.5,7,True
35.1,162.85714285714286,122.0,188.5,7,True
35.2,166.28571428571428,140.5,207.5,7,True
35.3,164.57142857142858,133.5,188.5,7,True
35.4,147.42857142857142,111.5,167.0,7,True
35.5,190.28571428571428,110.5,260.5,7,True
35.6,185.14285714285714,126.0,257.0,7,True
35.7,214.28571428571428,162.0,276.0,7,True
35.8,142.28571428571428,113.0,145.0,7,True
35.9,195.42857142857142,130.5,258.0,7,True
36.0,192.0,150.0,244.5,7,True
36.1,216.0,174.5,272.0,7,True
36.2,173.14285714285714,135.5,209.0,7,True
36.3,188.57142857142858,127.0,241.5,7,True
36.4,205.71428571428572,168.0,254.0,7,True
36.5,210.85714285714286,170.5,276.0,7,True
36.6,144.0,120.0,164.0,7,True
36.7,192.0,147.5,243.5,7,True
36.8,183.42857142857142,135.5,230.0,7,True
36.9,188.57142857142858,123.5,246.0,7,True
37.0,173.14285714285714,126.0,222.5,7,True
37.1,169.71428571428572,104.5,225.5,7,True
37.2,205.71428571428572,163.5,253.0,7,True
37.3,183.42857142857142,159.5,212.0,7,True
37.4,174.85714285714286,143.0,203.0,7,True
37.5,176.57142857142858,156.0,183.5,7,True
37.6,149.14285714285714,113.5,170.5,7,True
37.7,154.28571428571428,114.0,184.5,7,True
37.8,168.0,78.5,266.0,7,True
37.9,157.71428571428572,110.5,192.0,7,True
38.0,147.42857142857142,109.0,175.5,7,True
38.1,164.57142857142858,134.5,198.0,7,True
38.2,162.85714285714286,91.5,219.5,7,True
38.3,192.0,146.5,253.5,7,True
38.4,166.28571428571428,120.0,216.0,7,True
38.5,126.85714285714286,110.5,140.5,7,True
38.6,214.28571428571428,161.5,261.5,7,True
38.7,164.66666666666666,148.5,187.0,3,True
38.8,120.0,120.0,120.0,1,True
38.9,132.0,132.0,132.0,1,True
39.0,132.0,132.0,132.0,1,True
