s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,703318.3294688707,3914870.8093028646,5964.4404,18.505394,
0.1,703417.3928337257,3914880.5334812733,5971.968,25.55953,
0.2,703510.8838845004,3914915.434833194,5975.3755,21.031082,
0.3,703599.1486297674,3914962.2560524507,6037.139,24.385761,
0.4,703683.3239610029,3915016.1543330266,6041.5513,27.870531,
0.5,703764.3157790751,3915074.759057171,6003.4644,27.18367,
0.6,703842.8614678729,3915136.6169034056,6037.727,26.20077,
0.7,703919.522903126,3915200.806916434,6016.327,25.487652,
0.8,703994.7684192407,3915266.6711861272,5966.535,30.899874,
0.9,704069.6446417461,3915332.9550552308,5889.2173,27.06781,
1.0,704144.2026625003,3915399.5961000486,5953.662,29.841335,
1.1,704218.4087963945,3915466.628414739,5885.249,28.55922,
1.2,704292.2074222721,3915534.10897881,5812.7173,27.352781,
1.3,704365.5303917632,3915602.1060466985,5879.7676,29.613743,
1.4,704438.293317519,3915670.7019973043,5742.392,47.45768,
1.5,704510.3904784329,3915739.997061335,5676.811,64.11385,
1.6,704581.6877126115,3915810.1142421435,5664.628,76.89638,
1.7,704651.1929790556,3915881.9818119346,5684.679,88.02374,
1.8,704716.7046290095,3915957.495529677,5712.766,77.05098,
1.9,704775.2800168988,3916038.4448925694,5760.6704,45.241085,
2.0,704822.1157491417,3916126.5616351306,5827.333,29.480705,
2.1,704842.3827733332,3916223.659958126,5931.6816,19.228958,
2.2,704866.94172483,3916319.7066816073,6029.807,28.234533,
2.3,704916.1967525849,3916406.5302717425,6127.4233,30.763449,
2.4,704975.1907394867,3916487.209658865,6223.8794,26.972094,
2.5,705039.7667021959,3916563.542083789,6216.663,84.82374,
2.6,705108.1117221547,3916636.5382516864,6223.199,85.03899,
2.7,705178.8224002726,3916707.2489298056,6201.13,85.03899,
2.8,705235.7425242988,3916789.4389411705,6186.733,186.45996,
2.9,705281.7213728427,3916878.0608685226,6180.4775,186.45996,
3.0,705319.4261177114,3916970.4850015626,6169.209,195.21974,
3.1,705351.0613622796,3917065.3034234764,6169.817,195.21974,
3.2,705374.398657527,3917162.542153674,6165.953,229.3083,
3.3,705393.9540817032,3917260.5347387455,6162.3027,229.3083,
3.4,705409.6849581905,3917359.289685583,6167.806,233.99098,
3.5,705420.9826730707,3917458.60825011,6161.881,233.99098,
3.6,705430.4635823341,3917558.157797369,6157.1216,231.08733,
3.7,705436.1630416102,3917657.9688512757,6145.871,231.08733,
3.8,705440.4755725639,3917757.875818384,6134.2266,228.98395,
3.9,705442.3827733326,3917857.8346749335,6112.5273,228.98395,
4.0,705442.3827733325,3917957.8346749335,6101.393,229.67043,
4.1,705439.2132394827,3918057.5577272247,6095.2983,229.67043,
4.2,705421.8700421045,3918156.0423123366,6095.33,232.78917,
4.3,705404.5268447262,3918254.5268974486,6093.52,232.78917,
4.4,705377.5310171935,3918350.548437133,6084.0054,240.37999,
4.5,705345.5659639444,3918445.3019878357,6074.668,240.37999,
4.6,705313.6009106954,3918540.055538539,6070.929,249.73021,
4.7,705270.8269634495,3918630.382577981,6067.066,260.19608,
4.8,705227.1485882547,3918720.3392316555,6066.3906,272.40134,
4.9,705183.47021306,3918810.2958853305,6067.1074,272.40134,
5.0,705131.391691061,3918895.6163993725,6068.0547,272.40134,
5.1,705078.5615023817,3918980.52205975,6067.31,293.4745,
5.2,705025.7313137024,3919065.427720127,6068.671,293.4745,
5.3,704968.6022352515,3919147.394735873,6066.598,294.64008,
5.4,704908.6707503676,3919227.4460763964,6061.957,294.64008,
5.5,704848.7392654837,3919307.49741692,6059.3633,289.65872,
5.6,704788.8077805998,3919387.5487574437,6054.405,292.3363,
5.7,704723.5913144803,3919463.342297016,6043.683,292.3363,
5.8,704658.127935456,3919538.936913271,6033.0923,295.9695,
5.9,704592.6645564316,3919614.5315295258,6025.2637,295.9695,
6.0,704527.2011774073,3919690.1261457806,6016.782,295.9695,
6.1,704457.6237823503,3919761.93969668,6017.6367,303.49008,
6.2,704387.8092037162,3919833.535259462,6013.5107,303.49008,
6.3,704317.9946250821,3919905.1308222446,6009.4844,303.49008,
6.4,704248.180046448,3919976.726385027,6002.723,314.3488,
6.5,704176.4291099227,3920046.3377046026,6001.1743,314.3488,
6.6,704103.1497607601,3920114.382814539,5993.586,309.3513,
6.7,704029.8704115975,3920182.427924476,5985.8857,320.907,
6.8,703956.591062435,3920250.473034413,5976.984,320.907,
6.9,703883.3117132724,3920318.5181443496,5972.514,315.6301,
7.0,703811.7610523431,3920388.366336332,5965.8306,315.6301,
7.1,703740.6905304645,3920458.71533007,5960.8955,315.6301,
7.2,703669.6200085859,3920529.0643238076,5958.4995,311.27008,
7.3,703598.5494867073,3920599.413317545,5952.605,311.27008,
7.4,703528.747837514,3920670.9949400355,5951.688,311.27008,
7.5,703460.4874049756,3920744.0737560475,5949.1543,323.13882,
7.6,703392.2269724372,3920817.152572059,5944.986,323.13882,
7.7,703323.9665398988,3920890.2313880706,5940.8564,323.13882,
7.8,703257.7598996671,3920965.1363353794,5937.3315,336.91434,
7.9,703193.165675521,3921041.474963917,5936.245,336.91434,
8.0,703128.5714513749,3921117.813592454,5933.2183,343.0375,
8.1,703064.4750436615,3921194.5472841505,5926.7197,324.99692,
8.2,703004.8047670264,3921274.7935182448,5921.558,324.99692,
8.3,702945.1344903915,3921355.039752339,5915.872,334.21884,
8.4,702885.8984701892,3921435.5818348825,5910.278,309.426,
8.5,702833.0587707335,3921520.4815767044,5906.66,318.2495,
8.6,702780.219071278,3921605.3813185263,5898.245,318.2495,
8.7,702731.6076984,3921692.5957503053,5890.6,318.2495,
8.8,702688.5604459123,3921782.8561184257,5888.4365,293.38022,
8.9,702648.1225379963,3921874.122089565,5881.4146,293.38022,
9.0,702619.4628818841,3921969.9272257085,5876.8374,305.2588,
9.1,702596.5374973689,3922066.7978903907,5874.2056,305.2588,
9.2,702588.8678474808,3922166.503338941,5869.513,316.4812,
9.3,702580.5591107857,3922266.1564221554,5865.499,316.4812,
9.4,702571.638067918,3922365.7563570077,5862.677,309.46146,
9.5,702561.687696016,3922465.2600760288,5855.201,309.46146,
9.6,702550.1002609911,3922564.5856577693,5851.9937,294.23196,
9.7,702536.2668434519,3922663.620812033,5847.2393,294.23196,
9.8,702516.556831203,3922761.6130713834,5843.208,285.95352,
9.9,702478.4749063731,3922852.2208657362,5839.956,269.5933,
10.0,702463.131695486,3922950.8707280434,5834.921,269.7436,
10.1,702455.3391354178,3923050.55114742,5828.581,269.7436,
10.2,702450.3486356225,3923150.4204461714,5824.811,260.0851,
10.3,702446.8817530944,3923250.3592945226,5811.494,260.0851,
10.4,702444.8413616287,3923350.3384763687,5802.4834,251.09453,
10.5,702443.4489871844,3923450.327137649,5794.7456,251.09453,
10.6,702442.5640660821,3923550.323222146,5784.7075,259.1122,
10.7,702442.3827733324,3923650.322419981,5773.874,259.1122,
10.8,702442.3827733326,3923750.322419981,5764.8687,264.48322,
10.9,702441.6791449807,3923850.3193066423,5756.074,264.48322,
11.0,702440.760210257,3923950.314893575,5744.9795,275.49084,
11.1,702438.7198187909,3924050.2940754215,5738.4604,275.49084,
11.2,702435.8969240766,3924150.2511322843,5730.537,296.4191,
11.3,702431.8324736204,3924250.1643979712,5721.9575,296.4191,
11.4,702425.4822135713,3924349.955236339,5715.4355,296.69724,
11.5,702414.2038909663,3924449.2755578533,5702.6465,296.69724,
11.6,702381.7075230526,3924541.441366276,5699.0713,310.34473,
11.7,702360.7916326969,3924639.0781428046,5695.6934,310.34473,
11.8,702348.1364850408,3924738.272185786,5691.0156,322.58032,
11.9,702338.1861131395,3924837.7759048073,5685.4395,322.58032,
12.0,702329.6755433282,3924937.410370428,5677.1235,337.7515,
12.1,702321.862506976,3925037.103165038,5671.3174,337.7515,
12.2,702314.9822978148,3925136.8661978804,5665.884,364.22684,
12.3,702308.5076379476,3925236.6553205727,5661.8506,364.22684,
12.4,702302.5480999427,3925336.4775821515,5660.776,385.25977,
12.5,702296.8299261071,3925436.313400151,5658.34,391.57556,
12.6,702291.5740427946,3925536.1751830843,5654.6377,407.6037,
12.7,702286.3181594821,3925636.0369660174,5654.183,407.6037,
12.8,702278.467227182,3925735.7270636573,5654.4224,461.67896,
12.9,702270.5214154007,3925835.4108841857,5651.6216,461.67896,
13.0,702259.9516544826,3925934.842069818,5650.028,481.39133,
13.1,702248.7326108221,3926034.210742242,5647.3545,481.39133,
13.2,702234.0600967773,3926133.117798223,5647.7734,502.38544,
13.3,702218.2097290042,3926231.839915643,5648.4023,502.38544,
13.4,702197.814303593,3926329.737957617,5646.8105,502.81464,
13.5,702173.5813348233,3926426.6992140724,5641.951,502.81464,
13.6,702144.3999749965,3926522.2643138976,5635.295,501.76385,
13.7,702107.3841924638,3926615.073901724,5630.528,501.76385,
13.8,702057.7293360349,3926701.626099487,5622.36,505.8321,
13.9,701996.1343813638,3926780.390492158,5616.2334,465.6019,
14.0,701937.6546967619,3926861.492269395,5611.4204,465.6019,
14.1,701882.8116331289,3926945.094536539,5608.6694,414.61273,
14.2,701832.4556102514,3927031.4723266507,5607.7676,414.61273,
14.3,701786.4237419518,3927120.2273656256,5605.893,378.73672,
14.4,701746.0343676894,3927211.680316973,5602.278,378.73672,
14.5,701701.4640051496,3927300.9040606795,5596.3174,378.73672,
14.6,701647.5990854996,3927385.077180955,5597.7,340.8515,
14.7,701590.1660822061,3927466.9174082675,5591.6567,340.8515,
14.8,701530.0158125296,3927546.8044851813,5583.115,312.96506,
14.9,701468.5153711959,3927625.643555536,5574.781,305.04257,
15.0,701406.0458664409,3927703.73043648,5564.3496,305.04257,
15.1,701342.637994933,3927781.050443657,5552.3066,288.37784,
15.2,701278.5539184354,3927857.8178269616,5537.2803,288.00558,
15.3,701214.1843971014,3927934.34313242,5532.4517,293.77213,
15.4,701148.9134945383,3928010.104001466,5515.0,293.77213,
15.5,701083.6425919752,3928085.864870512,5503.3325,291.3867,
15.6,701017.8635734176,3928161.1826152685,5493.4736,309.3264,
15.7,700951.6843113647,3928236.1513105626,5489.6504,309.3264,
15.8,700885.5050493117,3928311.1200058567,5488.188,287.40662,
15.9,700818.9404419914,3928385.745226577,5489.7847,298.70746,
16.0,700752.0439688293,3928460.0746412016,5489.561,298.70746,
16.1,700685.1474956671,3928534.4040558264,5487.8022,292.30676,
