distance_km,year,onset_date,onset_doy
0.0,2017,2017-03-01,60
0.1,2017,2017-03-01,60
0.2,2017,2017-03-01,60
0.3,2017,2017-05-12,132
0.4,2017,2017-04-30,120
0.5,2017,2017-06-05,156
0.6,2017,2017-06-05,156
0.7,2017,2017-05-12,132
0.8,2017,2017-05-12,132
0.9,2017,2017-05-12,132
1.0,2017,2017-03-13,72
1.1,2017,2017-03-13,72
1.2,2017,2017-03-13,72
1.3,2017,2017-03-01,60
1.4,2017,2017-03-01,60
1.5,2017,2017-03-01,60
1.6,2017,2017-03-01,60
1.7,2017,2017-03-01,60
1.8,2017,2017-03-13,72
1.9,2017,2017-03-13,72
2.0,2017,2017-03-13,72
3.2,2017,2017-03-25,84
3.9,2017,2017-04-06,96
4.0,2017,2017-03-01,60
6.0,2017,2017-04-06,96
6.1,2017,2017-04-06,96
6.2,2017,2017-04-06,96
6.3,2017,2017-04-06,96
6.4,2017,2017-04-06,96
6.5,2017,2017-04-06,96
6.6,2017,2017-04-06,96
6.7,2017,2017-04-06,96
6.8,2017,2017-03-13,72
6.9,2017,2017-04-06,96
7.0,2017,2017-04-06,96
7.6,2017,2017-04-06,96
7.7,2017,2017-04-18,108
7.8,2017,2017-04-18,108
7.9,2017,2017-04-18,108
9.5,2017,2017-03-01,60
9.6,2017,2017-03-01,60
9.7,2017,2017-03-25,84
9.8,2017,2017-03-25,84
9.9,2017,2017-03-25,84
10.0,2017,2017-03-13,72
10.1,2017,2017-03-13,72
10.2,2017,2017-03-13,72
10.3,2017,2017-03-01,60
10.4,2017,2017-03-01,60
10.5,2017,2017-03-01,60
10.6,2017,2017-03-01,60
10.7,2017,2017-03-01,60
10.8,2017,2017-03-01,60
10.9,2017,2017-03-01,60
12.2,2017,2017-04-18,108
12.4,2017,2017-04-18,108
12.5,2017,2017-04-18,108
12.6,2017,2017-04-18,108
12.7,2017,2017-04-18,108
12.8,2017,2017-04-18,108
14.4,2017,2017-03-01,60
14.5,2017,2017-03-01,60
14.6,2017,2017-03-01,60
15.3,2017,2017-04-18,108
15.4,2017,2017-03-13,72
15.5,2017,2017-03-13,72
15.6,2017,2017-03-01,60
15.7,2017,2017-03-01,60
15.8,2017,2017-03-01,60
15.9,2017,2017-03-01,60
16.0,2017,2017-03-01,60
16.1,2017,2017-03-01,60
16.2,2017,2017-03-01,60
16.3,2017,2017-03-01,60
16.4,2017,2017-03-01,60
16.5,2017,2017-03-13,72
16.6,2017,2017-03-01,60
16.7,2017,2017-03-01,60
16.8,2017,2017-03-01,60
16.9,2017,2017-03-01,60
17.0,2017,2017-03-01,60
17.1,2017,2017-04-06,96
17.2,2017,2017-04-06,96
17.3,2017,2017-04-06,96
17.4,2017,2017-04-06,96
17.5,2017,2017-05-12,132
17.6,2017,2017-03-13,72
17.7,2017,2017-03-01,60
17.8,2017,2017-03-01,60
17.9,2017,2017-03-01,60
18.0,2017,2017-03-13,72
18.1,2017,2017-03-13,72
18.2,2017,2017-03-01,60
18.3,2017,2017-03-01,60
18.4,2017,2017-03-01,60
18.5,2017,2017-03-01,60
18.6,2017,2017-03-13,72
18.7,2017,2017-03-01,60
18.8,2017,2017-03-01,60
18.9,2017,2017-03-13,72
19.0,2017,2017-03-01,60
19.1,2017,2017-03-01,60
19.2,2017,2017-03-01,60
19.3,2017,2017-03-01,60
19.4,2017,2017-03-13,72
19.5,2017,2017-03-13,72
19.6,2017,2017-03-13,72
19.7,2017,2017-03-13,72
19.8,2017,2017-03-13,72
19.9,2017,2017-03-13,72
20.0,2017,2017-03-13,72
20.1,2017,2017-03-13,72
20.2,2017,2017-03-13,72
20.3,2017,2017-03-13,72
20.4,2017,2017-03-01,60
20.5,2017,2017-03-01,60
20.6,2017,2017-03-01,60
20.7,2017,2017-03-13,72
20.8,2017,2017-03-13,72
20.9,2017,2017-03-01,60
21.0,2017,2017-03-13,72
21.1,2017,2017-03-13,72
21.2,2017,2017-03-13,72
21.3,2017,2017-03-13,72
21.4,2017,2017-03-13,72
21.5,2017,2017-03-13,72
21.6,2017,2017-03-13,72
21.7,2017,2017-03-13,72
21.74,2017,2017-03-13,72
0.0,2018,2018-03-20,79
0.1,2018,2018-03-20,79
0.2,2018,2018-03-20,79
0.3,2018,2018-04-01,91
0.4,2018,2018-03-20,79
0.5,2018,2018-03-20,79
0.6,2018,2018-03-20,79
0.7,2018,2018-03-20,79
0.8,2018,2018-03-20,79
0.9,2018,2018-03-20,79
1.0,2018,2018-03-08,67
1.1,2018,2018-03-08,67
1.2,2018,2018-03-08,67
1.3,2018,2018-03-08,67
1.4,2018,2018-03-08,67
1.5,2018,2018-03-08,67
1.6,2018,2018-03-08,67
1.7,2018,2018-03-20,79
1.8,2018,2018-03-20,79
1.9,2018,2018-03-20,79
2.0,2018,2018-05-07,127
2.8,2018,2018-05-07,127
2.9,2018,2018-05-07,127
3.0,2018,2018-04-01,91
3.1,2018,2018-05-19,139
3.2,2018,2018-04-01,91
3.8,2018,2018-05-07,127
4.0,2018,2018-04-01,91
4.7,2018,2018-04-13,103
4.8,2018,2018-03-08,67
4.9,2018,2018-03-08,67
5.0,2018,2018-03-08,67
5.1,2018,2018-03-08,67
5.2,2018,2018-03-08,67
5.3,2018,2018-03-08,67
6.3,2018,2018-05-07,127
6.4,2018,2018-04-25,115
6.5,2018,2018-04-25,115
6.6,2018,2018-05-19,139
7.0,2018,2018-05-07,127
7.2,2018,2018-03-08,67
7.3,2018,2018-03-08,67
7.4,2018,2018-04-13,103
7.6,2018,2018-03-08,67
