distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,84.75,72.75,90.0,60,123,4,True
0.1,103.66666666666667,77.5,121.5,60,166,6,True
0.2,103.66666666666667,77.5,121.5,60,166,6,True
0.3,123.33333333333333,111.5,139.5,91,147,3,True
0.4,105.75,95.5,120.75,79,123,4,True
0.5,105.75,85.0,114.75,79,156,4,True
0.6,128.2,87.0,156.0,79,166,5,True
0.7,109.0,81.0,132.0,79,166,5,True
0.8,109.75,80.5,135.75,79,147,4,True
0.9,109.75,80.5,135.75,79,147,4,True
1.0,77.33333333333333,69.5,82.5,67,93,3,True
1.1,77.33333333333333,69.5,82.5,67,93,3,True
1.2,77.33333333333333,69.5,82.5,67,93,3,True
1.3,73.33333333333333,63.5,80.0,60,93,3,True
1.4,83.25,65.25,92.0,60,125,4,True
1.5,88.2,67.0,108.0,60,137,5,True
1.6,90.6,67.0,108.0,60,137,5,True
1.7,85.8,69.0,84.0,60,137,5,True
1.8,86.0,72.0,78.5,69,147,6,True
1.9,78.0,75.75,80.25,72,84,4,True
2.0,104.25,72.0,131.75,72,146,4,True
2.1,91.0,70.25,97.25,65,146,4,True
2.2,137.0,137.0,137.0,137,137,1,True
2.3,62.0,62.0,62.0,62,62,1,True
2.5,86.0,86.0,86.0,86,86,1,True
2.6,86.0,86.0,86.0,86,86,1,True
2.7,86.0,86.0,86.0,86,86,1,True
2.8,94.5,78.25,110.75,62,127,2,True
2.9,94.5,78.25,110.75,62,127,2,True
3.0,100.5,95.75,105.25,91,110,2,True
3.1,115.0,100.5,141.5,62,144,3,True
3.2,87.0,85.0,88.5,84,91,3,True
3.3,101.33333333333333,77.5,117.5,69,149,3,True
3.4,101.33333333333333,77.5,117.5,69,149,3,True
3.5,92.66666666666667,85.0,104.5,69,108,3,True
3.6,123.0,101.5,150.0,69,166,3,True
3.7,111.5,90.25,132.75,69,154,2,True
3.8,98.0,83.5,112.5,69,127,2,True
3.9,106.33333333333333,82.5,125.0,69,154,3,True
4.0,75.5,67.75,83.25,60,91,2,True
4.2,87.0,87.0,87.0,87,87,1,True
4.7,83.0,73.0,93.0,63,103,2,True
4.8,65.0,64.0,66.0,63,67,2,True
4.9,65.0,64.0,66.0,63,67,2,True
5.0,67.0,67.0,67.0,67,67,1,True
5.1,67.0,67.0,67.0,67,67,1,True
5.2,67.0,67.0,67.0,67,67,1,True
5.3,67.0,67.0,67.0,67,67,1,True
5.6,62.0,62.0,62.0,62,62,1,True
5.7,71.5,66.75,76.25,62,81,2,True
5.8,71.5,66.75,76.25,62,81,2,True
5.9,100.66666666666667,88.5,115.0,72,125,3,True
6.0,84.5,71.25,97.25,69,101,4,True
6.1,91.0,82.5,102.0,69,108,3,True
6.2,79.0,70.5,84.0,69,96,3,True
6.3,91.0,71.25,103.75,69,127,4,True
6.4,94.33333333333333,84.0,105.5,72,115,3,True
6.5,94.33333333333333,84.0,105.5,72,115,3,True
6.6,106.33333333333333,90.0,117.5,84,139,3,True
6.7,90.0,87.0,93.0,84,96,2,True
6.8,72.0,72.0,72.0,72,72,1,True
6.9,96.0,96.0,96.0,96,96,1,True
7.0,96.0,80.5,111.5,65,127,3,True
7.1,76.5,74.25,78.75,72,81,2,True
7.2,67.0,67.0,67.0,67,67,1,True
7.3,67.0,67.0,67.0,67,67,1,True
7.4,87.5,79.75,95.25,72,103,2,True
7.5,72.0,72.0,72.0,72,72,1,True
7.6,76.0,68.5,78.0,67,96,4,True
7.7,89.0,79.5,98.5,70,108,2,True
7.8,89.0,79.5,98.5,70,108,2,True
7.9,94.25,68.75,114.5,65,134,4,True
8.0,110.0,110.0,110.0,110,110,1,True
8.3,63.0,63.0,63.0,63,63,1,True
8.5,74.0,74.0,74.0,74,74,1,True
8.6,74.0,74.0,74.0,74,74,1,True
8.9,79.0,79.0,79.0,79,79,1,True
9.5,60.0,60.0,60.0,60,60,1,True
9.6,60.0,60.0,60.0,60,60,1,True
9.7,77.66666666666667,74.5,83.0,67,84,3,True
9.8,73.66666666666667,68.5,77.0,67,84,3,True
9.9,95.2,70.0,123.0,67,132,5,True
10.0,78.83333333333333,69.25,72.0,67,123,6,True
10.1,74.71428571428571,69.5,79.0,67,87,7,True
10.2,86.71428571428571,70.5,90.5,67,132,7,True
10.3,77.5,66.75,88.75,60,94,4,True
10.4,61.5,60.75,62.25,60,63,2,True
10.5,60.0,60.0,60.0,60,60,1,True
10.6,60.0,60.0,60.0,60,60,1,True
10.7,60.0,60.0,60.0,60,60,1,True
10.8,60.0,60.0,60.0,60,60,1,True
10.9,71.33333333333333,63.5,77.0,60,87,3,True
11.0,63.0,63.0,63.0,63,63,1,True
11.1,63.0,63.0,63.0,63,63,1,True
11.2,63.0,63.0,63.0,63,63,1,True
11.3,63.0,63.0,63.0,63,63,1,True
11.4,69.5,68.25,70.75,67,72,2,True
11.5,72.0,72.0,72.0,72,72,1,True
11.6,76.5,74.25,78.75,72,81,2,True
11.7,76.5,74.25,78.75,72,81,2,True
11.8,76.5,74.25,78.75,72,81,2,True
11.9,79.5,75.75,83.25,72,87,2,True
