distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-04-06,96,0.33452290296554565
0.1,2017,2017-10-27,300,0.19364817440509796
0.2,2017,2017-10-27,300,0.18995989859104156
0.3,2017,2017-10-27,300,0.1927877813577652
0.4,2017,2017-04-30,120,0.30235350131988525
0.5,2017,2017-10-27,300,0.17944590747356415
0.6,2017,2017-10-27,300,0.18402859568595886
0.7,2017,2017-10-27,300,0.15356940031051636
0.8,2017,2017-06-29,180,0.15290118753910065
0.9,2017,2017-06-29,180,0.15290118753910065
1.0,2017,2017-04-06,96,0.24714979529380798
1.1,2017,2017-04-06,96,0.24321211874485016
1.2,2017,2017-04-06,96,0.24089816212654114
1.3,2017,2017-04-06,96,0.23028185963630676
1.4,2017,2017-04-06,96,0.2185996174812317
1.5,2017,2017-03-25,84,0.13658279180526733
1.6,2017,2017-03-25,84,0.13926613330841064
1.7,2017,2017-09-21,264,0.1564105749130249
1.8,2017,2017-09-21,264,0.19453184306621552
1.9,2017,2017-09-21,264,0.18456538021564484
2.0,2017,2017-04-18,108,0.3490757942199707
2.1,2017,2017-03-13,72,0.25053176283836365
2.2,2017,2017-03-13,72,0.3065050542354584
2.3,2017,2017-04-30,120,0.5107334852218628
2.4,2017,2017-04-30,120,0.3880078196525574
2.5,2017,2017-04-18,108,0.6898210048675537
2.6,2017,2017-04-18,108,0.6898210048675537
2.7,2017,2017-03-25,84,0.45526111125946045
2.8,2017,2017-03-25,84,0.44823893904685974
2.9,2017,2017-03-25,84,0.44823893904685974
3.0,2017,2017-03-25,84,0.5993958711624146
3.1,2017,2017-08-28,240,0.6931872367858887
3.2,2017,2017-08-28,240,0.5933302640914917
3.3,2017,2017-04-06,96,0.5955284833908081
3.4,2017,2017-04-06,96,0.5955284833908081
3.5,2017,2017-10-15,288,0.5070574879646301
3.6,2017,2017-10-15,288,0.3402131199836731
3.7,2017,2017-03-25,84,0.24523411691188812
3.8,2017,2017-04-06,96,0.2561560273170471
3.9,2017,2017-04-06,96,0.24705249071121216
4.0,2017,2017-04-06,96,0.25187790393829346
4.1,2017,2017-03-13,72,0.25535091757774353
4.2,2017,2017-03-13,72,0.2822648882865906
4.3,2017,2017-04-18,108,0.3502054810523987
4.4,2017,2017-04-18,108,0.5210318565368652
4.5,2017,2017-03-25,84,0.39269524812698364
4.6,2017,2017-03-25,84,0.4524853229522705
4.7,2017,2017-03-25,84,0.4233619272708893
4.8,2017,2017-03-25,84,0.40117600560188293
4.9,2017,2017-03-25,84,0.36272910237312317
5.0,2017,2017-03-25,84,0.33927229046821594
5.1,2017,2017-03-25,84,0.35481351613998413
5.2,2017,2017-03-25,84,0.39867493510246277
5.3,2017,2017-04-30,120,0.5243465900421143
5.4,2017,2017-03-25,84,0.4682999551296234
5.5,2017,2017-03-25,84,0.4620557725429535
5.6,2017,2017-04-18,108,0.6674142479896545
5.7,2017,2017-06-29,180,0.6736851334571838
5.8,2017,2017-06-29,180,0.6736851334571838
5.9,2017,2017-06-29,180,0.6706148386001587
