distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,148.5,93.75,180.25,8,True
0.1,177.0,114.25,255.5,8,True
0.2,208.5,175.5,254.5,8,True
0.3,187.5,114.25,269.75,8,True
0.4,150.0,91.5,201.75,8,True
0.5,177.0,121.75,235.5,8,True
0.6,189.0,121.75,255.5,8,True
0.7,195.0,123.25,255.5,8,True
0.8,213.0,178.75,255.5,8,True
0.9,213.0,178.75,255.5,8,True
1.0,181.5,93.0,248.75,8,True
1.1,172.5,89.25,251.25,8,True
1.2,153.0,88.75,235.25,8,True
1.3,148.5,88.75,226.25,8,True
1.4,159.0,94.75,235.25,8,True
1.5,184.5,95.25,269.75,8,True
1.6,165.0,95.25,224.75,8,True
1.7,210.0,151.5,269.25,8,True
1.8,213.0,155.75,262.5,8,True
1.9,220.5,164.0,251.25,8,True
2.0,159.0,85.5,229.0,8,True
2.1,186.0,132.0,244.0,8,True
2.2,151.5,80.0,192.25,8,True
2.3,156.0,96.0,247.75,8,True
2.4,123.0,94.5,127.75,8,True
2.5,139.5,91.5,148.75,8,True
2.6,139.5,91.5,148.75,8,True
2.7,115.5,85.5,104.25,8,True
2.8,124.5,92.0,124.5,8,True
2.9,124.5,92.0,124.5,8,True
3.0,126.0,96.75,155.25,8,True
3.1,187.5,156.5,241.75,8,True
3.2,189.0,142.25,241.75,8,True
3.3,142.5,84.75,188.25,8,True
3.4,142.5,84.75,188.25,8,True
3.5,196.5,120.75,264.25,8,True
3.6,162.0,114.0,208.75,8,True
3.7,135.0,95.25,158.75,8,True
3.8,115.5,81.75,120.5,8,True
3.9,102.0,80.0,110.25,8,True
4.0,103.5,76.25,110.25,8,True
4.1,117.0,84.5,140.5,8,True
4.2,127.5,87.5,171.75,8,True
4.3,130.5,92.5,170.25,8,True
4.4,127.5,89.75,170.25,8,True
4.5,171.0,85.5,227.5,8,True
4.6,159.0,85.5,227.5,8,True
4.7,163.5,103.5,198.75,8,True
4.8,145.5,89.25,186.0,8,True
4.9,154.5,120.25,183.75,8,True
5.0,154.5,116.25,186.0,8,True
5.1,138.0,116.25,149.0,8,True
5.2,132.0,84.0,149.0,8,True
5.3,142.5,125.25,149.0,8,True
5.4,111.0,81.5,136.5,8,True
5.5,115.5,79.25,126.25,8,True
5.6,124.5,97.25,126.25,8,True
5.7,100.5,69.25,112.25,8,True
5.8,100.5,69.25,112.25,8,True
5.9,97.5,71.5,110.0,8,True
6.0,106.5,97.5,121.5,8,True
6.1,108.0,93.75,121.5,8,True
6.2,127.5,93.75,133.75,8,True
6.3,150.0,96.0,169.75,8,True
6.4,114.0,85.5,133.75,8,True
6.5,111.0,85.5,124.5,8,True
6.6,121.5,78.75,134.75,8,True
