s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,437130.55413425725,4055121.8944325102,5607.9966,70.81938,0.114773884
0.1,437033.583107464,4055098.7374373456,5572.873,88.9865,0.11242747
0.2,436942.2514250071,4055058.5764387506,5578.752,94.73511,0.11356688
0.3,436857.8819292626,4055005.113003811,5528.0737,82.43835,0.114938706
0.4,436780.4976583524,4054941.8474243195,5535.935,72.29532,0.11418079
0.5,436709.3937002608,4054871.5674006785,5478.9893,63.36781,0.11107879
0.6,436641.4911506276,4054798.1706276927,5422.3135,62.485325,0.10561994
0.7,436577.34404125885,4054721.47352896,5391.495,65.23017,0.10261296
0.8,436518.3791071486,4054640.73855356,5367.1436,66.42507,0.09910573
0.9,436466.390852645,4054555.3791626133,5320.0234,75.4908,0.09679754
1.0,436423.1012842809,4054465.3379615243,5289.1514,83.20422,0.09653361
1.1,436392.0967512863,4054370.4412502013,5224.818,94.06524,0.09739874
1.2,436363.0860608137,4054275.3024400985,5199.378,113.79579,0.09743688
1.3,436316.51434379286,4054187.0129563017,5183.196,138.72458,0.096130885
1.4,436261.88544459967,4054103.3490994573,5176.6567,149.35555,0.09452695
1.5,436203.0376512248,4054022.540311524,5180.1655,163.47963,0.093746066
1.6,436141.0732223668,4053944.0520349713,5173.544,162.91713,0.094052136
1.7,436076.558317129,4053867.664225568,5157.762,180.24025,0.09625728
1.8,436011.28995992336,4053791.9042099467,5143.104,182.06018,0.10194393
1.9,435943.78861371655,4053718.1236687433,5138.6943,211.75987,0.113889605
2.0,435876.1820835692,4053644.4417650728,5138.1533,214.86946,0.12680392
2.1,435806.885201859,4053572.3450093535,5136.975,221.95097,0.1484217
2.2,435737.58832014876,4053500.248253634,5133.7817,222.60275,0.18346238
2.3,435667.1231654236,4053429.296865839,5124.5093,212.82188,0.20672771
2.4,435596.41248730477,4053358.5861877208,5107.158,205.07465,0.23077752
2.5,435526.3212828397,4053287.2711060424,5100.1265,198.50804,0.24311508
2.6,435457.3731580267,4053214.840752704,5070.3545,208.28697,0.24842322
2.7,435388.6649914917,4053142.188801191,5047.172,222.27962,0.25668603
2.8,435321.94015933253,4053067.705267619,5035.818,261.22653,0.26379916
2.9,435255.48609263083,4052992.988294619,5029.785,270.1615,0.26785344
3.0,435191.6398668284,4052916.022981323,5025.3994,285.7194,0.27131614
3.1,435128.97651788493,4052838.1243737116,5025.155,286.19308,0.2632395
3.2,435068.97651788546,4052758.124373711,5023.525,311.7097,0.25176382
3.3,435012.9533669775,4052675.3394691576,5022.8057,315.82574,0.2502193
3.4,434961.4019298563,4052589.764934561,5023.7974,309.98148,0.23308662
3.5,434917.66394509363,4052500.0208012313,5023.499,310.3308,0.20281707
3.6,434888.80145408714,4052404.712166636,5023.3843,312.6316,0.17507613
3.7,434866.78927143686,4052307.2885635584,5020.8794,293.82135,0.1577699
3.8,434833.4949055885,4052213.0700292173,5016.842,292.43207,0.14865479
3.9,434789.1308366666,4052123.50224066,5011.581,281.62885,0.14839634
4.0,434736.8864848324,4052038.302200328,5002.0454,268.3723,0.15245993
4.1,434678.1410531524,4051957.4429118563,4987.308,252.46124,0.16224322
4.2,434614.0707647905,4051880.7231527795,4978.672,242.3193,0.17783304
4.3,434545.6609045302,4051807.834604946,4970.0356,241.0262,0.2015099
4.4,434472.60301599914,4051739.7092521205,4964.17,228.20343,0.22329685
4.5,434393.42736529774,4051678.809961168,4953.8115,224.71735,0.24302322
4.6,434308.5532071826,4051626.148360246,4940.33,213.98154,0.25126106
4.7,434218.71426199167,4051582.4918362093,4914.5405,213.73972,0.2568826
4.8,434124.8766644806,4051548.2484985976,4899.0557,215.04951,0.26606077
4.9,434028.1080040602,4051523.419379786,4889.805,221.6806,0.27715626
5.0,433929.43942297803,4051507.6308278446,4867.445,223.37587,0.28341123
5.1,433829.76068967173,4051500.2277520774,4859.068,221.43225,0.2908051
5.2,433729.7643215111,4051500.349527012,4852.651,215.44489,0.29581818
5.3,433629.94205993204,4051506.309065018,4843.797,212.51596,0.29689708
5.4,433530.74603115313,4051518.912657949,4839.907,210.94548,0.29890126
5.5,433433.07734169223,4051540.2205859143,4833.6426,208.40578,0.2967828
5.6,433338.33545083646,4051571.9165183855,4809.548,213.10951,0.3053674
5.7,433248.5863084149,4051615.6378910756,4794.2666,229.65424,0.32712817
5.8,433166.58411711146,4051672.556351197,4780.5117,240.25665,0.35902488
5.9,433093.0384411764,4051739.976096645,4778.676,233.17737,0.37862915
6.0,433008.8100375234,4051793.451759789,4775.2207,218.20555,0.42644185
6.1,432917.33830311336,4051833.514051496,4774.6016,202.53043,0.4352717
6.2,432821.5608538012,4051862.0829514656,4763.878,182.76283,0.4430319
6.3,432723.43041156745,4051881.2839404815,4736.4326,173.00159,0.46362108
6.4,432624.1269486609,4051893.042705372,4722.094,167.1342,0.45126832
6.5,432524.3158693001,4051898.943329502,4706.3384,165.38255,0.463022
6.6,432424.3505581034,4051900.227752078,4675.201,166.25806,0.47343484
6.7,432324.56084027956,4051904.863498567,4660.761,172.84164,0.4800281
6.8,432225.3764691259,4051916.815402827,4650.878,175.34962,0.48462313
6.9,432127.42006580794,4051936.647663386,4633.427,171.50876,0.46792668
7.0,432031.52664022683,4051965.0105075724,4618.3926,140.22981,0.4517796
7.1,431938.95710553083,4052002.797082837,4602.277,115.15082,0.4404503
7.2,431850.1198225532,4052048.5384908277,4540.085,107.89177,0.37116495
7.3,431765.5819224655,4052101.7411299194,4491.456,118.97537,0.31945473
7.4,431685.7077706382,4052161.7102566557,4411.462,132.13489,0.2523283
7.5,431610.6400160421,4052227.641787697,4366.306,164.08543,0.22608335
7.6,431539.5121921735,4052297.8911039946,4362.816,204.38263,0.22547168
7.7,431462.05897941435,4052361.1445610803,4356.9897,237.21231,0.23748662
7.8,431379.367945961,4052417.2561339433,4354.7476,252.29903,0.28822044
7.9,431292.2840078249,4052466.1571864053,4356.9297,262.84546,0.36360556
8.0,431201.3968499031,4052507.538886095,4353.802,260.9279,0.4565182
8.1,431107.3889703413,4052541.3490245473,4350.3228,253.63992,0.5502467
8.2,431010.95587738475,4052567.7824325757,4345.733,239.61115,0.6224257
8.3,430912.45283066947,4052585.0204657526,4332.994,213.59966,0.664627
8.4,430813.08348362916,4052595.5377994156,4323.41,185.61208,0.6815749
8.5,430713.2785602348,4052600.227752079,4284.8413,166.34692,0.691768
8.6,430613.2803961555,4052600.376484312,4260.9688,164.60513,0.7022869
8.7,430513.31086538226,4052602.844867788,4233.7056,181.73795,0.7131546
8.8,430413.4329136985,4052607.639705481,4205.423,207.241,0.72885627
8.9,430313.73955204576,4052615.2783042826,4197.6426,226.25525,0.74751556
9.0,430214.4182481313,4052626.712525882,4194.115,233.13028,0.7738338
9.1,430115.84322262247,4052643.3335688775,4182.514,227.85767,0.80715704
9.2,430018.91808577644,4052667.6739962413,4174.4727,222.98001,0.85005546
9.3,429926.6995115149,4052705.9050221513,4161.148,213.23448,0.88715947
9.4,429833.44253700273,4052741.6112064747,4141.1807,203.83475,0.9098641
9.5,429736.6364286739,4052766.4590300294,4131.3535,198.25508,0.92465985
9.6,429638.0366257438,4052782.9220704534,4114.9897,194.76822,0.92225534
9.7,429538.5709532617,4052793.047973391,4095.1152,196.17429,0.912762
9.8,429438.73950065323,4052798.5382371116,4082.5574,199.41501,0.87397796
9.9,429338.76765141863,4052800.2277520793,4069.7622,204.16293,0.8333277
10.0,429238.9968325116,4052804.9752248987,4049.1553,209.86201,0.7565175
10.1,429140.229228647,4052819.7927166806,4043.2075,215.40228,0.71020097
10.2,429043.60907449835,4052845.0555036105,4038.2769,212.79396,0.61503386
10.3,428950.31036755175,4052880.6893309816,4029.5881,213.2953,0.4651794
10.4,428861.377029048,4052926.159431307,4028.0864,200.07526,0.35929585
10.5,428777.5855855065,4052980.5520748002,4007.114,188.87993,0.27776462
