distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,120.33333333333333,109.5,126.5,108,142,3,True
0.1,142.25,133.0,147.75,127,165,4,True
0.2,141.0,132.0,150.5,122,159,3,True
0.3,79.5,69.75,89.25,60,99,2,True
0.4,101.0,80.5,121.5,60,142,2,True
0.5,60.0,60.0,60.0,60,60,1,True
0.6,77.0,68.5,85.5,60,94,2,True
0.7,165.5,165.25,165.75,165,166,2,True
0.8,136.0,121.5,153.5,101,165,3,True
0.9,121.5,111.25,131.75,101,142,2,True
1.0,101.0,101.0,101.0,101,101,1,True
1.1,119.33333333333333,99.5,130.0,98,159,3,True
1.2,79.0,69.5,88.5,60,98,2,True
1.3,79.0,69.5,88.5,60,98,2,True
1.4,95.0,79.0,112.5,60,127,3,True
1.5,84.0,67.0,98.0,60,101,5,True
1.6,88.25,85.5,98.75,60,101,4,True
1.7,97.66666666666667,96.0,99.5,94,101,3,True
1.8,89.66666666666667,79.0,104.5,60,111,3,True
1.9,79.0,69.5,88.5,60,98,2,True
2.0,92.0,77.0,108.0,60,122,3,True
2.1,121.66666666666667,100.0,133.0,99,165,3,True
2.2,121.66666666666667,100.0,133.0,99,165,3,True
2.3,104.5,85.5,115.5,60,165,4,True
2.4,120.0,97.5,133.0,94,165,3,True
2.5,74.0,74.0,74.0,74,74,1,True
2.6,122.0,122.0,122.0,122,122,1,True
2.7,135.0,135.0,135.0,135,135,1,True
2.8,135.0,135.0,135.0,135,135,1,True
3.1,74.0,74.0,74.0,74,74,1,True
3.2,127.0,127.0,127.0,127,127,1,True
3.4,114.5,104.25,124.75,94,135,2,True
3.5,131.0,114.0,146.0,101,165,3,True
3.6,162.0,160.5,163.5,159,165,2,True
3.7,119.0,106.5,131.5,94,144,2,True
3.8,109.0,102.5,116.5,94,122,3,True
4.0,125.0,116.5,133.5,108,142,2,True
4.1,119.5,106.25,130.75,101,142,4,True
4.2,122.6,108.0,135.0,101,142,5,True
4.3,121.5,111.25,131.75,101,142,2,True
4.5,99.0,99.0,99.0,99,99,1,True
4.6,102.66666666666667,83.0,120.5,67,142,3,True
4.7,99.0,99.0,99.0,99,99,1,True
4.8,122.0,122.0,122.0,122,122,1,True
4.9,128.5,125.25,131.75,122,135,2,True
5.0,128.5,125.25,131.75,122,135,2,True
5.1,128.5,125.25,131.75,122,135,2,True
5.2,143.5,132.75,154.25,122,165,2,True
5.3,94.0,94.0,94.0,94,94,1,True
5.4,108.0,101.0,115.0,94,122,2,True
5.5,94.0,94.0,94.0,94,94,1,True
5.6,119.0,106.5,131.5,94,144,2,True
5.7,132.33333333333334,119.0,151.5,94,159,3,True
5.8,60.0,60.0,60.0,60,60,1,True
5.9,101.0,80.5,121.5,60,142,2,True
6.0,112.5,104.75,126.5,60,142,6,True
6.1,79.5,69.75,89.25,60,99,2,True
6.2,96.5,95.25,97.75,94,99,2,True
6.3,113.0,106.0,120.0,99,127,2,True
6.4,125.0,125.0,125.0,125,125,1,True
6.5,125.0,125.0,125.0,125,125,1,True
6.6,106.0,103.5,108.5,101,111,2,True
6.7,118.0,114.5,121.5,111,125,2,True
6.8,111.0,111.0,111.0,111,111,1,True
6.9,111.0,111.0,111.0,111,111,1,True
7.0,111.0,111.0,111.0,111,111,1,True
7.3,166.0,166.0,166.0,166,166,1,True
7.4,142.0,142.0,142.0,142,142,1,True
7.5,94.0,94.0,94.0,94,94,1,True
7.6,84.0,79.0,89.0,74,94,2,True
7.7,110.5,102.25,118.75,94,127,2,True
7.8,143.0,131.5,165.5,98,166,3,True
7.9,122.25,88.5,165.25,60,166,4,True
8.0,122.0,122.0,122.0,122,122,1,True
8.1,122.0,122.0,122.0,122,122,1,True
8.2,131.25,125.0,149.25,74,165,4,True
8.3,89.66666666666667,63.5,104.5,60,142,3,True
8.4,125.25,97.0,149.25,94,165,4,True
8.5,135.66666666666666,121.0,154.5,98,165,3,True
8.6,117.0,97.0,124.5,94,165,4,True
8.7,123.4,101.0,142.0,98,165,5,True
9.4,142.0,142.0,142.0,142,142,1,True
9.5,134.5,130.75,138.25,127,142,2,True
9.6,134.5,130.75,138.25,127,142,2,True
9.7,131.5,114.75,148.25,98,165,2,True
9.8,165.5,165.25,165.75,165,166,2,True
9.9,94.0,94.0,94.0,94,94,1,True
10.2,144.0,144.0,144.0,144,144,1,True
10.4,166.0,166.0,166.0,166,166,1,True
10.5,114.2,94.0,127.0,60,165,5,True
10.6,111.5,85.5,136.5,60,165,4,True
10.7,123.5,104.5,136.5,94,165,4,True
10.8,123.8,108.0,127.0,94,165,5,True
10.9,126.5,100.25,147.75,98,165,4,True
11.0,113.66666666666667,99.5,133.5,74,142,3,True
11.1,108.0,91.0,125.0,74,142,2,True
11.2,131.5,114.75,148.25,98,165,2,True
11.3,131.5,114.75,148.25,98,165,2,True
11.4,165.0,165.0,165.0,165,165,1,True
11.5,100.5,87.25,113.75,74,127,2,True
11.7,98.0,98.0,98.0,98,98,1,True
12.0,98.0,98.0,98.0,98,98,1,True
12.2,60.0,60.0,60.0,60,60,1,True
12.3,60.0,60.0,60.0,60,60,1,True
12.5,60.0,60.0,60.0,60,60,1,True
12.7,94.5,80.75,108.25,67,122,2,True
12.8,60.0,60.0,60.0,60,60,1,True
12.9,60.0,60.0,60.0,60,60,1,True
13.1,99.66666666666667,67.0,119.5,60,165,3,True
13.2,80.5,70.25,90.75,60,101,2,True
13.3,108.66666666666667,80.5,133.0,60,165,3,True
13.4,79.5,69.75,89.25,60,99,2,True
13.5,99.0,99.0,99.0,99,99,1,True
13.6,135.0,135.0,135.0,135,135,1,True
13.7,99.0,99.0,99.0,99,99,1,True
13.8,135.0,135.0,135.0,135,135,1,True
13.9,99.0,99.0,99.0,99,99,1,True
14.0,135.0,135.0,135.0,135,135,1,True
14.1,99.0,99.0,99.0,99,99,1,True
14.2,102.66666666666667,100.0,104.5,99,108,3,True
14.3,92.0,84.0,104.5,67,108,3,True
14.4,102.66666666666667,100.0,104.5,99,108,3,True
14.5,108.0,108.0,108.0,108,108,1,True
14.6,108.0,108.0,108.0,108,108,1,True
14.7,166.0,166.0,166.0,166,166,1,True
14.8,166.0,166.0,166.0,166,166,1,True
15.2,146.0,146.0,146.0,146,146,1,True
15.4,82.0,82.0,82.0,82,82,1,True
15.6,146.0,146.0,146.0,146,146,1,True
15.7,141.5,137.75,145.25,134,149,2,True
15.8,132.0,131.0,133.0,130,134,2,True
15.9,139.5,134.75,144.25,130,149,2,True
16.0,139.5,134.75,144.25,130,149,2,True
16.1,133.66666666666666,126.0,141.5,118,149,3,True
16.2,118.0,118.0,118.0,118,118,1,True
16.3,118.0,118.0,118.0,118,118,1,True
16.4,117.0,117.0,117.0,117,117,1,True
16.5,117.0,117.0,117.0,117,117,1,True
16.7,117.0,117.0,117.0,117,117,1,True
16.8,117.0,117.0,117.0,117,117,1,True
16.9,99.5,90.75,108.25,82,117,2,True
17.0,99.5,90.75,108.25,82,117,2,True
17.1,99.5,90.75,108.25,82,117,2,True
17.2,99.5,90.75,108.25,82,117,2,True
17.3,99.5,90.75,108.25,82,117,2,True
17.4,99.5,90.75,108.25,82,117,2,True
17.5,103.0,96.0,113.5,82,117,3,True
17.6,99.5,90.75,108.25,82,117,2,True
17.7,99.5,90.75,108.25,82,117,2,True
18.2,117.0,117.0,117.0,117,117,1,True
18.3,103.5,81.75,125.25,60,147,2,True
18.4,60.0,60.0,60.0,60,60,1,True
18.6,147.0,147.0,147.0,147,147,1,True
18.7,147.0,147.0,147.0,147,147,1,True
18.8,147.0,147.0,147.0,147,147,1,True
19.0,117.0,117.0,117.0,117,117,1,True
19.1,117.0,117.0,117.0,117,117,1,True
19.2,113.5,111.75,115.25,110,117,2,True
19.3,60.0,60.0,60.0,60,60,1,True
19.5,117.0,117.0,117.0,117,117,1,True
19.6,120.0,118.5,121.5,117,123,2,True
19.7,120.0,118.5,121.5,117,123,2,True
19.8,131.33333333333334,120.0,138.5,117,154,3,True
19.9,131.33333333333334,120.0,138.5,117,154,3,True
20.0,135.5,126.25,144.75,117,154,2,True
20.1,99.5,90.75,108.25,82,117,2,True
20.2,82.0,82.0,82.0,82,82,1,True
20.3,82.0,82.0,82.0,82,82,1,True
20.4,82.0,82.0,82.0,82,82,1,True
20.5,102.5,92.25,112.75,82,123,2,True
20.6,102.5,92.25,112.75,82,123,2,True
20.7,131.33333333333334,120.0,138.5,117,154,3,True
20.8,120.0,118.5,121.5,117,123,2,True
20.9,120.0,118.5,121.5,117,123,2,True
21.0,120.0,118.5,121.5,117,123,2,True
21.1,120.0,118.5,121.5,117,123,2,True
21.2,120.0,118.5,121.5,117,123,2,True
21.3,116.66666666666667,113.5,120.0,110,123,3,True
21.4,116.66666666666667,113.5,120.0,110,123,3,True
21.5,120.0,118.5,121.5,117,123,2,True
21.6,120.0,118.5,121.5,117,123,2,True
21.7,116.66666666666667,113.5,120.0,110,123,3,True
21.8,126.0,115.25,130.75,110,154,4,True
21.9,126.0,115.25,130.75,110,154,4,True
22.0,129.0,116.5,138.5,110,154,3,True
22.1,129.0,116.5,138.5,110,154,3,True
22.2,132.0,121.0,143.0,110,154,2,True
