distance_km,year,peak_date,peak_doy,peak_val
14.8,2017,2017-10-15,288,0.9385038614273071
14.9,2017,2017-10-27,300,1.271532416343689
15.1,2017,2017-03-01,60,1.217114806175232
15.2,2017,2017-03-01,60,1.21695876121521
15.3,2017,2017-03-13,72,1.1901190280914307
15.4,2017,2017-03-01,60,1.184550404548645
15.5,2017,2017-03-13,72,1.2241653203964233
15.6,2017,2017-10-03,276,1.174726128578186
15.7,2017,2017-10-27,300,1.2006964683532715
15.8,2017,2017-07-23,204,1.1920047998428345
15.9,2017,2017-10-27,300,1.239673137664795
16.0,2017,2017-07-23,204,1.2394781112670898
16.1,2017,2017-03-01,60,1.3181334733963013
16.2,2017,2017-03-01,60,1.3887656927108765
16.3,2017,2017-03-01,60,1.3574349880218506
16.4,2017,2017-03-01,60,1.4241366386413574
16.5,2017,2017-03-01,60,1.4241366386413574
16.6,2017,2017-03-01,60,1.418568730354309
16.7,2017,2017-03-01,60,1.4152157306671143
16.8,2017,2017-03-01,60,1.4152157306671143
16.9,2017,2017-03-01,60,1.5291659832000732
17.0,2017,2017-03-13,72,1.6016392707824707
17.1,2017,2017-03-13,72,1.6016392707824707
17.2,2017,2017-03-01,60,1.537672996520996
17.3,2017,2017-03-13,72,1.532529592514038
17.4,2017,2017-03-01,60,1.5570460557937622
17.5,2017,2017-03-01,60,1.582721471786499
17.6,2017,2017-03-01,60,1.6158775091171265
17.7,2017,2017-03-01,60,1.589127779006958
17.8,2017,2017-05-12,132,1.602209210395813
17.9,2017,2017-07-23,204,1.3379254341125488
18.0,2017,2017-07-23,204,1.3379254341125488
18.1,2017,2017-03-01,60,1.5513521432876587
18.2,2017,2017-03-01,60,1.5938009023666382
18.3,2017,2017-03-01,60,1.6237701177597046
18.4,2017,2017-03-01,60,1.6077117919921875
18.5,2017,2017-03-01,60,1.5449689626693726
18.6,2017,2017-03-01,60,1.5803090333938599
18.7,2017,2017-03-01,60,1.676642894744873
18.8,2017,2017-03-01,60,1.676642894744873
18.9,2017,2017-03-13,72,1.5632811784744263
19.0,2017,2017-07-23,204,1.4191480875015259
19.1,2017,2017-05-12,132,1.4203581809997559
19.2,2017,2017-05-12,132,1.7208503484725952
19.3,2017,2017-03-01,60,1.8364880084991455
19.4,2017,2017-07-23,204,1.5679807662963867
19.5,2017,2017-07-23,204,1.4165147542953491
19.6,2017,2017-07-23,204,1.5866721868515015
19.7,2017,2017-07-23,204,1.6354131698608398
19.8,2017,2017-08-28,240,1.2048662900924683
19.9,2017,2017-07-23,204,1.6880899667739868
20.0,2017,2017-07-23,204,1.5161930322647095
20.1,2017,2017-07-23,204,1.6608688831329346
20.2,2017,2017-08-04,216,1.2454566955566406
20.3,2017,2017-08-04,216,1.2454566955566406
20.4,2017,2017-04-30,120,1.3922699689865112
20.5,2017,2017-06-05,156,1.5600700378417969
20.6,2017,2017-08-04,216,1.1918110847473145
20.7,2017,2017-04-30,120,1.3426364660263062
20.8,2017,2017-05-12,132,1.7956985235214233
20.9,2017,2017-07-23,204,1.5677108764648438
21.0,2017,2017-05-12,132,1.779219150543213
21.1,2017,2017-07-23,204,1.5575512647628784
21.2,2017,2017-04-30,120,1.564651370048523
21.3,2017,2017-06-05,156,1.2998377084732056
21.4,2017,2017-06-05,156,1.2998377084732056
21.5,2017,2017-03-25,84,1.1226927042007446
21.6,2017,2017-06-05,156,1.1974613666534424
21.7,2017,2017-03-25,84,1.2314565181732178
21.8,2017,2017-07-23,204,1.8680753707885742
21.9,2017,2017-07-23,204,1.8680753707885742
22.0,2017,2017-07-23,204,2.021061897277832
22.1,2017,2017-07-23,204,2.0016088485717773
22.2,2017,2017-07-23,204,2.1442513465881348
22.3,2017,2017-07-23,204,2.1507043838500977
22.4,2017,2017-07-23,204,2.1507043838500977
22.5,2017,2017-07-23,204,2.055213212966919
22.6,2017,2017-07-23,204,1.9241752624511719
22.7,2017,2017-04-18,108,1.9613152742385864
22.8,2017,2017-05-12,132,1.83548903465271
22.9,2017,2017-05-12,132,1.83548903465271
23.0,2017,2017-07-23,204,1.8684933185577393
23.1,2017,2017-07-23,204,1.8422945737838745
23.2,2017,2017-07-23,204,1.1553846597671509
