distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,171.42857142857142,100.0,229.0,7,True
0.1,205.71428571428572,170.5,263.0,7,True
0.2,178.28571428571428,143.0,226.5,7,True
0.3,145.71428571428572,109.5,188.5,7,True
0.4,171.42857142857142,156.5,205.0,7,True
0.5,183.42857142857142,152.5,225.5,7,True
0.6,185.14285714285714,141.5,229.5,7,True
0.7,193.71428571428572,176.0,234.5,7,True
0.8,164.57142857142858,132.5,206.0,7,True
0.9,180.0,155.0,227.5,7,True
1.0,180.0,142.5,237.5,7,True
1.1,159.42857142857142,128.0,187.5,7,True
1.2,174.85714285714286,123.5,210.5,7,True
1.3,159.42857142857142,115.0,189.5,7,True
1.4,173.14285714285714,137.0,191.5,7,True
1.5,137.14285714285714,117.5,148.5,7,True
1.6,188.57142857142858,135.5,247.0,7,True
1.7,197.14285714285714,130.5,258.0,7,True
1.8,166.28571428571428,119.5,217.5,7,True
1.9,166.28571428571428,131.5,179.0,7,True
2.0,144.0,106.5,149.0,7,True
2.1,159.42857142857142,116.5,188.5,7,True
2.2,152.57142857142858,106.5,208.0,7,True
2.3,154.28571428571428,104.5,205.5,7,True
2.4,168.0,128.5,211.5,7,True
2.5,183.42857142857142,127.0,233.0,7,True
2.6,216.0,178.0,244.5,7,True
2.7,212.57142857142858,175.5,248.0,7,True
2.8,168.0,131.0,204.0,7,True
2.9,181.71428571428572,155.0,221.0,7,True
3.0,197.14285714285714,172.5,241.5,7,True
3.1,186.85714285714286,152.5,209.0,7,True
3.2,193.71428571428572,158.5,224.5,7,True
3.3,195.42857142857142,165.5,223.5,7,True
3.4,183.42857142857142,154.5,201.5,7,True
3.5,193.71428571428572,128.5,252.0,7,True
3.6,186.85714285714286,146.5,236.0,7,True
3.7,205.71428571428572,155.0,258.0,7,True
3.8,161.14285714285714,119.0,206.0,7,True
3.9,186.85714285714286,136.0,244.5,7,True
4.0,217.71428571428572,176.5,278.5,7,True
