distance_km,year,onset_date,onset_doy
5.4,2017,2017-03-13,72
5.5,2017,2017-03-01,60
6.7,2017,2017-03-13,72
6.8,2017,2017-03-13,72
7.0,2017,2017-03-13,72
7.1,2017,2017-03-13,72
8.9,2017,2017-03-25,84
9.0,2017,2017-03-25,84
9.1,2017,2017-03-25,84
9.2,2017,2017-04-18,108
9.3,2017,2017-03-01,60
9.4,2017,2017-03-01,60
9.5,2017,2017-03-01,60
9.6,2017,2017-03-01,60
9.7,2017,2017-03-13,72
9.9,2017,2017-04-18,108
10.0,2017,2017-03-13,72
10.1,2017,2017-03-13,72
10.2,2017,2017-03-13,72
10.9,2017,2017-03-13,72
11.0,2017,2017-03-25,84
14.3,2017,2017-06-05,156
16.0,2017,2017-03-01,60
16.1,2017,2017-03-01,60
16.2,2017,2017-03-01,60
16.3,2017,2017-03-01,60
17.4,2017,2017-03-13,72
17.5,2017,2017-03-13,72
17.6,2017,2017-03-13,72
17.7,2017,2017-03-13,72
17.8,2017,2017-03-13,72
18.2,2017,2017-03-01,60
18.3,2017,2017-04-18,108
18.4,2017,2017-04-18,108
18.5,2017,2017-03-01,60
18.6,2017,2017-03-01,60
18.69,2017,2017-03-01,60
0.1,2018,2018-03-08,67
0.8,2018,2018-03-08,67
0.9,2018,2018-03-08,67
1.0,2018,2018-03-08,67
1.1,2018,2018-03-08,67
1.2,2018,2018-03-08,67
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.3,2018,2018-03-08,67
3.0,2018,2018-03-08,67
3.1,2018,2018-03-08,67
3.3,2018,2018-03-08,67
3.4,2018,2018-03-08,67
3.6,2018,2018-03-08,67
4.5,2018,2018-03-08,67
4.6,2018,2018-03-08,67
5.0,2018,2018-03-08,67
5.1,2018,2018-03-08,67
5.2,2018,2018-03-08,67
5.3,2018,2018-04-01,91
5.4,2018,2018-04-01,91
5.5,2018,2018-05-07,127
5.6,2018,2018-03-08,67
5.7,2018,2018-03-08,67
5.8,2018,2018-03-08,67
5.9,2018,2018-03-08,67
6.0,2018,2018-03-20,79
6.1,2018,2018-03-20,79
6.2,2018,2018-04-13,103
6.4,2018,2018-04-13,103
6.5,2018,2018-04-01,91
7.8,2018,2018-03-20,79
9.6,2018,2018-04-25,115
12.3,2018,2018-04-25,115
12.4,2018,2018-04-25,115
13.3,2018,2018-03-20,79
16.6,2018,2018-04-25,115
16.7,2018,2018-04-25,115
0.0,2019,2019-05-02,122
0.1,2019,2019-05-02,122
0.2,2019,2019-05-02,122
1.1,2019,2019-03-15,74
1.2,2019,2019-03-15,74
1.9,2019,2019-05-02,122
2.5,2019,2019-04-08,98
2.6,2019,2019-04-08,98
2.7,2019,2019-04-08,98
2.8,2019,2019-04-08,98
3.2,2019,2019-05-02,122
4.5,2019,2019-03-27,86
4.6,2019,2019-03-27,86
4.7,2019,2019-03-27,86
5.0,2019,2019-03-03,62
5.1,2019,2019-05-14,134
5.2,2019,2019-03-15,74
5.3,2019,2019-03-03,62
5.4,2019,2019-03-03,62
5.6,2019,2019-03-15,74
5.7,2019,2019-03-15,74
5.9,2019,2019-03-03,62
6.0,2019,2019-03-03,62
6.5,2019,2019-03-03,62
6.6,2019,2019-03-03,62
6.7,2019,2019-03-03,62
7.0,2019,2019-03-03,62
7.1,2019,2019-03-03,62
7.2,2019,2019-03-03,62
7.4,2019,2019-03-03,62
7.5,2019,2019-03-03,62
7.6,2019,2019-03-03,62
7.7,2019,2019-03-03,62
7.8,2019,2019-03-03,62
7.9,2019,2019-04-20,110
8.0,2019,2019-04-20,110
8.1,2019,2019-04-20,110
8.2,2019,2019-04-20,110
8.3,2019,2019-03-03,62
8.4,2019,2019-03-03,62
8.5,2019,2019-03-03,62
8.7,2019,2019-03-03,62
8.9,2019,2019-03-03,62
9.0,2019,2019-03-03,62
9.1,2019,2019-03-03,62
12.6,2019,2019-03-03,62
13.7,2019,2019-03-03,62
14.0,2019,2019-03-03,62
14.1,2019,2019-03-03,62
16.7,2019,2019-03-03,62
16.8,2019,2019-03-03,62
17.4,2019,2019-03-03,62
2.2,2020,2020-06-13,165
4.7,2020,2020-03-09,69
4.8,2020,2020-03-09,69
4.9,2020,2020-03-21,81
5.0,2020,2020-03-09,69
5.1,2020,2020-03-09,69
5.3,2020,2020-03-21,81
5.4,2020,2020-03-09,69
5.5,2020,2020-03-21,81
5.6,2020,2020-03-21,81
6.2,2020,2020-04-02,93
6.3,2020,2020-04-02,93
10.1,2020,2020-04-26,117
10.2,2020,2020-04-26,117
14.1,2020,2020-04-26,117
14.2,2020,2020-04-26,117
0.0,2021,2021-04-09,99
0.1,2021,2021-04-09,99
0.2,2021,2021-04-09,99
0.3,2021,2021-04-09,99
0.4,2021,2021-04-09,99
0.5,2021,2021-04-09,99
0.6,2021,2021-05-15,135
0.7,2021,2021-05-15,135
0.8,2021,2021-05-15,135
0.9,2021,2021-05-15,135
1.0,2021,2021-04-09,99
1.1,2021,2021-04-09,99
1.2,2021,2021-05-15,135
1.3,2021,2021-05-15,135
2.3,2021,2021-04-21,111
2.4,2021,2021-05-15,135
2.5,2021,2021-05-15,135
2.7,2021,2021-05-15,135
2.8,2021,2021-04-09,99
2.9,2021,2021-04-09,99
3.4,2021,2021-04-09,99
3.5,2021,2021-04-21,111
3.6,2021,2021-04-21,111
3.8,2021,2021-04-21,111
3.9,2021,2021-04-21,111
4.1,2021,2021-04-09,99
4.2,2021,2021-04-09,99
4.3,2021,2021-04-09,99
4.4,2021,2021-04-09,99
4.7,2021,2021-03-04,63
4.9,2021,2021-03-04,63
5.0,2021,2021-03-04,63
5.1,2021,2021-03-04,63
5.2,2021,2021-03-04,63
5.3,2021,2021-03-04,63
5.4,2021,2021-03-04,63
5.5,2021,2021-03-04,63
5.6,2021,2021-03-04,63
5.8,2021,2021-03-16,75
6.0,2021,2021-03-28,87
6.2,2021,2021-03-28,87
9.9,2021,2021-05-03,123
10.0,2021,2021-05-03,123
10.1,2021,2021-05-03,123
10.2,2021,2021-05-03,123
10.3,2021,2021-05-03,123
10.4,2021,2021-05-03,123
10.5,2021,2021-05-03,123
10.6,2021,2021-05-03,123
10.7,2021,2021-05-03,123
