distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,105.75,89.25,127.0,60,142,4,True
0.1,98.0,67.0,122.0,60,142,5,True
0.2,105.75,89.25,127.0,60,142,4,True
0.3,100.33333333333333,79.5,120.5,60,142,3,True
0.4,100.33333333333333,79.5,120.5,60,142,3,True
0.5,100.33333333333333,79.5,120.5,60,142,3,True
0.6,112.33333333333333,97.5,138.5,60,142,3,True
0.7,120.33333333333333,97.5,150.5,60,166,3,True
0.8,107.0,65.25,142.75,60,166,4,True
0.9,107.0,65.25,142.75,60,166,4,True
1.0,98.0,65.25,115.75,60,166,4,True
1.1,83.5,72.25,95.25,67,99,4,True
1.2,99.0,74.0,125.0,67,135,5,True
1.3,126.0,118.0,138.5,101,142,3,True
1.4,125.0,116.5,133.5,108,142,2,True
1.5,142.0,142.0,142.0,142,142,1,True
1.6,111.33333333333333,96.0,133.5,67,142,3,True
1.7,84.0,75.5,92.5,67,101,2,True
1.8,145.5,135.25,155.75,125,166,2,True
1.9,103.75,65.25,133.0,60,166,4,True
2.0,101.0,101.0,101.0,101,101,1,True
2.1,101.0,80.5,121.5,60,142,3,True
2.2,133.0,117.0,149.0,101,165,2,True
2.3,105.25,92.5,118.75,67,142,4,True
2.4,114.5,104.25,124.75,94,135,2,True
2.5,96.75,85.5,107.25,60,135,4,True
2.6,98.0,98.0,98.0,98,98,1,True
2.7,116.5,107.25,125.75,98,135,2,True
2.8,98.5,98.25,98.75,98,99,2,True
2.9,100.0,99.5,100.5,99,101,2,True
3.0,92.0,84.0,104.5,67,108,3,True
3.1,89.66666666666667,63.5,104.5,60,142,3,True
3.2,91.0,75.5,106.5,60,122,2,True
3.3,63.5,61.75,65.25,60,67,2,True
3.4,75.33333333333333,63.5,83.0,60,99,3,True
3.5,85.5,72.75,98.25,60,111,2,True
3.6,107.33333333333333,89.0,127.5,67,144,3,True
3.7,108.0,108.0,108.0,108,108,1,True
3.8,111.0,111.0,111.0,111,111,1,True
3.9,111.0,111.0,111.0,111,111,1,True
4.0,101.0,101.0,101.0,101,101,1,True
4.1,121.5,110.25,132.75,99,144,2,True
4.2,79.5,69.75,89.25,60,99,2,True
4.3,79.5,69.75,89.25,60,99,2,True
4.4,79.5,69.75,89.25,60,99,2,True
4.5,82.75,78.25,88.5,67,96,4,True
4.6,79.2,67.0,86.0,65,96,5,True
4.7,69.6,63.0,70.0,60,86,5,True
4.8,72.0,66.75,74.75,60,89,4,True
4.9,72.6,65.0,81.0,63,82,5,True
5.0,68.57142857142857,64.0,70.5,62,82,7,True
5.1,83.0,67.0,82.0,63,134,5,True
5.2,71.6,67.0,74.0,63,82,5,True
5.3,73.71428571428571,64.0,81.5,62,91,7,True
5.4,73.0,66.0,77.0,62,91,7,True
5.5,80.28571428571429,67.5,81.5,60,127,7,True
5.6,69.0,63.0,74.0,60,81,5,True
5.7,67.0,63.5,70.5,60,74,3,True
5.8,67.33333333333333,63.5,71.0,60,75,3,True
5.9,63.0,61.0,64.5,60,67,3,True
6.0,75.0,69.5,81.0,62,87,4,True
6.1,79.0,79.0,79.0,79,79,1,True
6.2,94.33333333333333,90.0,98.0,87,103,3,True
6.3,93.0,93.0,93.0,93,93,1,True
6.4,103.0,103.0,103.0,103,103,1,True
6.5,71.0,61.0,76.5,60,91,3,True
6.6,67.0,64.5,69.5,62,72,2,True
6.7,67.0,64.5,69.5,62,72,2,True
6.8,72.0,72.0,72.0,72,72,1,True
7.0,67.0,64.5,69.5,62,72,2,True
7.1,67.0,64.5,69.5,62,72,2,True
7.2,62.0,62.0,62.0,62,62,1,True
7.4,62.0,62.0,62.0,62,62,1,True
7.5,62.0,62.0,62.0,62,62,1,True
7.6,62.0,62.0,62.0,62,62,1,True
7.7,62.0,62.0,62.0,62,62,1,True
7.8,70.5,66.25,74.75,62,79,2,True
7.9,110.0,110.0,110.0,110,110,1,True
8.0,110.0,110.0,110.0,110,110,1,True
8.1,110.0,110.0,110.0,110,110,1,True
8.2,110.0,110.0,110.0,110,110,1,True
8.3,62.0,62.0,62.0,62,62,1,True
8.4,62.0,62.0,62.0,62,62,1,True
8.5,62.0,62.0,62.0,62,62,1,True
8.7,62.0,62.0,62.0,62,62,1,True
8.9,73.0,67.5,78.5,62,84,2,True
9.0,73.0,67.5,78.5,62,84,2,True
9.1,73.0,67.5,78.5,62,84,2,True
9.2,108.0,108.0,108.0,108,108,1,True
9.3,60.0,60.0,60.0,60,60,1,True
9.4,60.0,60.0,60.0,60,60,1,True
9.5,60.0,60.0,60.0,60,60,1,True
9.6,87.5,73.75,101.25,60,115,2,True
9.7,72.0,72.0,72.0,72,72,1,True
9.9,115.5,111.75,119.25,108,123,2,True
10.0,97.5,84.75,110.25,72,123,2,True
10.1,104.0,94.5,120.0,72,123,3,True
10.2,104.0,94.5,120.0,72,123,3,True
10.3,138.5,130.75,146.25,123,154,2,True
10.4,102.5,92.25,112.75,82,123,2,True
10.5,102.5,92.25,112.75,82,123,2,True
10.6,102.5,92.25,112.75,82,123,2,True
10.7,123.0,123.0,123.0,123,123,1,True
10.8,123.0,123.0,123.0,123,123,1,True
10.9,97.5,84.75,110.25,72,123,2,True
11.0,103.5,93.75,113.25,84,123,2,True
11.1,123.0,123.0,123.0,123,123,1,True
11.2,123.0,123.0,123.0,123,123,1,True
11.3,123.0,123.0,123.0,123,123,1,True
11.4,123.0,123.0,123.0,123,123,1,True
11.5,138.5,130.75,146.25,123,154,2,True
11.6,138.5,130.75,146.25,123,154,2,True
11.7,138.5,130.75,146.25,123,154,2,True
11.8,138.5,130.75,146.25,123,154,2,True
11.9,138.5,130.75,146.25,123,154,2,True
12.0,123.0,123.0,123.0,123,123,1,True
12.2,147.0,147.0,147.0,147,147,1,True
12.3,131.0,123.0,139.0,115,147,2,True
12.4,131.0,123.0,139.0,115,147,2,True
12.5,123.0,123.0,123.0,123,123,1,True
12.6,104.5,83.25,125.75,62,147,2,True
12.7,147.0,147.0,147.0,147,147,1,True
13.3,79.0,79.0,79.0,79,79,1,True
13.4,147.0,147.0,147.0,147,147,1,True
13.5,147.0,147.0,147.0,147,147,1,True
13.6,147.0,147.0,147.0,147,147,1,True
13.7,62.0,62.0,62.0,62,62,1,True
13.8,154.0,154.0,154.0,154,154,1,True
14.0,62.0,62.0,62.0,62,62,1,True
14.1,89.5,75.75,103.25,62,117,2,True
14.2,132.0,124.5,139.5,117,147,2,True
14.3,139.5,131.25,147.75,123,156,2,True
14.4,123.0,123.0,123.0,123,123,1,True
14.5,154.0,154.0,154.0,154,154,1,True
16.0,60.0,60.0,60.0,60,60,1,True
16.1,60.0,60.0,60.0,60,60,1,True
16.2,60.0,60.0,60.0,60,60,1,True
16.3,60.0,60.0,60.0,60,60,1,True
16.6,131.0,123.0,139.0,115,147,2,True
16.7,108.0,88.5,131.0,62,147,3,True
16.8,104.5,83.25,125.75,62,147,2,True
16.9,147.0,147.0,147.0,147,147,1,True
17.0,147.0,147.0,147.0,147,147,1,True
17.1,147.0,147.0,147.0,147,147,1,True
17.4,67.0,64.5,69.5,62,72,2,True
17.5,72.0,72.0,72.0,72,72,1,True
17.6,72.0,72.0,72.0,72,72,1,True
17.7,72.0,72.0,72.0,72,72,1,True
17.8,72.0,72.0,72.0,72,72,1,True
18.2,60.0,60.0,60.0,60,60,1,True
18.3,108.0,108.0,108.0,108,108,1,True
18.4,108.0,108.0,108.0,108,108,1,True
18.5,60.0,60.0,60.0,60,60,1,True
18.6,60.0,60.0,60.0,60,60,1,True
18.69,60.0,60.0,60.0,60,60,1,True
