distance_km,year,peak_date,peak_doy,peak_val
4.3,2017,2017-10-15,288,0.19115933775901794
4.4,2017,2017-10-15,288,0.3723208010196686
4.5,2017,2017-04-30,120,0.5893282890319824
4.6,2017,2017-04-30,120,0.5893282890319824
4.7,2017,2017-04-30,120,0.6532596349716187
4.8,2017,2017-04-06,96,0.8635152578353882
4.9,2017,2017-08-28,240,0.6891586184501648
5.0,2017,2017-04-30,120,0.6877783536911011
5.1,2017,2017-04-18,108,0.6935286521911621
5.2,2017,2017-03-25,84,0.7034217119216919
5.3,2017,2017-03-25,84,0.9082852602005005
5.4,2017,2017-03-25,84,0.7428640127182007
5.5,2017,2017-04-18,108,0.6908361911773682
5.6,2017,2017-03-13,72,0.667374849319458
5.7,2017,2017-03-13,72,0.6840640306472778
5.8,2017,2017-03-13,72,0.6929290890693665
5.9,2017,2017-03-13,72,0.7186434268951416
6.0,2017,2017-03-13,72,0.7186434268951416
6.1,2017,2017-03-13,72,0.6922503113746643
6.2,2017,2017-10-27,300,0.3934072256088257
6.3,2017,2017-10-27,300,0.43989086151123047
6.4,2017,2017-04-18,108,0.3019532263278961
6.5,2017,2017-03-13,72,0.6175674200057983
6.6,2017,2017-03-13,72,0.6153377890586853
6.7,2017,2017-03-13,72,0.6155470609664917
6.8,2017,2017-03-13,72,0.6147730350494385
6.9,2017,2017-03-25,84,0.48928698897361755
7.0,2017,2017-03-13,72,0.5875937342643738
7.1,2017,2017-03-13,72,0.54795241355896
7.2,2017,2017-10-27,300,0.6016804575920105
7.3,2017,2017-10-15,288,0.42856210470199585
7.4,2017,2017-03-25,84,0.6642916798591614
7.5,2017,2017-03-25,84,0.9073289036750793
7.6,2017,2017-04-06,96,0.7674487829208374
7.7,2017,2017-03-01,60,0.5622193217277527
7.8,2017,2017-03-01,60,0.5485695600509644
7.9,2017,2017-03-01,60,0.5224027037620544
8.0,2017,2017-03-01,60,0.5224027037620544
8.1,2017,2017-04-06,96,0.7337822914123535
8.2,2017,2017-04-06,96,0.7164594531059265
8.3,2017,2017-08-28,240,0.43091967701911926
8.4,2017,2017-08-28,240,0.43091967701911926
8.5,2017,2017-04-06,96,0.5829986333847046
8.6,2017,2017-08-28,240,0.45108762383461
