distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,190.28571428571428,144.0,241.0,7,True
0.1,190.28571428571428,144.0,241.0,7,True
0.2,164.57142857142858,130.5,182.5,7,True
0.3,156.0,110.5,182.5,7,True
0.4,137.14285714285714,91.5,144.0,7,True
0.5,137.14285714285714,91.5,146.5,7,True
0.6,147.42857142857142,88.0,185.0,7,True
0.7,162.85714285714286,69.5,251.0,7,True
0.8,157.71428571428572,80.5,218.0,7,True
0.9,161.14285714285714,103.5,206.0,7,True
1.0,192.0,127.5,252.0,7,True
1.1,154.28571428571428,122.5,195.5,7,True
1.2,152.57142857142858,112.5,175.5,7,True
1.3,183.42857142857142,127.5,232.5,7,True
1.4,198.85714285714286,168.0,247.0,7,True
1.5,145.71428571428572,105.5,180.0,7,True
1.6,169.71428571428572,127.5,190.5,7,True
1.7,204.0,156.0,261.5,7,True
1.8,183.42857142857142,146.5,221.5,7,True
1.9,159.42857142857142,76.0,236.0,7,True
2.0,161.14285714285714,91.5,220.5,7,True
2.1,222.85714285714286,169.5,287.0,7,True
2.2,192.0,154.0,215.5,7,True
2.3,224.57142857142858,169.0,274.0,7,True
2.4,234.85714285714286,242.5,263.0,7,True
2.5,164.57142857142858,73.5,251.5,7,True
2.6,197.14285714285714,155.0,243.5,7,True
2.7,228.0,188.5,288.0,7,True
2.8,202.28571428571428,132.0,267.5,7,True
2.9,233.14285714285714,211.5,269.0,7,True
3.0,207.42857142857142,132.5,277.0,7,True
3.1,207.42857142857142,162.0,259.5,7,True
3.2,190.28571428571428,125.0,264.0,7,True
3.3,209.14285714285714,132.5,280.5,7,True
3.4,200.57142857142858,132.0,277.5,7,True
3.5,166.28571428571428,95.0,248.0,7,True
3.6,166.28571428571428,95.0,248.0,7,True
3.7,137.14285714285714,124.0,152.5,7,True
3.8,144.0,115.5,139.5,7,True
3.9,154.28571428571428,113.0,181.5,7,True
4.0,178.28571428571428,103.0,248.0,7,True
4.1,166.28571428571428,97.0,242.5,7,True
4.2,140.57142857142858,78.0,193.5,7,True
4.3,153.0,80.75,228.25,8,True
4.4,159.0,98.75,180.25,8,True
4.5,100.5,81.25,120.5,8,True
4.6,154.5,95.75,204.75,8,True
4.7,103.5,82.5,125.5,8,True
4.8,129.0,85.0,138.0,8,True
4.9,148.5,85.0,243.5,8,True
5.0,112.5,71.5,120.5,8,True
5.1,108.0,78.75,101.25,8,True
5.2,109.5,84.0,95.25,8,True
5.3,132.0,84.0,133.75,8,True
5.4,111.0,83.5,98.5,8,True
5.5,115.5,81.75,112.75,8,True
5.6,85.5,73.5,87.5,8,True
5.7,96.0,73.5,98.5,8,True
5.8,100.5,72.0,87.5,8,True
5.9,96.0,72.0,83.75,8,True
6.0,85.5,71.25,83.25,8,True
6.1,91.5,71.25,95.25,8,True
6.2,141.0,81.75,189.25,8,True
6.3,118.5,78.75,114.5,8,True
6.4,111.0,73.5,121.25,8,True
6.5,127.5,70.75,180.0,8,True
6.6,136.5,72.0,186.25,8,True
6.7,123.0,71.25,139.5,8,True
6.8,156.0,78.75,268.5,8,True
6.9,150.0,81.75,239.25,8,True
7.0,124.5,78.75,131.5,8,True
7.1,114.0,72.0,130.5,8,True
7.2,136.5,78.75,166.5,8,True
7.3,168.0,115.25,256.75,8,True
7.4,105.0,82.75,121.5,8,True
7.5,115.5,80.5,159.5,8,True
7.6,129.0,93.5,148.5,8,True
7.7,100.5,65.75,126.25,8,True
7.8,109.5,70.75,126.25,8,True
7.9,117.0,83.25,119.0,8,True
8.0,117.0,83.25,119.0,8,True
8.1,109.5,77.75,98.25,8,True
8.2,114.0,81.25,102.5,8,True
8.3,153.0,79.75,245.5,8,True
8.4,153.0,79.75,245.5,8,True
8.5,121.5,89.25,124.75,8,True
8.6,103.5,75.0,97.75,8,True
8.7,94.5,82.25,101.5,8,True
8.8,102.0,82.25,127.5,8,True
8.9,100.5,83.5,127.5,8,True
9.0,123.0,92.25,128.75,8,True
9.1,123.0,92.25,128.75,8,True
9.2,154.5,100.75,194.25,8,True
9.3,159.0,111.25,194.25,8,True
9.4,190.5,124.75,240.75,8,True
9.5,162.0,114.5,216.75,8,True
9.6,180.0,105.5,236.5,8,True
9.7,147.0,76.25,225.25,8,True
9.8,177.0,103.75,256.0,8,True
9.9,148.5,75.75,223.25,8,True
10.0,148.5,108.0,186.75,8,True
10.1,150.0,119.25,179.25,8,True
10.2,150.0,119.25,179.25,8,True
10.3,180.0,132.25,227.5,8,True
10.4,171.0,132.25,227.5,8,True
10.5,166.5,118.75,205.5,8,True
10.6,166.5,118.75,205.5,8,True
10.7,142.5,97.75,174.75,8,True
10.8,139.5,91.5,204.75,8,True
10.9,151.5,92.25,204.75,8,True
11.0,151.5,90.75,219.5,8,True
11.1,159.0,83.25,219.5,8,True
11.2,147.0,83.25,191.25,8,True
11.3,147.0,83.25,191.25,8,True
11.4,145.5,83.25,182.25,8,True
11.5,147.0,83.25,191.25,8,True
11.6,151.5,121.5,190.5,8,True
11.7,135.0,83.25,170.25,8,True
11.8,127.5,83.25,145.75,8,True
11.9,151.5,114.75,174.75,8,True
12.0,114.0,78.5,123.0,8,True
12.1,130.5,91.5,144.5,8,True
12.2,177.0,135.0,226.25,8,True
12.3,190.5,131.25,238.0,8,True
12.4,153.0,104.25,201.5,8,True
12.5,129.0,82.25,152.25,8,True
12.6,121.5,89.0,142.75,8,True
12.7,103.5,89.0,124.0,8,True
12.8,106.5,95.25,119.25,8,True
12.9,109.5,95.25,124.0,8,True
13.0,120.0,95.25,124.0,8,True
13.1,121.5,98.0,142.5,8,True
13.2,145.5,109.0,158.25,8,True
13.3,126.0,99.25,138.5,8,True
13.4,147.0,128.25,165.75,8,True
13.5,156.0,112.5,175.5,8,True
13.6,156.0,112.5,175.5,8,True
13.7,169.5,126.0,225.75,8,True
13.8,172.5,138.75,219.75,8,True
13.9,198.0,173.5,226.25,8,True
14.0,163.5,109.75,244.5,8,True
14.1,189.0,144.0,243.0,8,True
14.2,216.0,204.0,240.75,8,True
14.3,166.5,115.5,231.0,8,True
14.4,166.5,94.5,241.75,8,True
14.5,171.0,135.75,192.5,8,True
14.6,165.0,98.25,248.25,8,True
14.7,165.0,98.25,248.25,8,True
14.8,190.5,164.0,236.25,8,True
14.9,174.0,119.25,236.25,8,True
15.0,168.0,73.5,261.5,8,True
15.1,168.0,73.5,261.5,8,True
15.2,181.5,94.75,278.75,8,True
15.3,169.5,93.75,226.25,8,True
15.4,190.5,93.75,266.0,8,True
15.5,190.5,93.75,266.0,8,True
15.6,219.0,186.75,278.75,8,True
15.7,219.0,186.75,278.75,8,True
15.8,187.5,98.25,238.25,8,True
15.9,160.5,85.75,223.5,8,True
16.0,169.5,93.75,223.5,8,True
16.1,195.0,171.25,223.5,8,True
16.2,175.5,146.25,223.5,8,True
16.3,175.5,146.25,223.5,8,True
16.4,178.5,150.75,217.75,8,True
16.5,154.5,78.5,204.75,8,True
16.6,135.0,67.25,209.25,8,True
16.7,154.5,97.25,209.25,8,True
16.8,150.0,94.25,209.25,8,True
16.9,165.0,145.5,207.0,8,True
17.0,165.0,146.25,207.0,8,True
17.1,165.0,146.25,207.0,8,True
17.2,162.0,82.5,217.75,8,True
17.3,145.5,76.5,207.0,8,True
17.4,201.0,192.25,231.0,8,True
17.5,211.5,213.0,234.25,8,True
17.6,192.0,146.25,239.0,8,True
17.7,192.0,146.25,239.0,8,True
17.8,178.5,86.25,239.0,8,True
17.9,204.0,194.5,226.25,8,True
18.0,195.0,149.25,236.75,8,True
18.1,222.0,198.75,238.25,8,True
18.2,222.0,210.75,266.0,8,True
18.3,214.5,203.5,241.5,8,True
18.4,214.5,203.5,241.5,8,True
18.5,210.0,178.75,238.25,8,True
18.6,198.0,151.5,238.25,8,True
18.69,223.5,213.0,266.0,8,True
