s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,469306.95340704074,3997828.000564077,6963.7266,27.566666,0.09210637
0.1,469227.70809037343,3997885.124787,6916.955,19.576109,0.088036604
0.2,469128.16837303335,3997888.623624157,6837.5054,29.820368,0.08874064
0.3,469028.9999240051,3997876.1755960817,6808.008,28.039438,0.088619016
0.4,468930.6675551351,3997858.181580991,6762.3403,28.109747,0.08996316
0.5,468830.95258312236,3997852.751089085,6687.2305,27.080091,0.08888131
0.6,468732.46501451853,3997868.3105559633,6653.7354,30.774271,0.08652516
0.7,468641.2592777977,3997908.2902915054,6613.0166,30.73393,0.08672426
0.8,468563.90478404093,3997971.0491870767,6503.3516,32.2964,0.08586534
0.9,468506.09793985356,3998052.0604243116,6410.509,34.217384,0.08792845
1.0,468466.48895001004,3998143.7021731646,6341.8696,33.2508,0.09292081
1.1,468442.5750724251,3998240.724719167,6258.886,31.501862,0.09300097
1.2,468428.1075566701,3998339.6090173433,6114.562,39.168346,0.11071635
1.3,468421.02153667394,3998439.3175477907,6006.7637,33.102783,0.17988771
1.4,468419.70288203156,3998539.284044314,5947.6987,31.665415,0.20071384
1.5,468425.75087397045,3998639.036590733,5861.977,34.094566,0.19479701
1.6,468440.8362213683,3998737.824457232,5782.147,34.510197,0.19925545
1.7,468465.883905443,3998834.581508258,5699.129,40.21664,0.22307247
1.8,468502.51349689893,3998927.559894223,5625.4595,44.263298,0.2599334
1.9,468550.1965654928,3999015.341403724,5552.183,45.841026,0.2795056
2.0,468608.1001300914,3999096.7105652723,5484.4033,47.219963,0.30655247
2.1,468675.1644960709,3999170.7127031237,5413.3047,46.81108,0.31990334
2.2,468737.67415885394,3999248.3428916573,5358.225,46.664078,0.32414633
2.3,468786.1076361501,3999335.560597321,5295.4424,45.480854,0.31770474
2.4,468821.8164067538,3999428.7858882775,5213.668,43.101418,0.33414572
2.5,468846.9648817891,3999525.4300879943,5141.54,39.601936,0.33537382
2.6,468863.75255489734,3999623.898472006,5084.8594,37.745148,0.3280018
2.7,468874.0462773497,3999723.3057860592,5022.2705,36.536854,0.31600314
2.8,468878.5870434405,3999823.2026400804,4952.4126,37.738377,0.27214938
2.9,468877.22015178023,3999923.172141156,4882.6577,39.847717,0.2624558
3.0,468872.9496118201,4000023.043601839,4804.6055,42.501877,0.2744466
3.1,468865.2799619319,4000122.749050389,4739.3213,47.276352,0.29381928
3.2,468847.1527906691,4000220.9145496557,4704.2065,52.924206,0.31082812
3.3,468824.7396295135,4000318.306477689,4639.552,59.69562,0.31975952
3.4,468790.99349993095,4000412.440418105,4608.1396,67.31924,0.33297107
3.5,468753.8128771856,4000505.113929059,4566.5415,75.6563,0.3828864
3.6,468709.42682040186,4000594.723515394,4566.5415,79.87174,0.4709811
