distance_km,year,onset_date,onset_doy
0.0,2017,2017-03-25,84
0.5,2017,2017-04-30,120
0.7,2017,2017-04-18,108
0.8,2017,2017-04-18,108
0.9,2017,2017-04-18,108
1.0,2017,2017-03-13,72
1.1,2017,2017-03-13,72
1.2,2017,2017-04-18,108
1.3,2017,2017-04-18,108
1.4,2017,2017-04-18,108
1.5,2017,2017-03-01,60
1.6,2017,2017-03-01,60
1.7,2017,2017-03-01,60
1.8,2017,2017-03-13,72
1.9,2017,2017-03-13,72
2.0,2017,2017-03-01,60
2.1,2017,2017-03-01,60
2.2,2017,2017-03-01,60
2.3,2017,2017-03-13,72
2.4,2017,2017-03-01,60
2.5,2017,2017-03-01,60
2.6,2017,2017-03-01,60
2.7,2017,2017-03-01,60
2.8,2017,2017-03-01,60
2.9,2017,2017-03-01,60
3.0,2017,2017-03-01,60
3.1,2017,2017-03-01,60
3.2,2017,2017-06-05,156
3.3,2017,2017-03-25,84
3.6,2017,2017-04-06,96
3.7,2017,2017-03-25,84
3.8,2017,2017-03-25,84
3.9,2017,2017-03-25,84
4.0,2017,2017-03-25,84
4.1,2017,2017-04-30,120
4.2,2017,2017-04-30,120
4.3,2017,2017-04-30,120
4.4,2017,2017-04-30,120
4.6,2017,2017-03-01,60
4.7,2017,2017-03-01,60
4.8,2017,2017-03-01,60
4.9,2017,2017-03-01,60
5.2,2017,2017-03-25,84
5.3,2017,2017-03-01,60
5.4,2017,2017-03-01,60
5.5,2017,2017-03-01,60
5.6,2017,2017-04-18,108
5.7,2017,2017-03-13,72
6.6,2017,2017-03-01,60
6.7,2017,2017-03-01,60
7.8,2017,2017-03-25,84
7.9,2017,2017-03-25,84
8.0,2017,2017-03-25,84
8.2,2017,2017-03-25,84
11.5,2017,2017-04-30,120
11.6,2017,2017-04-30,120
11.7,2017,2017-06-05,156
11.8,2017,2017-04-30,120
11.9,2017,2017-04-30,120
12.0,2017,2017-06-05,156
12.1,2017,2017-06-05,156
12.3,2017,2017-06-05,156
12.4,2017,2017-03-13,72
12.5,2017,2017-03-01,60
12.6,2017,2017-03-01,60
12.7,2017,2017-03-01,60
12.8,2017,2017-03-25,84
12.9,2017,2017-03-25,84
13.6,2017,2017-06-05,156
13.7,2017,2017-06-05,156
13.8,2017,2017-06-05,156
13.9,2017,2017-06-05,156
14.0,2017,2017-03-01,60
14.1,2017,2017-03-01,60
14.2,2017,2017-03-01,60
14.3,2017,2017-04-18,108
14.4,2017,2017-04-18,108
14.5,2017,2017-03-01,60
14.6,2017,2017-03-01,60
14.7,2017,2017-03-25,84
14.8,2017,2017-03-25,84
14.9,2017,2017-03-25,84
15.0,2017,2017-06-05,156
15.1,2017,2017-06-05,156
15.2,2017,2017-04-30,120
15.3,2017,2017-03-01,60
15.4,2017,2017-03-01,60
15.5,2017,2017-03-01,60
15.6,2017,2017-03-01,60
15.7,2017,2017-03-01,60
15.8,2017,2017-03-01,60
15.9,2017,2017-03-01,60
16.0,2017,2017-03-01,60
16.1,2017,2017-03-01,60
16.2,2017,2017-06-05,156
16.3,2017,2017-06-05,156
16.4,2017,2017-04-30,120
16.5,2017,2017-04-06,96
16.6,2017,2017-04-06,96
16.7,2017,2017-04-06,96
16.8,2017,2017-04-30,120
