distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,168.0,144.25,188.25,8,True
0.1,172.5,121.75,228.5,8,True
0.2,219.0,181.0,249.75,8,True
0.3,219.0,181.0,249.75,8,True
0.4,181.5,131.5,231.5,8,True
0.5,234.0,222.0,266.0,8,True
0.6,222.0,150.75,282.25,8,True
0.7,186.0,133.75,228.5,8,True
0.8,186.0,133.75,228.5,8,True
0.9,190.5,131.25,242.75,8,True
1.0,186.0,104.5,277.25,8,True
1.1,217.5,159.25,268.75,8,True
1.2,171.0,120.75,213.5,8,True
1.3,171.0,120.75,213.5,8,True
1.4,171.0,134.75,182.25,8,True
1.5,183.0,134.75,254.5,8,True
1.6,183.0,134.75,254.5,8,True
1.7,171.0,118.5,201.25,8,True
1.8,153.0,132.25,162.75,8,True
1.9,153.0,132.25,162.75,8,True
2.0,208.5,146.75,264.75,8,True
2.1,201.0,116.5,269.5,8,True
2.2,166.5,89.25,261.75,8,True
2.3,175.5,116.5,261.75,8,True
2.4,199.5,130.25,264.5,8,True
2.5,172.5,106.25,260.75,8,True
2.6,187.5,142.5,243.25,8,True
2.7,138.0,96.25,162.75,8,True
2.8,138.0,96.25,162.75,8,True
2.9,115.5,85.75,137.25,8,True
3.0,162.0,128.75,172.75,8,True
3.1,150.0,124.25,154.5,8,True
3.2,136.5,95.5,154.5,8,True
3.3,166.5,88.75,237.75,8,True
3.4,174.0,138.0,229.75,8,True
3.5,174.0,138.0,229.75,8,True
3.6,150.0,116.25,167.0,8,True
3.7,120.0,71.5,120.5,8,True
3.8,124.5,112.5,135.5,8,True
3.9,124.5,112.5,135.5,8,True
4.0,145.5,120.0,176.25,8,True
4.1,142.5,123.75,155.5,8,True
4.2,154.5,116.5,181.25,8,True
4.3,168.0,145.5,185.75,8,True
4.4,162.0,114.75,190.5,8,True
4.5,132.0,104.25,146.75,8,True
4.6,151.5,104.25,195.75,8,True
4.7,162.0,118.75,193.5,8,True
4.8,177.0,142.75,196.25,8,True
4.9,189.0,144.75,238.5,8,True
5.0,151.5,122.75,162.75,8,True
5.1,151.5,122.75,162.75,8,True
5.2,147.0,100.5,159.75,8,True
5.3,178.5,136.5,238.5,8,True
5.4,190.5,136.0,243.75,8,True
5.5,174.0,132.0,236.5,8,True
5.6,144.0,90.25,177.75,8,True
5.7,150.0,112.5,166.5,8,True
5.8,154.5,90.75,200.25,8,True
5.9,183.0,91.5,266.75,8,True
6.0,150.0,102.25,169.5,8,True
6.1,138.0,90.25,166.5,8,True
6.2,199.5,143.75,254.5,8,True
6.3,190.5,143.75,245.5,8,True
6.4,169.5,126.0,200.25,8,True
6.5,169.5,126.0,200.25,8,True
6.6,159.0,113.25,200.25,8,True
6.7,189.0,149.0,246.5,8,True
6.8,174.0,81.0,243.25,8,True
6.9,174.0,81.0,243.25,8,True
7.0,190.5,109.75,248.75,8,True
7.1,150.0,83.5,193.5,8,True
7.2,183.0,134.25,248.25,8,True
7.3,145.5,94.0,177.0,8,True
7.4,190.5,123.25,246.5,8,True
7.5,183.0,120.25,243.0,8,True
7.6,199.5,133.75,260.75,8,True
7.7,205.5,138.5,282.75,8,True
7.8,183.0,64.5,262.5,8,True
7.9,229.5,210.0,270.5,8,True
8.0,190.5,109.5,260.75,8,True
8.1,211.5,189.75,263.0,8,True
8.2,222.0,215.75,257.75,8,True
8.3,231.0,210.75,280.0,8,True
8.4,231.0,210.75,280.0,8,True
8.5,178.5,88.25,266.0,8,True
8.6,229.5,200.25,282.25,8,True
