distance_km,year,onset_date,onset_doy
0.1,2017,2017-06-05,156
0.3,2017,2017-03-01,60
0.4,2017,2017-04-06,96
0.5,2017,2017-03-25,84
0.6,2017,2017-03-13,72
0.7,2017,2017-03-13,72
0.9,2017,2017-04-30,120
1.0,2017,2017-04-30,120
2.1,2017,2017-03-13,72
2.2,2017,2017-03-01,60
2.3,2017,2017-03-01,60
2.4,2017,2017-03-01,60
2.5,2017,2017-03-01,60
2.6,2017,2017-03-01,60
2.7,2017,2017-03-01,60
2.8,2017,2017-03-01,60
2.9,2017,2017-03-01,60
3.0,2017,2017-03-01,60
3.1,2017,2017-03-01,60
3.5,2017,2017-04-18,108
3.8,2017,2017-04-18,108
4.0,2017,2017-03-13,72
4.1,2017,2017-03-01,60
4.2,2017,2017-03-01,60
4.3,2017,2017-03-01,60
4.4,2017,2017-03-01,60
4.5,2017,2017-03-01,60
4.6,2017,2017-03-01,60
4.7,2017,2017-03-25,84
4.8,2017,2017-03-25,84
4.9,2017,2017-04-06,96
5.0,2017,2017-04-06,96
5.1,2017,2017-04-18,108
5.2,2017,2017-04-18,108
5.3,2017,2017-04-18,108
5.4,2017,2017-03-01,60
5.5,2017,2017-03-01,60
6.5,2017,2017-04-18,108
6.8,2017,2017-04-06,96
6.9,2017,2017-04-18,108
8.1,2017,2017-04-06,96
8.2,2017,2017-03-13,72
8.3,2017,2017-03-13,72
8.4,2017,2017-03-13,72
8.6,2017,2017-03-25,84
8.7,2017,2017-03-25,84
8.8,2017,2017-03-13,72
8.9,2017,2017-03-13,72
9.0,2017,2017-03-13,72
9.1,2017,2017-03-13,72
9.2,2017,2017-03-01,60
9.3,2017,2017-03-01,60
9.4,2017,2017-03-01,60
9.5,2017,2017-04-06,96
9.9,2017,2017-04-06,96
10.0,2017,2017-04-06,96
10.1,2017,2017-04-06,96
10.2,2017,2017-04-06,96
10.3,2017,2017-04-06,96
10.4,2017,2017-03-01,60
14.7,2017,2017-03-01,60
14.8,2017,2017-03-01,60
14.9,2017,2017-03-01,60
15.5,2017,2017-06-05,156
15.7,2017,2017-04-30,120
15.9,2017,2017-04-06,96
16.2,2017,2017-04-06,96
16.3,2017,2017-04-06,96
16.4,2017,2017-04-06,96
16.5,2017,2017-04-06,96
16.6,2017,2017-04-06,96
16.7,2017,2017-06-05,156
16.8,2017,2017-04-06,96
16.9,2017,2017-04-06,96
17.0,2017,2017-05-12,132
17.1,2017,2017-04-30,120
17.2,2017,2017-03-25,84
17.3,2017,2017-03-25,84
17.4,2017,2017-03-25,84
17.5,2017,2017-04-30,120
17.6,2017,2017-04-30,120
17.7,2017,2017-04-30,120
17.8,2017,2017-04-30,120
17.9,2017,2017-04-30,120
18.0,2017,2017-04-30,120
18.1,2017,2017-04-30,120
18.2,2017,2017-04-30,120
18.3,2017,2017-05-12,132
18.4,2017,2017-04-30,120
18.5,2017,2017-04-30,120
18.6,2017,2017-04-30,120
18.7,2017,2017-04-06,96
18.8,2017,2017-04-06,96
18.9,2017,2017-04-06,96
19.0,2017,2017-04-06,96
19.1,2017,2017-04-06,96
19.2,2017,2017-03-25,84
19.3,2017,2017-03-25,84
19.4,2017,2017-03-25,84
19.5,2017,2017-03-25,84
19.6,2017,2017-04-18,108
19.7,2017,2017-04-18,108
19.8,2017,2017-04-18,108
19.9,2017,2017-04-18,108
20.0,2017,2017-04-18,108
20.1,2017,2017-04-18,108
20.2,2017,2017-03-13,72
20.3,2017,2017-03-13,72
20.4,2017,2017-03-25,84
20.5,2017,2017-04-18,108
20.6,2017,2017-04-18,108
