distance_km,year,peak_date,peak_doy,peak_val
0.0,2017,2017-10-27,300,0.24879181385040283
0.1,2017,2017-09-09,252,0.19955255091190338
0.2,2017,2017-10-03,276,0.1764664202928543
0.3,2017,2017-03-01,60,0.1769668310880661
0.4,2017,2017-04-06,96,0.3544929623603821
0.5,2017,2017-03-25,84,0.5804863572120667
0.6,2017,2017-04-06,96,0.5256471633911133
0.7,2017,2017-04-06,96,0.4593029320240021
0.8,2017,2017-08-04,216,0.6648273468017578
0.9,2017,2017-08-28,240,0.6286323666572571
1.0,2017,2017-09-09,252,0.6169446706771851
1.1,2017,2017-09-09,252,0.6855466365814209
1.2,2017,2017-09-09,252,0.673075795173645
1.3,2017,2017-04-06,96,0.5703495740890503
1.4,2017,2017-04-06,96,0.5786335468292236
1.5,2017,2017-06-05,156,0.5427244901657104
1.6,2017,2017-08-28,240,0.6325385570526123
1.7,2017,2017-08-28,240,0.6325385570526123
1.8,2017,2017-10-15,288,0.6415349841117859
1.9,2017,2017-10-15,288,0.6062934994697571
2.0,2017,2017-10-15,288,0.566805362701416
2.1,2017,2017-04-06,96,0.5190359950065613
2.2,2017,2017-08-16,228,0.5632561445236206
2.3,2017,2017-04-06,96,0.5520768165588379
2.4,2017,2017-04-06,96,0.5519425868988037
2.5,2017,2017-04-06,96,0.549309253692627
2.6,2017,2017-08-16,228,0.6299872994422913
2.7,2017,2017-08-16,228,0.6336494088172913
2.8,2017,2017-04-06,96,0.47361353039741516
2.9,2017,2017-10-27,300,0.4479791224002838
3.0,2017,2017-10-27,300,0.4267100989818573
3.1,2017,2017-10-27,300,0.33213233947753906
3.2,2017,2017-07-11,192,0.37039169669151306
3.3,2017,2017-07-11,192,0.37039169669151306
3.4,2017,2017-08-04,216,0.46026262640953064
3.5,2017,2017-08-16,228,0.39732855558395386
3.6,2017,2017-08-16,228,0.39159032702445984
3.7,2017,2017-07-11,192,0.41812437772750854
3.8,2017,2017-04-18,108,0.39732205867767334
3.9,2017,2017-03-25,84,0.6351640224456787
4.0,2017,2017-03-25,84,0.6845806837081909
4.1,2017,2017-03-01,60,0.6842111349105835
4.2,2017,2017-03-01,60,0.6842111349105835
4.3,2017,2017-03-01,60,0.8629158139228821
4.4,2017,2017-04-30,120,1.2888869047164917
