distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,186.0,139.5,224.75,8,True
0.1,231.0,214.75,282.0,8,True
0.2,219.0,171.25,276.5,8,True
0.3,192.0,167.5,224.75,8,True
0.4,168.0,148.5,188.5,8,True
0.5,148.5,85.5,187.5,8,True
0.6,159.0,91.75,216.25,8,True
0.7,211.5,201.75,235.75,8,True
0.8,214.5,181.75,286.5,8,True
0.9,195.0,171.5,231.0,8,True
1.0,144.0,96.25,179.75,8,True
1.1,129.0,89.25,149.75,8,True
1.2,127.5,85.5,155.0,8,True
1.3,180.0,124.25,264.75,8,True
1.4,186.0,120.5,236.5,8,True
1.5,190.5,142.25,254.5,8,True
1.6,169.5,144.75,188.25,8,True
1.7,169.5,144.75,188.25,8,True
1.8,151.5,77.75,187.5,8,True
1.9,151.5,91.5,193.0,8,True
2.0,171.0,99.0,260.5,8,True
2.1,186.0,101.25,258.75,8,True
2.2,183.0,113.5,244.5,8,True
2.3,169.5,101.25,220.5,8,True
2.4,165.0,105.0,225.25,8,True
2.5,169.5,106.75,229.0,8,True
2.6,232.5,216.75,244.5,8,True
2.7,204.0,173.0,241.75,8,True
2.8,169.5,105.0,218.25,8,True
2.9,216.0,174.25,256.0,8,True
3.0,174.0,105.75,255.25,8,True
3.1,183.0,121.75,238.5,8,True
3.2,139.5,85.0,194.25,8,True
3.3,139.5,85.0,194.25,8,True
3.4,187.5,171.25,228.5,8,True
3.5,180.0,155.5,212.25,8,True
3.6,202.5,179.25,224.25,8,True
3.7,178.5,140.5,209.5,8,True
3.8,156.0,99.5,194.5,8,True
3.9,171.0,139.75,199.25,8,True
4.0,156.0,135.5,175.5,8,True
4.1,153.0,124.25,201.0,8,True
4.2,153.0,124.25,201.0,8,True
4.3,159.0,136.75,186.0,8,True
4.4,172.5,127.5,212.75,8,True
4.5,169.5,146.5,180.5,8,True
4.6,181.5,153.75,207.5,8,True
4.7,187.5,146.75,220.75,8,True
4.8,187.5,146.75,220.75,8,True
4.9,180.0,123.75,231.25,8,True
5.0,159.0,128.75,179.25,8,True
5.1,184.5,157.25,216.0,8,True
5.2,184.5,157.25,216.0,8,True
5.3,157.5,128.75,181.0,8,True
5.4,178.5,140.75,221.5,8,True
5.5,178.5,140.75,221.5,8,True
5.6,144.0,101.25,178.25,8,True
5.7,163.5,117.25,195.75,8,True
5.8,162.0,113.25,231.75,8,True
5.9,136.5,116.5,138.5,8,True
6.0,136.5,116.5,138.5,8,True
6.1,133.5,101.25,151.25,8,True
6.2,126.0,116.5,141.5,8,True
6.3,112.5,80.0,136.0,8,True
6.4,112.5,80.0,136.0,8,True
6.5,139.5,114.75,153.0,8,True
