distance_km,year,onset_date,onset_doy
0.5,2018,2018-05-31,151
0.9,2018,2018-04-13,103
1.1,2018,2018-03-20,79
1.2,2018,2018-05-07,127
1.3,2018,2018-05-19,139
1.4,2018,2018-05-19,139
2.0,2018,2018-03-08,67
2.1,2018,2018-03-08,67
2.3,2018,2018-04-13,103
2.4,2018,2018-03-08,67
2.5,2018,2018-03-20,79
2.6,2018,2018-05-19,139
2.7,2018,2018-05-07,127
2.8,2018,2018-03-20,79
2.9,2018,2018-03-20,79
3.0,2018,2018-03-20,79
3.1,2018,2018-03-08,67
3.2,2018,2018-03-08,67
3.3,2018,2018-04-13,103
3.6,2018,2018-05-31,151
3.7,2018,2018-05-07,127
3.8,2018,2018-05-07,127
3.9,2018,2018-05-07,127
4.0,2018,2018-05-07,127
4.1,2018,2018-04-13,103
4.2,2018,2018-03-08,67
4.3,2018,2018-05-07,127
4.4,2018,2018-05-31,151
4.5,2018,2018-05-31,151
4.7,2018,2018-04-13,103
4.8,2018,2018-05-07,127
5.0,2018,2018-03-08,67
5.1,2018,2018-03-08,67
5.2,2018,2018-03-08,67
5.8,2018,2018-04-13,103
5.9,2018,2018-03-20,79
6.0,2018,2018-03-20,79
6.1,2018,2018-05-31,151
6.2,2018,2018-05-19,139
6.3,2018,2018-03-08,67
6.5,2018,2018-04-13,103
6.7,2018,2018-03-08,67
6.8,2018,2018-03-08,67
6.9,2018,2018-03-08,67
7.4,2018,2018-05-19,139
7.5,2018,2018-05-19,139
7.6,2018,2018-05-31,151
7.7,2018,2018-05-19,139
7.8,2018,2018-05-19,139
8.0,2018,2018-05-31,151
8.1,2018,2018-05-31,151
8.2,2018,2018-05-31,151
8.3,2018,2018-05-31,151
8.4,2018,2018-05-31,151
8.5,2018,2018-05-07,127
8.6,2018,2018-05-31,151
8.7,2018,2018-05-31,151
8.8,2018,2018-04-13,103
8.9,2018,2018-04-13,103
9.0,2018,2018-04-13,103
9.1,2018,2018-05-31,151
9.2,2018,2018-05-31,151
9.3,2018,2018-05-31,151
9.4,2018,2018-05-31,151
9.5,2018,2018-05-31,151
9.6,2018,2018-05-19,139
9.7,2018,2018-05-19,139
9.9,2018,2018-05-19,139
11.1,2018,2018-05-31,151
11.2,2018,2018-05-31,151
11.3,2018,2018-03-20,79
11.4,2018,2018-03-20,79
11.5,2018,2018-05-31,151
11.6,2018,2018-03-08,67
11.8,2018,2018-03-08,67
11.9,2018,2018-03-08,67
12.0,2018,2018-04-13,103
12.1,2018,2018-05-07,127
12.2,2018,2018-05-07,127
12.3,2018,2018-05-07,127
12.4,2018,2018-05-07,127
12.5,2018,2018-05-07,127
12.6,2018,2018-05-19,139
12.7,2018,2018-05-19,139
13.3,2018,2018-03-08,67
13.4,2018,2018-03-08,67
13.5,2018,2018-03-08,67
13.6,2018,2018-05-07,127
13.7,2018,2018-05-07,127
14.0,2018,2018-05-19,139
14.1,2018,2018-05-19,139
14.2,2018,2018-05-19,139
14.3,2018,2018-04-13,103
14.6,2018,2018-05-07,127
14.7,2018,2018-03-08,67
14.8,2018,2018-03-08,67
14.9,2018,2018-04-13,103
15.0,2018,2018-04-13,103
15.1,2018,2018-03-08,67
15.2,2018,2018-03-08,67
15.3,2018,2018-03-08,67
15.4,2018,2018-03-08,67
15.5,2018,2018-03-08,67
15.6,2018,2018-03-08,67
15.7,2018,2018-03-20,79
15.8,2018,2018-03-08,67
15.9,2018,2018-03-20,79
16.0,2018,2018-03-20,79
16.1,2018,2018-04-13,103
16.3,2018,2018-04-13,103
16.4,2018,2018-03-20,79
16.5,2018,2018-05-07,127
16.6,2018,2018-03-08,67
16.9,2018,2018-03-08,67
17.0,2018,2018-04-13,103
17.1,2018,2018-04-13,103
17.2,2018,2018-05-07,127
17.3,2018,2018-05-07,127
17.5,2018,2018-05-19,139
17.6,2018,2018-04-13,103
17.7,2018,2018-04-13,103
17.8,2018,2018-03-20,79
18.9,2018,2018-03-08,67
19.0,2018,2018-03-08,67
19.4,2018,2018-03-08,67
19.5,2018,2018-03-08,67
19.6,2018,2018-03-08,67
19.8,2018,2018-03-08,67
19.9,2018,2018-03-20,79
20.0,2018,2018-05-31,151
20.1,2018,2018-04-13,103
20.2,2018,2018-04-13,103
20.3,2018,2018-04-13,103
20.4,2018,2018-03-08,67
20.5,2018,2018-03-08,67
20.6,2018,2018-03-08,67
20.9,2018,2018-04-13,103
21.0,2018,2018-04-13,103
21.1,2018,2018-04-13,103
21.2,2018,2018-05-31,151
21.5,2018,2018-04-13,103
21.6,2018,2018-04-13,103
21.7,2018,2018-04-13,103
22.2,2018,2018-05-31,151
22.3,2018,2018-03-08,67
22.4,2018,2018-03-08,67
22.5,2018,2018-03-08,67
22.6,2018,2018-03-08,67
22.7,2018,2018-03-08,67
22.8,2018,2018-03-20,79
22.9,2018,2018-03-20,79
23.0,2018,2018-04-13,103
23.2,2018,2018-04-13,103
23.3,2018,2018-04-13,103
23.4,2018,2018-04-13,103
23.5,2018,2018-04-13,103
23.9,2018,2018-05-19,139
24.0,2018,2018-05-19,139
24.6,2018,2018-03-08,67
24.7,2018,2018-04-13,103
24.8,2018,2018-05-19,139
25.0,2018,2018-03-08,67
25.1,2018,2018-03-08,67
25.2,2018,2018-05-19,139
25.3,2018,2018-05-19,139
25.4,2018,2018-05-19,139
25.5,2018,2018-05-19,139
25.6,2018,2018-05-31,151
25.7,2018,2018-05-31,151
25.8,2018,2018-05-31,151
26.3,2018,2018-05-07,127
26.4,2018,2018-05-07,127
26.8,2018,2018-03-08,67
26.9,2018,2018-03-08,67
27.0,2018,2018-05-31,151
27.2,2018,2018-03-20,79
27.3,2018,2018-03-20,79
27.4,2018,2018-03-20,79
27.5,2018,2018-03-20,79
27.6,2018,2018-03-20,79
27.7,2018,2018-03-20,79
27.8,2018,2018-03-08,67
27.9,2018,2018-03-20,79
28.0,2018,2018-05-07,127
28.1,2018,2018-05-07,127
28.2,2018,2018-03-20,79
28.3,2018,2018-03-08,67
28.4,2018,2018-03-08,67
28.5,2018,2018-03-08,67
28.7,2018,2018-05-19,139
29.4,2018,2018-05-19,139
29.5,2018,2018-05-19,139
29.6,2018,2018-03-08,67
29.7,2018,2018-03-08,67
29.8,2018,2018-04-13,103
30.4,2018,2018-03-08,67
32.3,2018,2018-03-08,67
32.4,2018,2018-03-08,67
32.5,2018,2018-03-08,67
32.6,2018,2018-03-08,67
32.7,2018,2018-03-08,67
32.8,2018,2018-03-08,67
32.9,2018,2018-05-31,151
33.1,2018,2018-03-20,79
33.2,2018,2018-03-20,79
33.3,2018,2018-05-19,139
33.4,2018,2018-03-08,67
33.5,2018,2018-05-19,139
33.6,2018,2018-05-19,139
33.7,2018,2018-05-19,139
33.9,2018,2018-05-07,127
34.0,2018,2018-05-07,127
34.1,2018,2018-05-07,127
34.2,2018,2018-05-07,127
34.4,2018,2018-03-20,79
34.5,2018,2018-03-20,79
34.9,2018,2018-05-19,139
35.0,2018,2018-05-19,139
35.1,2018,2018-05-07,127
35.2,2018,2018-05-19,139
35.3,2018,2018-03-20,79
35.4,2018,2018-05-07,127
35.5,2018,2018-05-19,139
35.8,2018,2018-05-31,151
35.9,2018,2018-05-19,139
36.0,2018,2018-05-19,139
36.1,2018,2018-05-19,139
36.2,2018,2018-05-19,139
36.3,2018,2018-04-13,103
36.4,2018,2018-04-13,103
36.6,2018,2018-04-13,103
37.5,2018,2018-05-07,127
37.6,2018,2018-04-13,103
37.7,2018,2018-03-08,67
37.8,2018,2018-03-08,67
37.9,2018,2018-03-08,67
38.0,2018,2018-03-08,67
38.1,2018,2018-03-08,67
38.2,2018,2018-03-08,67
38.3,2018,2018-03-08,67
38.4,2018,2018-03-08,67
38.5,2018,2018-03-08,67
38.6,2018,2018-03-08,67
38.7,2018,2018-03-08,67
38.8,2018,2018-03-20,79
38.9,2018,2018-03-20,79
39.0,2018,2018-03-20,79
39.1,2018,2018-05-31,151
39.2,2018,2018-05-31,151
39.3,2018,2018-03-20,79
39.4,2018,2018-03-20,79
39.5,2018,2018-05-07,127
39.9,2018,2018-03-08,67
40.0,2018,2018-03-08,67
40.1,2018,2018-03-08,67
40.2,2018,2018-03-08,67
0.3,2019,2019-04-20,110
0.4,2019,2019-03-15,74
0.5,2019,2019-03-15,74
0.6,2019,2019-03-03,62
0.7,2019,2019-03-03,62
0.8,2019,2019-03-03,62
0.9,2019,2019-03-15,74
1.0,2019,2019-03-03,62
1.1,2019,2019-03-03,62
1.2,2019,2019-05-26,146
1.3,2019,2019-05-26,146
2.5,2019,2019-04-08,98
2.7,2019,2019-03-03,62
2.8,2019,2019-03-27,86
3.0,2019,2019-05-14,134
3.1,2019,2019-05-14,134
3.2,2019,2019-05-14,134
3.5,2019,2019-05-02,122
3.6,2019,2019-04-08,98
3.8,2019,2019-04-20,110
3.9,2019,2019-04-20,110
4.1,2019,2019-04-08,98
4.2,2019,2019-03-27,86
4.3,2019,2019-03-27,86
4.4,2019,2019-03-27,86
4.5,2019,2019-03-27,86
4.7,2019,2019-03-27,86
4.8,2019,2019-03-15,74
4.9,2019,2019-03-15,74
5.1,2019,2019-06-07,158
5.3,2019,2019-06-07,158
5.4,2019,2019-04-08,98
5.5,2019,2019-04-08,98
5.6,2019,2019-04-08,98
5.7,2019,2019-04-08,98
5.8,2019,2019-04-08,98
5.9,2019,2019-03-27,86
6.1,2019,2019-03-15,74
6.2,2019,2019-03-15,74
6.5,2019,2019-04-08,98
6.6,2019,2019-04-08,98
6.7,2019,2019-04-08,98
6.8,2019,2019-05-14,134
7.2,2019,2019-03-27,86
7.7,2019,2019-03-27,86
8.0,2019,2019-05-14,134
8.1,2019,2019-05-14,134
8.2,2019,2019-04-20,110
8.3,2019,2019-04-08,98
8.4,2019,2019-04-08,98
8.7,2019,2019-04-20,110
11.1,2019,2019-06-07,158
11.3,2019,2019-04-20,110
12.0,2019,2019-06-07,158
12.2,2019,2019-06-07,158
12.3,2019,2019-06-07,158
12.4,2019,2019-06-07,158
12.5,2019,2019-06-07,158
12.6,2019,2019-04-20,110
12.7,2019,2019-06-07,158
12.8,2019,2019-03-15,74
13.0,2019,2019-03-27,86
13.1,2019,2019-05-26,146
13.4,2019,2019-03-27,86
13.8,2019,2019-04-20,110
13.9,2019,2019-03-03,62
14.0,2019,2019-04-20,110
14.2,2019,2019-03-15,74
14.3,2019,2019-03-03,62
14.4,2019,2019-04-08,98
14.5,2019,2019-04-20,110
14.6,2019,2019-04-08,98
14.7,2019,2019-04-20,110
14.8,2019,2019-03-03,62
15.2,2019,2019-04-20,110
15.3,2019,2019-04-20,110
15.4,2019,2019-03-03,62
15.5,2019,2019-03-03,62
15.6,2019,2019-03-15,74
15.7,2019,2019-03-15,74
15.8,2019,2019-03-15,74
15.9,2019,2019-03-15,74
16.2,2019,2019-05-26,146
16.3,2019,2019-05-26,146
16.4,2019,2019-05-26,146
16.5,2019,2019-03-03,62
16.6,2019,2019-03-03,62
16.7,2019,2019-04-08,98
16.8,2019,2019-03-27,86
16.9,2019,2019-05-14,134
17.2,2019,2019-03-27,86
17.3,2019,2019-06-07,158
17.4,2019,2019-05-26,146
17.5,2019,2019-05-26,146
17.6,2019,2019-03-03,62
17.7,2019,2019-03-03,62
17.8,2019,2019-03-15,74
17.9,2019,2019-03-27,86
18.0,2019,2019-03-27,86
18.1,2019,2019-03-27,86
18.2,2019,2019-03-15,74
18.3,2019,2019-04-08,98
18.6,2019,2019-04-08,98
18.7,2019,2019-04-08,98
18.8,2019,2019-04-20,110
18.9,2019,2019-03-03,62
19.0,2019,2019-03-27,86
19.3,2019,2019-05-02,122
19.6,2019,2019-03-27,86
19.8,2019,2019-03-03,62
20.1,2019,2019-03-03,62
20.2,2019,2019-05-02,122
20.3,2019,2019-04-08,98
20.4,2019,2019-04-20,110
20.6,2019,2019-03-15,74
20.8,2019,2019-05-02,122
21.1,2019,2019-05-14,134
21.2,2019,2019-05-14,134
21.3,2019,2019-05-02,122
21.5,2019,2019-03-27,86
21.6,2019,2019-06-07,158
21.7,2019,2019-04-08,98
21.8,2019,2019-04-08,98
21.9,2019,2019-04-20,110
22.0,2019,2019-03-03,62
22.1,2019,2019-03-03,62
22.2,2019,2019-03-03,62
22.3,2019,2019-03-03,62
22.4,2019,2019-03-03,62
22.5,2019,2019-03-03,62
22.6,2019,2019-03-27,86
22.7,2019,2019-03-15,74
22.8,2019,2019-03-27,86
22.9,2019,2019-03-15,74
23.0,2019,2019-03-15,74
23.1,2019,2019-03-15,74
23.2,2019,2019-03-27,86
23.3,2019,2019-03-27,86
23.4,2019,2019-03-27,86
23.5,2019,2019-03-27,86
23.6,2019,2019-03-27,86
23.8,2019,2019-05-26,146
23.9,2019,2019-03-15,74
24.0,2019,2019-05-14,134
24.1,2019,2019-05-14,134
