distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,105.66666666666667,90.0,127.0,63,137,3,True
0.1,99.0,82.0,117.0,63,137,5,True
0.2,87.0,65.0,105.0,63,120,5,True
0.3,99.0,94.75,106.25,82,110,4,True
0.4,93.6,70.0,99.0,60,165,5,True
0.5,81.16666666666667,64.5,73.0,60,151,6,True
0.6,82.83333333333333,71.25,90.75,62,113,6,True
0.7,85.4,75.0,93.0,62,113,5,True
0.8,100.83333333333333,86.25,120.5,62,130,6,True
0.9,88.33333333333333,77.25,99.0,74,103,6,True
1.0,85.0,72.0,96.5,62,111,3,True
1.1,102.0,79.75,124.5,62,161,6,True
1.2,107.25,85.5,131.75,63,146,4,True
1.3,112.0,93.25,138.5,63,146,6,True
1.4,94.66666666666667,72.5,110.5,63,139,3,True
1.5,63.0,63.0,63.0,63,63,1,True
1.6,63.0,63.0,63.0,63,63,1,True
1.8,70.0,70.0,70.0,70,70,1,True
1.9,120.0,120.0,120.0,120,120,1,True
2.0,74.0,70.5,77.5,67,81,2,True
2.1,89.33333333333333,74.0,100.5,67,120,3,True
2.2,136.5,122.25,150.75,108,165,2,True
2.3,81.5,70.75,92.25,60,103,2,True
2.4,77.0,72.0,82.0,67,87,2,True
2.5,91.25,85.0,98.75,79,101,4,True
2.6,117.75,97.5,140.25,87,144,4,True
2.7,96.66666666666667,81.5,114.0,62,127,3,True
2.8,82.5,80.75,84.25,79,86,2,True
2.9,79.0,79.0,79.0,79,79,1,True
3.0,116.25,98.5,137.25,79,147,4,True
3.1,107.0,105.0,123.0,67,134,5,True
3.2,116.6,106.0,134.0,67,153,5,True
3.3,102.33333333333333,86.0,119.0,69,135,3,True
3.4,135.33333333333334,120.0,150.5,105,166,3,True
3.5,132.0,114.75,151.75,93,166,4,True
3.6,127.0,96.75,154.75,93,166,4,True
3.7,108.66666666666667,99.5,116.5,93,127,3,True
3.8,134.0,118.5,146.0,110,165,3,True
3.9,119.5,101.25,136.75,75,166,4,True
4.0,114.33333333333333,101.0,134.0,75,141,3,True
4.1,86.8,75.0,98.0,65,103,5,True
4.2,80.25,73.0,87.75,67,93,4,True
4.3,107.0,86.0,127.0,82,141,5,True
4.4,95.5,73.75,102.25,70,151,4,True
4.5,102.33333333333333,78.0,118.5,70,151,3,True
4.6,90.5,86.25,94.75,82,99,2,True
4.7,100.0,82.0,112.5,70,141,4,True
4.8,103.0,73.0,130.5,70,141,4,True
4.9,72.0,71.0,73.0,70,74,2,True
5.0,98.66666666666667,68.5,114.5,67,159,3,True
5.1,128.5,114.25,158.25,67,159,4,True
5.2,67.0,67.0,67.0,67,67,1,True
5.3,112.66666666666667,90.0,131.5,75,158,3,True
5.4,101.5,99.75,103.25,98,105,2,True
5.5,119.5,108.75,130.25,98,141,2,True
5.6,126.0,112.0,140.0,98,154,2,True
5.7,84.0,77.0,91.0,70,98,2,True
5.8,109.4,98.0,117.0,87,142,5,True
5.9,102.2,86.0,117.0,79,142,5,True
6.0,124.25,107.5,146.25,79,159,4,True
6.1,100.4,74.0,130.0,60,151,5,True
6.2,91.2,74.0,94.0,60,139,5,True
6.3,81.0,77.0,88.0,67,89,3,True
6.4,94.0,94.0,94.0,94,94,1,True
6.5,89.5,86.25,99.25,63,103,4,True
6.6,101.0,80.5,120.0,63,142,3,True
6.7,89.75,68.5,104.75,67,125,4,True
6.8,116.0,81.5,139.25,63,166,6,True
6.9,78.66666666666667,68.5,84.5,67,99,3,True
7.0,88.0,82.5,93.5,77,99,2,True
7.1,95.33333333333333,84.5,108.0,70,117,3,True
7.2,81.0,78.0,86.5,70,87,3,True
7.3,72.5,71.25,73.75,70,75,2,True
7.4,113.0,100.0,126.0,87,139,2,True
7.5,139.0,139.0,139.0,139,139,1,True
7.6,134.66666666666666,122.5,155.0,94,159,3,True
7.7,108.6,86.0,139.0,77,147,5,True
7.8,125.0,112.5,141.0,96,147,4,True
7.9,125.0,104.5,145.5,84,166,2,True
8.0,142.5,138.25,146.75,134,151,2,True
8.1,130.2,134.0,151.0,63,154,5,True
8.2,121.8,105.0,151.0,77,166,5,True
8.3,117.0,98.0,151.0,65,166,5,True
8.4,106.33333333333333,80.75,134.25,65,151,6,True
8.5,122.0,105.0,154.0,65,159,5,True
8.6,122.0,105.0,151.0,65,159,5,True
8.7,135.8,110.0,154.0,105,159,5,True
8.8,107.33333333333333,84.0,128.5,65,154,3,True
8.9,116.5,93.5,146.5,65,154,4,True
9.0,113.33333333333333,104.0,118.5,103,132,3,True
9.1,110.4,72.0,151.0,63,161,5,True
9.2,106.33333333333333,84.0,128.0,63,151,3,True
9.3,118.33333333333333,102.0,128.0,99,151,3,True
9.4,136.66666666666666,128.0,152.5,105,154,3,True
9.5,146.0,143.5,148.5,141,151,2,True
9.6,139.25,130.5,155.25,105,159,4,True
9.7,139.0,139.0,139.0,139,139,1,True
9.8,166.0,166.0,166.0,166,166,1,True
9.9,125.66666666666667,111.5,146.5,84,154,3,True
10.0,119.0,101.5,136.5,84,154,2,True
10.1,130.33333333333334,118.5,143.0,105,154,3,True
10.2,154.0,154.0,154.0,154,154,1,True
10.3,130.0,130.0,130.0,130,130,1,True
10.4,134.0,127.5,138.5,125,147,3,True
10.5,144.5,137.25,151.75,130,159,2,True
10.6,134.0,127.5,142.0,118,147,3,True
10.7,130.0,130.0,130.0,130,130,1,True
10.8,135.33333333333334,129.5,144.0,118,147,3,True
10.9,140.5,138.25,144.75,130,147,4,True
11.0,137.5,133.75,141.75,130,144,4,True
11.1,145.4,135.0,153.0,130,158,5,True
11.2,132.25,120.25,148.0,106,151,4,True
11.3,119.25,102.25,142.5,79,147,4,True
11.4,105.5,92.25,118.75,79,132,2,True
11.5,137.5,131.5,140.5,130,151,4,True
11.6,117.66666666666667,99.5,143.0,67,154,3,True
11.7,121.5,117.25,132.75,94,135,4,True
11.8,110.6,82.0,144.0,67,161,5,True
11.9,102.25,78.25,114.5,67,161,4,True
12.0,126.0,97.75,158.75,82,161,4,True
12.1,111.25,80.25,135.5,75,161,4,True
12.2,128.57142857142858,104.5,155.5,75,161,7,True
12.3,134.4,127.0,158.0,82,161,5,True
12.4,120.0,101.0,142.5,75,158,3,True
12.5,126.0,114.0,147.5,75,158,4,True
12.6,119.6,110.0,139.0,75,144,5,True
12.7,129.2,130.0,144.0,75,158,5,True
12.8,84.75,70.5,88.75,60,130,4,True
12.9,96.33333333333333,79.5,114.5,60,130,3,True
13.0,105.75,95.75,113.5,86,130,4,True
13.1,114.2,87.0,146.0,77,153,5,True
13.2,110.5,85.5,122.5,81,166,4,True
13.3,99.25,66.0,117.25,63,166,4,True
13.4,92.6,81.0,87.0,67,142,5,True
13.5,92.2,67.0,99.0,60,154,5,True
13.6,87.5,66.75,102.25,60,127,4,True
13.7,102.2,69.0,127.0,60,154,5,True
13.8,132.0,121.0,143.0,110,154,2,True
13.9,121.66666666666667,105.5,151.5,62,154,3,True
14.0,104.5,88.75,112.25,84,139,6,True
14.1,137.5,132.75,142.75,120,154,4,True
14.2,104.0,93.0,120.0,74,139,5,True
14.3,95.6,87.0,106.0,62,120,5,True
14.4,75.5,66.75,80.75,60,98,4,True
14.5,116.0,109.0,120.0,108,130,3,True
14.6,108.0,98.5,113.0,98,127,3,True
14.7,112.0,88.5,134.5,67,159,3,True
14.8,78.2,67.0,82.0,62,99,5,True
14.9,79.66666666666667,73.25,81.75,63,103,6,True
15.0,103.25,94.5,109.75,81,130,4,True
15.1,105.0,91.0,126.0,67,129,4,True
15.2,106.33333333333333,78.75,130.25,67,153,6,True
15.3,106.0,99.0,117.0,67,137,5,True
15.4,102.0,73.5,118.5,62,166,6,True
15.5,102.0,73.5,118.5,62,166,6,True
15.6,83.16666666666667,64.0,72.75,60,166,6,True
15.7,90.2,69.0,79.0,63,166,5,True
15.8,87.8,67.0,74.0,63,166,5,True
15.9,84.4,69.0,79.0,63,137,5,True
16.0,99.0,75.0,110.0,63,161,4,True
16.1,102.0,82.5,114.5,69,149,4,True
16.2,124.75,115.5,139.25,93,146,4,True
16.3,116.75,100.5,130.25,93,146,4,True
16.4,98.2,69.0,137.0,60,146,5,True
16.5,80.6,69.0,75.0,62,127,5,True
16.6,68.6,63.0,70.0,62,81,5,True
16.7,97.0,80.5,114.0,63,130,3,True
16.8,108.5,81.75,126.25,69,166,4,True
16.9,104.5,96.25,116.75,67,134,4,True
17.0,94.25,85.5,103.75,81,106,4,True
17.1,91.66666666666667,73.5,105.25,60,125,6,True
17.2,101.75,81.75,125.5,69,127,4,True
17.3,129.0,125.0,158.0,69,166,5,True
17.4,98.83333333333333,81.25,114.75,65,146,6,True
17.5,108.0,86.25,129.5,81,146,6,True
17.6,91.16666666666667,73.5,102.0,62,129,6,True
17.7,99.16666666666667,75.75,124.75,62,135,6,True
17.8,89.25,77.75,97.5,74,111,4,True
17.9,84.66666666666667,83.5,86.5,81,87,3,True
18.0,87.8,81.0,87.0,60,125,5,True
18.1,94.6,82.0,87.0,65,153,5,True
18.2,106.6,82.0,113.0,74,165,5,True
18.3,116.2,98.0,135.0,70,165,5,True
18.4,120.0,106.5,133.5,93,147,2,True
18.5,93.0,83.0,104.5,70,113,3,True
18.6,91.33333333333333,87.5,98.5,77,99,3,True
18.7,92.5,89.75,95.25,87,98,2,True
18.8,93.66666666666667,85.5,98.5,84,110,3,True
18.9,96.33333333333333,63.25,127.5,60,161,6,True
19.0,98.0,67.75,127.25,63,161,6,True
19.1,84.33333333333333,67.5,96.5,60,118,3,True
19.2,97.66666666666667,84.0,112.0,69,125,3,True
19.3,102.5,69.75,128.75,69,149,4,True
19.4,75.0,72.0,79.0,67,81,3,True
19.5,88.4,67.0,99.0,65,130,5,True
19.6,99.5,71.75,126.75,60,137,6,True
19.7,99.75,87.25,108.5,70,137,4,True
19.8,96.6,63.0,142.0,62,149,5,True
19.9,107.6,79.0,129.0,75,137,5,True
20.0,116.6,106.0,149.0,60,151,5,True
