distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-05-07,127,0.18418924510478973
0.1,2018,2018-03-20,79,0.24821951985359192
0.2,2018,2018-03-20,79,0.2414749562740326
0.3,2018,2018-07-18,199,0.19671285152435303
0.4,2018,2018-07-18,199,0.23904819786548615
0.5,2018,2018-05-31,151,0.4581972360610962
0.6,2018,2018-05-31,151,0.28140518069267273
0.7,2018,2018-07-18,199,0.4464206397533417
0.8,2018,2018-05-07,127,0.39973902702331543
0.9,2018,2018-08-11,223,0.9614942073822021
1.0,2018,2018-08-11,223,0.31814879179000854
1.1,2018,2018-08-11,223,0.7628657221794128
1.2,2018,2018-08-23,235,0.4171653687953949
1.3,2018,2018-08-23,235,0.4462524950504303
1.4,2018,2018-06-24,175,0.45426979660987854
1.5,2018,2018-07-18,199,0.37385615706443787
1.6,2018,2018-09-04,247,0.21569199860095978
1.7,2018,2018-03-20,79,0.29606908559799194
1.8,2018,2018-09-04,247,0.2875269055366516
1.9,2018,2018-03-20,79,0.23715633153915405
2.0,2018,2018-03-08,67,0.36441168189048767
2.1,2018,2018-03-08,67,0.37297412753105164
2.2,2018,2018-10-10,283,0.4953271448612213
2.3,2018,2018-05-31,151,0.5849336981773376
2.4,2018,2018-04-13,103,0.48501163721084595
2.5,2018,2018-05-31,151,0.5753379464149475
2.6,2018,2018-05-19,139,0.691673755645752
2.7,2018,2018-05-07,127,0.8284353017807007
2.8,2018,2018-07-30,211,1.904104232788086
2.9,2018,2018-06-24,175,1.034566044807434
3.0,2018,2018-04-13,103,0.9723738431930542
3.1,2018,2018-05-31,151,1.8523629903793335
3.2,2018,2018-05-07,127,1.4852131605148315
3.3,2018,2018-07-18,199,2.042081117630005
3.4,2018,2018-07-18,199,1.4165724515914917
3.5,2018,2018-05-07,127,1.4358043670654297
3.6,2018,2018-05-31,151,2.1359682083129883
3.7,2018,2018-10-10,283,2.916440725326538
3.8,2018,2018-06-24,175,3.1308858394622803
3.9,2018,2018-06-24,175,3.1004092693328857
4.0,2018,2018-06-24,175,3.1306357383728027
4.1,2018,2018-06-24,175,3.203953504562378
4.2,2018,2018-08-11,223,3.3967342376708984
4.3,2018,2018-10-22,295,2.963167667388916
4.4,2018,2018-08-23,235,4.043508052825928
4.5,2018,2018-05-31,151,3.626633882522583
4.6,2018,2018-07-18,199,3.3999736309051514
4.7,2018,2018-03-08,67,2.6208057403564453
4.8,2018,2018-10-22,295,2.562513589859009
4.9,2018,2018-09-28,271,3.866133213043213
5.0,2018,2018-03-20,79,3.796923875808716
5.1,2018,2018-04-13,103,4.819563865661621
5.2,2018,2018-03-20,79,3.3353872299194336
5.3,2018,2018-07-30,211,1.9168696403503418
5.4,2018,2018-05-31,151,1.812706708908081
5.5,2018,2018-10-10,283,4.671288013458252
5.6,2018,2018-10-10,283,4.084759712219238
5.7,2018,2018-10-22,295,2.320197343826294
5.8,2018,2018-09-04,247,2.6379683017730713
5.9,2018,2018-09-16,259,3.2108771800994873
6.0,2018,2018-09-28,271,3.4946131706237793
6.1,2018,2018-05-07,127,2.9890518188476562
6.2,2018,2018-05-31,151,2.587256669998169
6.3,2018,2018-05-31,151,2.642657995223999
6.4,2018,2018-05-31,151,3.8026676177978516
6.5,2018,2018-05-31,151,3.626328468322754
6.6,2018,2018-05-07,127,1.5850205421447754
6.7,2018,2018-09-28,271,2.154050588607788
6.8,2018,2018-08-23,235,1.5360006093978882
6.9,2018,2018-07-18,199,3.4054415225982666
7.0,2018,2018-09-16,259,3.486347198486328
7.1,2018,2018-09-16,259,1.9178000688552856
