distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,137.14285714285714,101.0,139.0,7,True
0.1,142.28571428571428,105.5,163.5,7,True
0.2,125.14285714285714,97.5,157.0,7,True
0.3,156.0,90.5,224.0,7,True
0.4,135.42857142857142,103.0,181.0,7,True
0.5,192.0,158.5,223.0,7,True
0.6,149.14285714285714,94.5,174.0,7,True
0.7,198.85714285714286,165.5,209.0,7,True
0.8,166.28571428571428,134.0,186.0,7,True
0.9,185.14285714285714,131.0,234.0,7,True
1.0,197.14285714285714,138.0,243.5,7,True
1.1,174.85714285714286,156.5,200.5,7,True
1.2,192.0,146.5,232.5,7,True
1.3,162.85714285714286,140.5,190.5,7,True
1.4,202.28571428571428,186.0,230.5,7,True
1.5,164.57142857142858,117.5,221.0,7,True
1.6,161.14285714285714,88.0,243.5,7,True
1.7,174.85714285714286,80.5,264.0,7,True
1.8,197.14285714285714,159.5,251.0,7,True
1.9,144.0,95.5,174.5,7,True
2.0,120.0,85.0,116.5,7,True
2.1,116.57142857142857,81.5,140.5,7,True
2.2,209.14285714285714,154.0,268.5,7,True
2.3,202.28571428571428,132.0,268.5,7,True
2.4,190.28571428571428,132.0,264.0,7,True
2.5,181.71428571428572,124.5,258.0,7,True
2.6,250.28571428571428,255.5,275.0,7,True
2.7,190.28571428571428,152.5,242.5,7,True
2.8,198.85714285714286,172.0,207.5,7,True
2.9,190.28571428571428,168.0,208.5,7,True
3.0,190.28571428571428,177.5,216.0,7,True
3.1,210.85714285714286,194.5,224.5,7,True
3.2,209.14285714285714,194.5,227.5,7,True
3.3,205.71428571428572,184.0,223.0,7,True
3.4,169.71428571428572,142.5,197.0,7,True
3.5,166.28571428571428,140.0,193.5,7,True
3.6,185.14285714285714,171.5,209.5,7,True
3.7,192.0,145.0,243.5,7,True
3.8,180.0,176.0,195.5,7,True
3.9,180.0,176.5,199.0,7,True
4.0,168.0,134.5,186.0,7,True
4.1,185.14285714285714,144.0,220.5,7,True
4.2,186.85714285714286,143.0,234.0,7,True
4.3,216.0,181.5,274.5,7,True
4.4,166.28571428571428,122.5,203.5,7,True
4.5,150.85714285714286,143.0,162.0,7,True
4.6,166.28571428571428,140.5,196.5,7,True
4.7,145.71428571428572,111.5,180.5,7,True
4.8,162.85714285714286,113.5,197.0,7,True
4.9,150.85714285714286,98.5,184.5,7,True
5.0,168.0,155.5,194.5,7,True
5.1,202.28571428571428,183.5,240.5,7,True
5.2,149.14285714285714,111.5,187.0,7,True
5.3,164.57142857142858,111.5,227.0,7,True
5.4,176.57142857142858,129.5,222.5,7,True
5.5,186.85714285714286,124.5,262.0,7,True
5.6,176.57142857142858,145.0,205.0,7,True
5.7,168.0,97.0,254.5,7,True
5.8,181.71428571428572,120.5,220.5,7,True
5.9,171.42857142857142,142.5,192.0,7,True
6.0,185.14285714285714,172.0,193.0,7,True
6.1,200.57142857142858,169.5,229.0,7,True
6.2,190.28571428571428,158.5,229.0,7,True
6.3,188.57142857142858,140.5,252.0,7,True
6.4,180.0,144.0,202.5,7,True
6.5,168.0,141.5,179.0,7,True
6.6,125.14285714285714,110.0,144.0,7,True
6.7,156.0,101.5,210.5,7,True
6.8,192.0,171.5,211.5,7,True
6.9,181.71428571428572,160.0,195.5,7,True
7.0,180.0,149.5,212.5,7,True
7.1,169.71428571428572,125.5,209.0,7,True
7.2,164.57142857142858,114.0,212.5,7,True
7.3,212.57142857142858,183.5,232.5,7,True
7.4,164.57142857142858,143.0,194.5,7,True
7.5,186.85714285714286,157.5,199.5,7,True
7.6,159.42857142857142,108.5,195.5,7,True
7.7,157.71428571428572,113.0,199.0,7,True
7.8,171.42857142857142,115.5,224.0,7,True
7.9,204.0,163.5,251.0,7,True
8.0,193.71428571428572,145.0,236.5,7,True
8.1,207.42857142857142,152.5,261.5,7,True
8.2,162.85714285714286,131.5,202.0,7,True
8.3,174.85714285714286,133.0,214.0,7,True
8.4,193.71428571428572,176.5,220.5,7,True
8.5,171.42857142857142,122.0,211.5,7,True
8.6,205.71428571428572,182.5,228.0,7,True
8.7,169.71428571428572,156.5,187.0,7,True
8.8,154.28571428571428,143.0,175.5,7,True
8.9,193.71428571428572,175.5,218.0,7,True
9.0,164.57142857142858,106.5,202.5,7,True
9.1,162.85714285714286,135.5,201.5,7,True
9.2,216.0,182.5,254.5,7,True
9.3,185.14285714285714,139.0,214.5,7,True
9.4,174.85714285714286,141.5,193.0,7,True
9.5,219.42857142857142,180.0,264.0,7,True
9.6,161.14285714285714,128.0,178.0,7,True
9.7,168.0,141.5,201.5,7,True
9.8,185.14285714285714,155.0,225.5,7,True
9.9,154.28571428571428,97.0,189.5,7,True
10.0,168.0,158.5,190.5,7,True
10.1,181.71428571428572,149.0,208.5,7,True
10.2,210.85714285714286,183.5,230.0,7,True
10.3,195.42857142857142,180.0,210.0,7,True
10.4,195.42857142857142,180.0,210.0,7,True
10.5,181.71428571428572,174.0,204.0,7,True
10.6,171.42857142857142,151.5,197.0,7,True
10.7,166.28571428571428,139.0,206.5,7,True
10.8,178.28571428571428,162.5,204.0,7,True
10.9,198.85714285714286,180.0,212.0,7,True
11.0,174.85714285714286,169.5,186.0,7,True
11.1,168.0,125.0,196.0,7,True
11.2,159.42857142857142,114.0,196.0,7,True
11.3,200.57142857142858,189.5,226.5,7,True
11.4,169.71428571428572,122.5,220.0,7,True
11.5,171.42857142857142,143.0,196.0,7,True
11.6,180.0,159.5,196.0,7,True
11.7,178.28571428571428,143.0,218.5,7,True
11.8,169.71428571428572,146.5,207.5,7,True
11.9,138.85714285714286,87.5,170.5,7,True
12.0,168.0,125.0,208.0,7,True
12.1,183.42857142857142,147.5,218.5,7,True
12.2,162.85714285714286,128.5,183.5,7,True
12.3,186.85714285714286,159.5,232.0,7,True
12.4,157.71428571428572,144.0,173.5,7,True
12.5,156.0,147.5,165.5,7,True
12.6,156.0,147.5,165.5,7,True
12.7,162.85714285714286,163.5,183.5,7,True
12.8,156.0,137.0,177.5,7,True
12.9,181.71428571428572,173.5,195.5,7,True
13.0,154.28571428571428,138.5,181.0,7,True
13.1,178.28571428571428,154.0,206.5,7,True
13.2,204.0,204.5,227.5,7,True
13.3,161.14285714285714,128.5,198.0,7,True
13.4,137.14285714285714,101.0,171.5,7,True
13.5,180.0,144.0,205.5,7,True
13.6,217.71428571428572,157.5,272.5,7,True
13.7,166.28571428571428,140.5,200.0,7,True
13.8,176.57142857142858,155.0,188.0,7,True
13.9,171.42857142857142,134.5,223.5,7,True
14.0,168.0,110.5,211.0,7,True
14.1,168.0,134.5,187.0,7,True
14.2,137.14285714285714,105.5,162.0,7,True
14.3,221.14285714285714,209.0,242.0,7,True
14.4,162.85714285714286,104.0,228.5,7,True
14.5,193.71428571428572,119.0,249.5,7,True
14.6,156.0,107.0,204.0,7,True
14.7,195.42857142857142,187.5,218.0,7,True
14.8,180.0,144.0,197.0,7,True
14.9,164.57142857142858,137.5,192.5,7,True
15.0,181.71428571428572,183.5,198.0,7,True
15.1,168.0,135.5,208.0,7,True
15.2,145.71428571428572,85.0,208.0,7,True
15.3,147.42857142857142,108.0,169.5,7,True
15.4,140.57142857142858,110.5,163.5,7,True
15.5,147.42857142857142,98.5,179.0,7,True
15.6,168.0,137.5,204.0,7,True
15.7,138.85714285714286,109.0,178.0,7,True
15.8,180.0,154.0,214.5,7,True
15.9,154.28571428571428,106.5,183.5,7,True
16.0,216.0,134.0,282.5,7,True
16.1,159.42857142857142,109.0,210.0,7,True
16.2,161.14285714285714,111.5,210.0,7,True
16.3,137.14285714285714,110.5,164.5,7,True
16.4,157.71428571428572,133.0,168.5,7,True
16.5,164.57142857142858,103.5,219.5,7,True
16.6,133.71428571428572,107.5,138.0,7,True
16.7,174.85714285714286,149.0,192.0,7,True
16.8,173.14285714285714,111.5,215.0,7,True
16.9,168.0,122.5,206.5,7,True
17.0,200.57142857142858,169.5,227.0,7,True
17.1,209.14285714285714,174.5,266.0,7,True
17.2,231.42857142857142,198.0,269.5,7,True
17.3,190.28571428571428,150.0,240.0,7,True
17.4,128.57142857142858,110.5,143.5,7,True
17.5,164.57142857142858,120.0,206.0,7,True
17.6,130.28571428571428,97.0,156.0,7,True
17.7,186.85714285714286,148.5,238.0,7,True
17.8,178.28571428571428,130.0,229.0,7,True
17.9,138.85714285714286,97.0,144.5,7,True
18.0,156.0,89.5,209.0,7,True
18.1,147.42857142857142,90.0,184.5,7,True
18.2,168.0,110.5,231.5,7,True
18.3,183.42857142857142,145.5,223.0,7,True
18.4,168.0,112.5,211.0,7,True
18.5,181.71428571428572,154.0,219.5,7,True
18.6,216.0,183.5,231.5,7,True
18.7,174.85714285714286,110.0,225.5,7,True
18.8,180.0,138.0,221.0,7,True
18.9,168.0,151.0,188.5,7,True
19.0,149.14285714285714,118.5,177.5,7,True
19.1,126.85714285714286,94.5,156.0,7,True
19.2,145.71428571428572,122.0,157.5,7,True
19.3,166.28571428571428,115.0,208.5,7,True
19.4,166.28571428571428,120.0,198.0,7,True
19.5,147.42857142857142,116.0,169.5,7,True
19.6,135.42857142857142,93.5,156.0,7,True
19.7,125.14285714285714,102.0,156.0,7,True
19.8,113.14285714285714,80.5,144.0,7,True
19.9,168.0,123.5,195.5,7,True
20.0,140.57142857142858,114.0,168.0,7,True
20.1,142.28571428571428,95.5,169.5,7,True
20.2,133.71428571428572,95.5,184.0,7,True
20.3,109.71428571428571,99.5,119.0,7,True
20.4,152.57142857142858,97.5,177.5,7,True
20.5,221.14285714285714,175.0,276.5,7,True
20.6,138.85714285714286,110.5,175.0,7,True
20.7,176.57142857142858,144.5,193.0,7,True
20.8,192.0,136.0,233.5,7,True
20.9,166.28571428571428,153.5,171.5,7,True
21.0,101.14285714285714,72.0,126.0,7,True
21.1,183.42857142857142,139.0,236.0,7,True
21.2,202.28571428571428,153.5,258.0,7,True
21.3,164.57142857142858,116.5,183.5,7,True
21.4,162.85714285714286,116.5,192.0,7,True
21.5,186.85714285714286,152.5,230.0,7,True
21.6,171.42857142857142,152.5,196.5,7,True
21.7,159.42857142857142,128.0,193.0,7,True
21.8,161.14285714285714,136.5,184.0,7,True
21.9,174.85714285714286,133.0,199.5,7,True
22.0,178.28571428571428,138.0,240.0,7,True
22.1,162.85714285714286,118.5,189.5,7,True
22.2,157.71428571428572,107.0,189.5,7,True
22.3,186.85714285714286,167.0,224.0,7,True
22.4,171.42857142857142,149.0,183.5,7,True
22.5,156.0,130.5,183.5,7,True
22.6,137.14285714285714,109.5,157.5,7,True
22.7,171.42857142857142,131.5,210.0,7,True
22.8,145.71428571428572,131.5,166.0,7,True
22.9,156.0,144.0,165.5,7,True
23.0,156.0,144.0,165.5,7,True
23.1,154.28571428571428,138.0,165.5,7,True
23.2,186.85714285714286,156.5,198.0,7,True
23.3,190.28571428571428,154.0,214.5,7,True
23.4,171.42857142857142,146.5,182.5,7,True
23.5,154.28571428571428,135.5,154.0,7,True
23.6,156.0,138.5,157.0,7,True
23.7,173.14285714285714,144.0,182.5,7,True
23.8,156.0,144.0,159.5,7,True
23.9,133.71428571428572,126.0,159.5,7,True
24.0,171.42857142857142,144.0,171.5,7,True
24.1,174.85714285714286,117.5,226.5,7,True
24.2,195.42857142857142,133.0,280.5,7,True
24.3,209.14285714285714,145.5,280.5,7,True
24.4,193.71428571428572,124.0,260.0,7,True
24.5,207.42857142857142,129.5,291.5,7,True
24.6,193.71428571428572,156.0,246.0,7,True
24.7,168.0,129.5,195.5,7,True
24.8,181.71428571428572,129.5,246.0,7,True
24.9,168.0,107.5,216.5,7,True
25.0,173.14285714285714,114.0,228.0,7,True
25.1,171.42857142857142,114.0,227.0,7,True
25.2,114.85714285714286,68.5,121.0,7,True
25.3,164.57142857142858,112.0,215.5,7,True
25.4,156.0,109.5,200.5,7,True
25.5,185.14285714285714,150.0,246.0,7,True
25.6,157.71428571428572,104.5,194.5,7,True
25.7,159.42857142857142,97.5,214.5,7,True
25.8,200.57142857142858,147.5,267.5,7,True
25.9,186.85714285714286,142.0,235.0,7,True
26.0,173.14285714285714,129.5,235.0,7,True
26.1,180.0,133.0,227.0,7,True
26.2,132.0,112.5,159.5,7,True
26.3,159.42857142857142,117.5,195.5,7,True
26.4,156.0,125.0,184.5,7,True
26.5,200.57142857142858,168.0,240.0,7,True
26.6,161.14285714285714,134.5,192.0,7,True
26.7,149.14285714285714,125.0,176.0,7,True
26.8,207.42857142857142,202.0,241.0,7,True
26.9,192.0,175.0,227.0,7,True
27.0,186.85714285714286,157.0,227.0,7,True
27.1,121.71428571428571,82.5,146.5,7,True
27.2,138.85714285714286,82.5,181.5,7,True
27.3,138.85714285714286,82.5,181.0,7,True
27.4,138.85714285714286,82.5,181.0,7,True
27.5,144.0,94.5,181.0,7,True
27.6,183.42857142857142,157.5,214.5,7,True
27.7,197.14285714285714,171.5,214.5,7,True
27.8,171.42857142857142,138.0,203.0,7,True
27.9,234.85714285714286,192.5,272.0,7,True
28.0,221.14285714285714,202.0,266.0,7,True
28.1,221.14285714285714,202.0,266.0,7,True
28.2,195.42857142857142,162.0,224.5,7,True
28.3,185.14285714285714,128.5,253.0,7,True
28.4,140.57142857142858,100.0,152.0,7,True
28.5,169.71428571428572,121.5,224.0,7,True
28.6,157.71428571428572,134.0,146.5,7,True
28.7,176.57142857142858,138.0,198.0,7,True
28.8,157.71428571428572,88.5,211.0,7,True
28.9,130.28571428571428,68.0,170.5,7,True
29.0,147.42857142857142,71.5,217.5,7,True
29.1,159.42857142857142,81.5,244.5,7,True
29.2,200.57142857142858,136.0,260.0,7,True
29.3,188.57142857142858,109.0,259.0,7,True
29.4,174.85714285714286,116.5,234.0,7,True
29.5,183.42857142857142,95.0,264.0,7,True
29.6,195.42857142857142,123.5,264.0,7,True
29.7,168.0,130.5,217.5,7,True
29.8,173.14285714285714,130.5,217.5,7,True
29.9,162.85714285714286,125.5,202.0,7,True
30.0,173.14285714285714,114.0,226.5,7,True
30.1,185.14285714285714,120.0,237.5,7,True
30.2,197.14285714285714,158.5,260.5,7,True
30.3,156.0,117.5,183.5,7,True
30.4,183.42857142857142,136.0,245.0,7,True
30.5,214.28571428571428,167.0,272.0,7,True
30.6,161.14285714285714,97.5,219.5,7,True
30.7,126.85714285714286,72.0,170.5,7,True
30.8,178.28571428571428,138.5,237.5,7,True
30.9,228.0,182.5,276.0,7,True
31.0,217.71428571428572,180.0,266.0,7,True
31.1,205.71428571428572,123.5,273.5,7,True
31.2,176.57142857142858,114.0,241.0,7,True
31.3,171.42857142857142,120.5,241.0,7,True
31.4,183.42857142857142,126.0,249.5,7,True
31.5,166.28571428571428,101.5,229.5,7,True
31.6,178.28571428571428,125.0,233.5,7,True
31.7,174.85714285714286,125.0,214.5,7,True
31.8,188.57142857142858,155.0,244.5,7,True
31.9,193.71428571428572,157.5,244.5,7,True
32.0,181.71428571428572,143.0,218.5,7,True
32.1,159.42857142857142,110.5,210.0,7,True
32.2,164.57142857142858,110.5,210.0,7,True
32.3,149.14285714285714,94.5,198.5,7,True
32.4,204.0,196.5,230.5,7,True
32.5,204.0,150.0,276.0,7,True
32.6,169.71428571428572,95.0,235.0,7,True
32.7,192.0,142.0,250.5,7,True
32.8,190.28571428571428,156.0,233.0,7,True
32.9,200.57142857142858,189.5,235.5,7,True
33.0,210.85714285714286,194.0,252.5,7,True
33.1,198.85714285714286,194.0,227.0,7,True
33.2,198.85714285714286,194.0,227.0,7,True
33.3,166.28571428571428,103.0,216.5,7,True
33.4,205.71428571428572,191.5,240.5,7,True
33.5,190.28571428571428,183.5,197.0,7,True
33.6,180.0,159.5,196.0,7,True
33.7,140.57142857142858,121.5,164.5,7,True
33.8,157.71428571428572,136.5,168.0,7,True
33.9,152.57142857142858,127.5,181.5,7,True
