s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,571512.774285849,3985706.400336414,5979.791,49.390682,0.11940867
0.1,571606.5988694092,3985672.8653987227,5903.9043,66.75527,0.119143955
0.2,571691.1232588632,3985619.594841535,5890.147,67.810486,0.119362324
0.3,571767.9825141495,3985555.7100064415,5872.4395,91.87042,0.11599116
0.4,571839.7181121294,3985486.077682731,5849.2017,91.87042,0.14083418
0.5,571914.2178251427,3985419.3948278953,5829.917,90.178,0.16853324
0.6,571991.8393422359,3985356.375373021,5792.975,93.40255,0.18675655
0.7,572072.0397564307,3985296.6648277375,5748.85,93.65995,0.17884107
0.8,572154.3785711532,3985239.92948362,5738.8594,93.58185,0.17765044
0.9,572238.504715782,3985185.8716955427,5703.0293,93.58185,0.19962652
1.0,572324.1560940692,3985134.2612703466,5688.657,94.58603,0.19662485
1.1,572410.9449522494,3985084.587024467,5666.675,91.28032,0.19784074
1.2,572496.4662243966,3985032.763124144,5652.419,88.61668,0.17342144
1.3,572580.4830459564,3984978.5392029034,5639.2124,86.97261,0.1752368
1.4,572662.7039485581,3984921.6363243717,5609.9277,78.51154,0.18858568
1.5,572742.7695713418,3984861.7469015224,5589.342,71.93363,0.17593765
1.6,572820.2365981999,3984798.53691374,5558.8105,70.69505,0.16320571
1.7,572894.355399381,3984731.439072584,5540.958,65.89964,0.15666887
1.8,572963.789585249,3984659.513137725,5532.8125,66.105965,0.16966674
1.9,573027.9561431663,3984582.869581697,5532.8125,66.105965,0.17849271
2.0,573084.0459112832,3984500.142620922,5534.892,61.86084,0.19079795
2.1,573130.137282993,3984411.526983003,5513.776,54.55185,0.20788643
2.2,573163.1494913615,3984317.3045415706,5467.77,63.70732,0.23945025
2.3,573196.1625148491,3984223.172120619,5363.5767,79.55905,0.26870117
2.4,573244.2764821571,3984135.600291674,5291.4844,103.72258,0.27376693
2.5,573300.5397789206,3984052.9809383424,5270.418,139.29903,0.28204322
2.6,573362.9988078995,3983974.906801505,5251.4863,149.91339,0.2880152
2.7,573429.1821687781,3983899.962571297,5231.43,184.45203,0.32877883
2.8,573498.1894882605,3983827.6049837046,5222.174,225.01588,0.35681462
2.9,573569.8104628391,3983757.8571776887,5222.174,254.90108,0.38323393
3.0,573645.4275986437,3983692.48098643,5214.648,254.90108,0.44149554
3.1,573725.686289306,3983632.936052978,5211.7046,268.74893,0.51269066
3.2,573811.1538911415,3983581.2093139105,5206.757,273.6372,0.5341185
3.3,573902.107958222,3983539.9105136683,5199.754,278.97125,0.5205002
3.4,573999.026922099,3983516.129709163,5191.133,282.22354,0.5338417
3.5,574098.6592029128,3983511.1669748523,5187.5347,283.08405,0.5543582
3.6,574198.548119476,3983515.5508836852,5178.241,288.852,0.5271916
3.7,574297.3457446526,3983530.1900601895,5168.5884,300.9918,0.5237219
3.8,574386.0773074977,3983572.6354138157,5163.911,304.88336,0.61345184
3.9,574484.0419256219,3983591.272389895,5151.943,313.70966,0.62098086
4.0,574583.6446466468,3983599.94479135,5147.4395,326.02466,0.65523857
4.1,574683.508433861,3983605.0280769463,5142.1777,328.99258,0.7738168
4.2,574783.4566086506,3983608.123141872,5138.1396,331.30417,0.76171225
4.3,574883.4364510588,3983610.004660709,5136.91,334.07635,0.8213018
4.4,574983.4305442099,3983611.0915530254,5136.762,339.30518,0.9837894
4.5,575083.4305429023,3983611.091793614,5130.965,343.85327,0.94116116
4.6,575183.4005965416,3983612.5897103418,5118.3564,349.00504,0.9375242
4.7,575283.3206924137,3983616.5865141777,5111.5776,349.88345,0.8098043
4.8,575383.0254437886,3983624.077024068,5115.4683,347.40662,0.84763825
4.9,575482.5287761517,3983633.797371588,5113.6177,342.92142,0.8306078
5.0,575581.6888172703,3983646.731289995,5108.795,341.4725,0.70834464
5.1,575680.187009115,3983663.907126481,5098.2163,344.60123,0.8720215
5.2,575778.0666072719,3983684.214157644,5092.9805,341.5474,0.7066002
5.3,575875.1833167387,3983707.985985131,5086.3267,339.2717,0.68400323
5.4,575970.9659452607,3983736.720773688,5080.6655,341.80753,0.7482172
5.5,576065.1813812986,3983770.149736806,5068.337,343.71805,0.7624508
5.6,576157.693799081,3983807.9767361614,5065.6353,351.60123,0.73300743
5.7,576249.5815480216,3983847.382052076,5063.165,351.60123,0.74716824
5.8,576342.7894265379,3983883.5786787067,5053.069,358.48978,0.8140197
5.9,576437.384021132,3983916.0111111407,5052.1084,368.21545,0.8341464
6.0,576533.3710813625,3983944.0391568067,5048.337,378.62704,0.9305614
6.1,576630.5010125067,3983967.7502251794,5040.5396,384.0273,0.9805391
6.2,576728.6561794268,3983986.7252564933,5036.467,393.80786,0.83475524
6.3,576827.6620415644,3984000.541413398,5032.9243,403.54037,0.9021346
6.4,576927.2810274437,3984008.78892279,5029.4556,404.28662,0.91488546
6.5,577027.2102368372,3984011.091793615,5020.9375,404.08298,0.9450894
6.6,577127.0805529661,3984015.116172622,5018.025,403.2084,0.95099133
6.7,577226.4348647037,3984025.989418462,5013.449,401.50858,0.792858
6.8,577324.7097408662,3984044.1967031006,5009.694,402.19473,0.67299974
6.9,577421.2468900384,3984070.1044255253,5003.7646,408.33392,0.67820424
7.0,577515.323573361,3984103.9143473217,5003.311,415.95,0.61000174
7.1,577605.9209887243,3984146.1740474245,5003.1235,414.85403,0.6105544
7.2,577692.4311554745,3984196.2441116963,4997.6797,422.809,0.63964075
7.3,577776.2599590103,3984250.735355756,4988.138,420.58054,0.63361174
7.4,577862.7229660344,3984300.921041442,4986.476,429.5669,0.65356475
7.5,577952.152922343,3984345.5919098007,4976.3643,432.14362,0.6130162
7.6,578045.4672748423,3984381.333245138,4973.108,436.84497,0.57338905
7.7,578142.3583624865,3984405.5218741,4968.883,440.54498,0.5486104
7.8,578242.0084367789,3984411.4211876765,4959.7705,443.40787,0.5103118
7.9,578339.926285644,3984430.8874797435,4953.6875,445.9012,0.5123793
8.0,578433.7360522958,3984465.197872682,4947.5645,445.71405,0.5193167
8.1,578523.6191675658,3984508.9197134096,4938.909,446.14233,0.55809444
8.2,578610.4147169212,3984558.5190167567,4934.623,448.9951,0.5349254
8.3,578694.6057562677,3984612.4428828047,4931.237,446.45886,0.53791136
8.4,578776.6336568418,3984669.6139211073,4926.523,440.01013,0.5345574
8.5,578861.3765388044,3984722.4676834103,4921.222,449.60504,0.5306608
8.6,578950.0272660558,3984768.5382258026,4919.1123,441.66177,0.5255289
8.7,579041.3669480443,3984809.153147355,4916.497,441.66177,0.53059685
8.8,579135.0461676094,3984844.1417715303,4909.0825,445.99924,0.5521075
8.9,579230.283118032,3984874.529318735,4906.943,437.4868,0.5233985
9.0,579326.3446441601,3984902.2160425773,4905.0967,448.11923,0.5194934
9.1,579423.4151655659,3984926.2433993607,4898.106,451.41525,0.51823425
9.2,579521.1326753634,3984947.3777930173,4895.8037,456.47733,0.51819843
9.3,579619.1907429324,3984966.989406532,4894.359,443.19208,0.516773
9.4,579717.8724931107,3984983.1315119383,4891.81,446.78494,0.52544653
9.5,579816.631029284,3984998.8328374815,4886.8936,447.6388,0.5196956
9.6,579915.8588169554,3985011.2363109407,4879.9414,445.13638,0.5409013
9.7,580015.0851679073,3985023.6501394794,4877.4697,452.3589,0.54783344
9.8,580113.941627803,3985038.7299384465,4872.903,453.93814,0.5409834
