distance_km,year,onset_date,onset_doy
0.0,2017,2017-04-06,96
0.2,2017,2017-04-06,96
0.5,2017,2017-04-06,96
0.7,2017,2017-05-12,132
0.8,2017,2017-04-06,96
0.9,2017,2017-04-06,96
1.0,2017,2017-04-30,120
1.1,2017,2017-05-12,132
2.3,2017,2017-05-12,132
3.0,2017,2017-04-30,120
3.1,2017,2017-04-30,120
3.2,2017,2017-04-06,96
3.3,2017,2017-04-06,96
3.4,2017,2017-04-18,108
3.5,2017,2017-04-18,108
3.6,2017,2017-04-18,108
4.3,2017,2017-04-06,96
4.4,2017,2017-03-25,84
4.7,2017,2017-03-25,84
5.3,2017,2017-03-01,60
5.4,2017,2017-03-01,60
6.8,2017,2017-03-01,60
6.9,2017,2017-03-01,60
7.0,2017,2017-05-12,132
9.5,2017,2017-03-01,60
9.7,2017,2017-04-06,96
9.8,2017,2017-04-06,96
9.9,2017,2017-03-25,84
10.0,2017,2017-03-13,72
10.1,2017,2017-04-06,96
10.4,2017,2017-06-05,156
12.4,2017,2017-04-18,108
12.7,2017,2017-04-06,96
12.8,2017,2017-04-06,96
15.8,2017,2017-05-12,132
17.7,2017,2017-04-18,108
18.6,2017,2017-04-18,108
19.3,2017,2017-04-30,120
20.7,2017,2017-04-30,120
20.8,2017,2017-04-30,120
20.9,2017,2017-04-30,120
21.3,2017,2017-04-18,108
21.4,2017,2017-03-01,60
21.5,2017,2017-03-01,60
21.6,2017,2017-03-13,72
21.7,2017,2017-03-13,72
21.8,2017,2017-04-18,108
23.3,2017,2017-04-18,108
23.4,2017,2017-04-18,108
23.5,2017,2017-04-18,108
23.6,2017,2017-03-13,72
23.7,2017,2017-03-01,60
23.8,2017,2017-03-13,72
23.9,2017,2017-03-13,72
24.0,2017,2017-03-13,72
24.1,2017,2017-03-13,72
24.2,2017,2017-05-12,132
24.3,2017,2017-05-12,132
24.4,2017,2017-04-18,108
24.5,2017,2017-03-13,72
24.6,2017,2017-03-13,72
24.7,2017,2017-03-01,60
24.8,2017,2017-03-01,60
24.9,2017,2017-03-01,60
25.0,2017,2017-03-01,60
25.1,2017,2017-03-13,72
25.2,2017,2017-03-01,60
25.3,2017,2017-03-01,60
25.4,2017,2017-03-13,72
25.5,2017,2017-04-18,108
25.6,2017,2017-04-30,120
25.7,2017,2017-04-30,120
25.8,2017,2017-03-13,72
25.9,2017,2017-03-01,60
26.0,2017,2017-03-01,60
26.1,2017,2017-04-18,108
26.2,2017,2017-04-18,108
