distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,80.83333333333333,72.5,91.25,63,103,6,True
0.1,94.5,68.5,122.25,62,132,6,True
0.2,104.6,91.0,130.0,65,141,5,True
0.3,91.75,75.5,102.25,65,130,4,True
0.4,79.0,72.0,86.0,65,93,3,True
0.5,105.4,79.0,141.0,65,146,5,True
0.6,82.75,67.25,99.5,62,101,4,True
0.7,110.25,94.5,133.25,69,137,4,True
0.8,107.5,88.75,125.75,67,149,4,True
0.9,105.66666666666667,81.5,125.0,67,154,3,True
1.0,99.5,89.25,109.75,79,120,2,True
1.1,115.33333333333333,107.0,127.5,91,132,3,True
1.2,95.0,79.0,111.0,63,127,2,True
1.3,79.0,79.0,79.0,79,79,1,True
1.4,114.0,107.5,120.5,101,127,2,True
1.5,104.66666666666667,92.5,122.0,70,129,3,True
1.6,115.0,115.0,115.0,115,115,1,True
1.7,115.0,115.0,115.0,115,115,1,True
1.8,115.0,115.0,115.0,115,115,1,True
1.9,110.25,104.25,126.0,72,129,4,True
2.0,115.0,115.0,115.0,115,115,1,True
2.1,77.0,70.0,84.0,63,91,2,True
2.2,93.25,73.5,97.75,63,154,4,True
2.3,90.75,66.0,108.75,63,132,4,True
2.4,83.0,73.0,93.0,63,103,2,True
2.5,84.0,74.5,94.5,63,103,3,True
2.6,62.5,62.25,62.75,62,63,2,True
2.7,67.5,65.25,69.75,63,72,2,True
2.8,93.5,69.5,103.5,62,153,4,True
2.9,93.5,69.5,103.5,62,153,4,True
3.0,84.4,69.0,87.0,62,120,5,True
3.1,95.6,84.0,118.0,69,120,5,True
3.2,102.0,80.25,111.75,69,159,4,True
3.3,102.0,80.25,111.75,69,159,4,True
3.4,88.33333333333333,78.5,97.5,70,108,3,True
3.5,89.0,79.5,98.5,70,108,2,True
3.6,81.0,67.5,89.0,65,108,3,True
3.7,154.0,154.0,154.0,154,154,1,True
3.8,105.66666666666667,81.5,120.0,77,154,3,True
3.9,81.66666666666667,64.0,91.0,63,117,3,True
