distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,79.2,63.0,77.0,60,129,5,True
0.1,120.6,99.0,149.0,84,166,5,True
0.2,142.2,132.0,161.0,99,166,5,True
0.3,121.5,89.25,162.25,60,166,4,True
0.4,113.0,106.0,120.0,99,127,2,True
0.5,68.5,66.0,71.0,63,74,4,True
0.6,71.5,68.25,75.25,63,79,4,True
0.7,103.33333333333333,86.5,118.0,74,137,3,True
0.8,102.0,84.5,118.0,70,137,3,True
0.9,108.2,65.0,139.0,63,154,5,True
1.0,83.0,79.75,88.75,67,94,4,True
1.1,127.66666666666667,104.75,149.5,84,159,6,True
1.2,108.5,91.5,116.5,84,151,4,True
1.3,102.5,85.5,116.5,60,151,4,True
1.4,99.5,88.5,110.5,72,127,4,True
1.5,118.6,72.0,153.0,67,159,5,True
1.6,65.0,64.0,66.0,63,67,2,True
1.7,78.0,64.5,86.0,62,105,3,True
1.8,88.5,74.25,102.75,60,117,2,True
1.9,104.0,93.0,98.0,84,151,5,True
2.0,75.75,67.5,81.25,63,94,4,True
2.1,73.5,64.5,77.5,63,94,4,True
2.2,113.75,77.5,149.75,67,161,4,True
2.3,88.66666666666667,78.0,95.5,75,110,3,True
2.4,68.66666666666667,65.5,72.0,62,75,3,True
2.5,65.5,63.75,67.25,62,69,2,True
2.6,78.0,73.5,82.5,69,87,2,True
2.7,80.2,69.0,94.0,63,103,5,True
2.8,76.8,67.0,72.0,63,113,5,True
2.9,128.5,113.25,143.75,98,159,2,True
3.0,100.25,66.5,122.25,65,159,4,True
3.1,87.0,67.0,98.0,65,111,5,True
3.2,86.5,81.25,95.25,67,99,4,True
3.3,111.4,87.0,139.0,72,165,5,True
3.4,101.0,88.5,109.0,72,139,4,True
3.5,118.6,106.0,139.0,72,153,5,True
3.6,132.33333333333334,115.5,162.5,72,166,3,True
3.7,85.0,76.0,90.0,75,103,3,True
3.8,121.5,99.25,143.75,77,166,2,True
3.9,120.5,97.75,143.25,75,166,2,True
4.0,101.5,78.75,111.25,63,166,4,True
4.1,71.5,62.25,75.75,60,93,4,True
4.2,96.33333333333333,61.5,114.5,60,166,3,True
4.3,74.5,68.75,80.25,63,86,2,True
4.4,83.33333333333333,74.5,93.5,63,101,3,True
4.5,79.33333333333333,68.5,87.5,63,101,3,True
4.6,74.0,74.0,74.0,74,74,1,True
4.7,103.5,84.25,122.75,65,142,2,True
4.8,91.75,75.5,96.25,65,142,4,True
4.9,105.5,87.25,123.75,69,142,2,True
5.0,64.0,63.5,64.5,63,65,2,True
5.1,64.0,63.5,64.5,63,65,2,True
5.5,65.0,65.0,65.0,65,65,1,True
5.6,65.0,65.0,65.0,65,65,1,True
5.8,129.0,129.0,129.0,129,129,1,True
5.9,147.0,147.0,147.0,147,147,1,True
6.0,158.0,158.0,158.0,158,158,1,True
6.1,147.0,147.0,147.0,147,147,1,True
6.3,144.5,137.25,151.75,130,159,2,True
6.7,166.0,166.0,166.0,166,166,1,True
7.0,97.25,63.75,121.0,60,154,4,True
7.1,116.0,103.5,136.5,75,141,3,True
7.2,111.5,97.5,132.5,75,134,4,True
7.3,114.0,102.25,125.25,94,135,4,True
9.9,123.0,123.0,123.0,123,123,1,True
10.3,154.0,154.0,154.0,154,154,1,True
10.6,94.0,94.0,94.0,94,94,1,True
10.7,94.0,94.0,94.0,94,94,1,True
10.8,147.0,147.0,147.0,147,147,1,True
10.9,147.0,147.0,147.0,147,147,1,True
12.7,144.0,144.0,144.0,144,144,1,True
12.9,120.0,120.0,120.0,120,120,1,True
13.5,141.0,141.0,141.0,141,141,1,True
13.6,103.0,103.0,103.0,103,103,1,True
13.7,68.0,67.5,68.5,67,69,2,True
13.8,67.0,67.0,67.0,67,67,1,True
14.0,139.0,139.0,139.0,139,139,1,True
14.6,135.0,135.0,135.0,135,135,1,True
14.7,135.0,135.0,135.0,135,135,1,True
14.8,146.5,140.75,152.25,135,158,2,True
14.9,135.0,135.0,135.0,135,135,1,True
15.0,133.5,128.25,138.75,123,144,2,True
15.1,137.0,136.0,138.0,135,139,2,True
15.2,131.0,127.0,135.0,123,139,2,True
15.3,135.75,129.75,141.5,123,149,4,True
15.4,135.75,129.75,141.5,123,149,4,True
15.5,132.75,129.75,137.5,123,139,4,True
15.6,132.0,132.0,132.0,132,132,1,True
15.7,129.75,123.0,136.25,111,149,4,True
15.8,130.6,127.0,134.0,111,149,5,True
15.9,146.33333333333334,145.0,147.5,144,149,3,True
16.0,146.5,145.25,147.75,144,149,2,True
16.1,124.25,117.5,134.25,101,141,4,True
16.2,116.5,108.75,124.25,101,132,2,True
16.3,128.5,126.75,130.25,125,132,2,True
16.4,116.5,113.5,125.5,94,127,4,True
