distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-08-11,223,0.17242109775543213
0.1,2018,2018-08-11,223,0.16859661042690277
0.2,2018,2018-06-24,175,0.13646885752677917
0.3,2018,2018-06-24,175,0.14237762987613678
0.4,2018,2018-05-19,139,0.14539273083209991
0.5,2018,2018-09-04,247,0.16730038821697235
0.6,2018,2018-09-04,247,0.1571291834115982
0.7,2018,2018-09-04,247,0.13172604143619537
0.8,2018,2018-09-16,259,0.15868744254112244
0.9,2018,2018-08-11,223,0.24909311532974243
1.0,2018,2018-03-08,67,0.4463946521282196
1.1,2018,2018-05-31,151,0.47117316722869873
1.2,2018,2018-03-08,67,0.5940842032432556
1.3,2018,2018-10-22,295,0.762352466583252
1.4,2018,2018-10-22,295,0.7261167168617249
1.5,2018,2018-05-31,151,0.7845870852470398
1.6,2018,2018-07-30,211,0.7373531460762024
1.7,2018,2018-03-08,67,0.6142949461936951
1.8,2018,2018-09-04,247,0.6841414570808411
1.9,2018,2018-06-24,175,0.6938025951385498
2.0,2018,2018-04-13,103,0.6888203620910645
2.1,2018,2018-06-24,175,0.649461567401886
2.2,2018,2018-07-30,211,0.8826023936271667
2.3,2018,2018-09-28,271,0.7035014629364014
2.4,2018,2018-09-28,271,1.0163700580596924
2.5,2018,2018-08-11,223,0.9719338417053223
2.6,2018,2018-07-18,199,1.6327842473983765
2.7,2018,2018-07-18,199,1.7170027494430542
2.8,2018,2018-05-07,127,0.95448237657547
2.9,2018,2018-05-31,151,1.0723683834075928
3.0,2018,2018-09-28,271,1.0242094993591309
3.1,2018,2018-08-11,223,1.4930146932601929
3.2,2018,2018-08-11,223,1.4366874694824219
3.3,2018,2018-08-11,223,1.431654691696167
3.4,2018,2018-07-18,199,1.4226055145263672
3.5,2018,2018-06-24,175,1.506861686706543
3.6,2018,2018-08-11,223,1.2626286745071411
3.7,2018,2018-08-23,235,1.5445936918258667
3.8,2018,2018-08-23,235,1.5332233905792236
3.9,2018,2018-08-11,223,1.4461514949798584
4.0,2018,2018-05-07,127,2.0863635540008545
4.1,2018,2018-06-24,175,1.6572781801223755
4.2,2018,2018-08-11,223,2.1472132205963135
4.3,2018,2018-06-24,175,2.0664496421813965
4.4,2018,2018-06-24,175,1.4518673419952393
4.5,2018,2018-05-19,139,0.8001853823661804
4.6,2018,2018-07-18,199,1.1380945444107056
4.7,2018,2018-08-11,223,1.3179513216018677
4.8,2018,2018-08-11,223,1.1782759428024292
4.9,2018,2018-04-13,103,0.7993707656860352
5.0,2018,2018-08-23,235,0.9505716562271118
5.1,2018,2018-08-23,235,0.8591296672821045
5.2,2018,2018-08-11,223,0.9737041592597961
5.3,2018,2018-08-11,223,0.991130530834198
5.4,2018,2018-08-11,223,1.0066344738006592
5.5,2018,2018-08-11,223,1.015927791595459
5.6,2018,2018-08-11,223,1.0174472332000732
5.7,2018,2018-08-11,223,1.0141017436981201
5.8,2018,2018-08-11,223,1.0109152793884277
5.9,2018,2018-08-11,223,0.9976665377616882
6.0,2018,2018-08-11,223,0.9893827438354492
6.1,2018,2018-04-13,103,1.0817376375198364
6.2,2018,2018-05-19,139,1.6033210754394531
6.3,2018,2018-08-11,223,1.0175081491470337
6.4,2018,2018-08-11,223,0.919592559337616
6.5,2018,2018-07-30,211,0.8949851989746094
6.6,2018,2018-09-16,259,1.2251676321029663
6.7,2018,2018-09-04,247,1.1662362813949585
6.8,2018,2018-09-28,271,1.0908828973770142
6.9,2018,2018-07-30,211,1.1728439331054688
7.0,2018,2018-08-11,223,2.1662135124206543
7.1,2018,2018-07-18,199,1.9679087400436401
7.2,2018,2018-06-24,175,1.7935845851898193
7.3,2018,2018-05-31,151,2.119551181793213
7.4,2018,2018-05-31,151,2.031869411468506
7.5,2018,2018-05-31,151,2.212263822555542
7.6,2018,2018-10-10,283,1.9687764644622803
7.7,2018,2018-10-10,283,1.9641308784484863
7.8,2018,2018-08-11,223,1.8126665353775024
7.9,2018,2018-07-30,211,1.8966294527053833
8.0,2018,2018-07-30,211,1.9293497800827026
8.1,2018,2018-07-30,211,1.9325586557388306
8.2,2018,2018-06-24,175,1.7754911184310913
8.3,2018,2018-06-24,175,1.764988899230957
8.4,2018,2018-06-24,175,1.7643203735351562
8.5,2018,2018-05-31,151,1.825438141822815
8.6,2018,2018-05-31,151,2.18534255027771
8.7,2018,2018-05-19,139,1.6000844240188599
8.8,2018,2018-05-31,151,1.276891827583313
8.9,2018,2018-10-22,295,1.1935850381851196
9.0,2018,2018-05-19,139,1.1280475854873657
9.1,2018,2018-05-31,151,1.12786865234375
9.2,2018,2018-05-31,151,1.1377828121185303
9.3,2018,2018-10-10,283,1.0734126567840576
9.4,2018,2018-03-20,79,1.0667924880981445
9.5,2018,2018-08-11,223,1.0740565061569214
9.6,2018,2018-05-19,139,2.600411891937256
9.7,2018,2018-05-31,151,1.2418230772018433
9.8,2018,2018-05-31,151,1.3573328256607056
9.9,2018,2018-06-24,175,1.8283005952835083
10.0,2018,2018-10-10,283,1.1903506517410278
10.1,2018,2018-10-10,283,1.2661502361297607
10.2,2018,2018-10-10,283,1.2263975143432617
10.3,2018,2018-09-04,247,1.7076140642166138
10.4,2018,2018-08-23,235,1.680076241493225
10.5,2018,2018-03-20,79,1.5993276834487915
10.6,2018,2018-05-31,151,1.6204257011413574
10.7,2018,2018-06-24,175,1.5222036838531494
10.8,2018,2018-07-18,199,1.8527274131774902
10.9,2018,2018-07-18,199,1.8527735471725464
11.0,2018,2018-07-30,211,2.818659782409668
11.1,2018,2018-05-31,151,2.2996225357055664
11.2,2018,2018-05-19,139,2.15411114692688
11.3,2018,2018-06-24,175,2.3768553733825684
11.4,2018,2018-05-19,139,2.2613401412963867
11.5,2018,2018-05-31,151,2.3554835319519043
11.6,2018,2018-07-18,199,2.250030517578125
11.7,2018,2018-06-24,175,2.3092193603515625
11.8,2018,2018-05-31,151,2.359057664871216
11.9,2018,2018-06-24,175,2.3315255641937256
12.0,2018,2018-05-31,151,2.2778851985931396
12.1,2018,2018-05-31,151,2.3242669105529785
12.2,2018,2018-05-31,151,2.326091766357422
12.3,2018,2018-05-31,151,2.3733139038085938
12.4,2018,2018-05-31,151,2.369439125061035
12.5,2018,2018-05-31,151,2.4270377159118652
12.6,2018,2018-05-31,151,2.3735644817352295
12.7,2018,2018-05-31,151,2.327268123626709
12.8,2018,2018-05-19,139,2.6196892261505127
12.9,2018,2018-08-11,223,2.1755831241607666
13.0,2018,2018-06-24,175,2.340583562850952
13.1,2018,2018-05-31,151,2.980729579925537
13.2,2018,2018-05-07,127,2.7978553771972656
