s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,635470.577743028,3978968.8605727456,5749.307,6.6049647,0.043421857
0.1,635461.605715849,3978869.29005771,5683.498,23.505417,0.04683957
0.2,635454.4547018773,3978769.5557325887,5629.4194,25.624992,0.049844712
0.3,635451.0084742932,3978669.6151326536,5610.6074,0.0,0.054363783
0.4,635448.6278983459,3978569.6561648725,5600.938,29.985825,0.059750326
0.5,635448.6278983458,3978469.6561648725,5648.8027,42.171005,0.061564654
0.6,635449.6935499826,3978369.674532718,5711.202,44.14595,0.057527214
0.7,635453.1397775669,3978269.733932783,5745.5034,46.44617,0.050696936
0.8,635458.679324934,3978169.909884547,5752.2783,48.56137,0.047705136
0.9,635466.348974823,3978070.2044359967,5762.6343,46.941498,0.045780342
1.0,635478.5766641588,3977970.971225627,5795.509,46.446667,0.043194517
1.1,635494.2896262346,3977872.2697907444,5840.3403,45.722206,0.042328432
1.2,635515.1181031704,3977774.511733782,5808.6084,44.19562,0.042479098
1.3,635543.7136943501,3977678.711572843,5778.522,38.833065,0.04128818
1.4,635584.2769895226,3977587.415572622,5778.7236,26.684816,0.04218382
1.5,635642.5103688453,3977506.695959685,5752.4814,21.868504,0.04305938
1.6,635714.5619986178,3977437.373269932,5780.8765,19.16689,0.04344213
1.7,635791.4013604197,3977373.4449978205,5829.91,30.625355,0.04274293
1.8,635875.6748743596,3977319.9164432697,5871.984,31.692144,0.041668914
1.9,635972.3442896601,3977299.176381271,5963.61,15.808749,0.04712102
2.0,636065.9520357667,3977266.313344296,5900.811,23.182602,0.057148524
2.1,636144.4282401662,3977204.7780883657,5863.2715,28.275066,0.060850613
2.2,636191.6940117554,3977118.369071057,5789.37,32.81883,0.06462079
2.3,636215.069505442,3977021.264555415,5757.0938,35.202682,0.06723049
2.4,636229.068536333,3976922.273645293,5729.536,41.104107,0.06215955
2.5,636237.7829105782,3976822.6607854427,5703.596,42.38054,0.05393035
2.6,636243.2746110685,3976722.8208193746,5640.163,39.71082,0.051787443
2.7,636246.6696349168,3976622.8876796565,5619.4907,31.676584,0.050143223
2.8,636248.6278983467,3976522.908733818,5596.1196,30.272045,0.04815955
2.9,636248.6278983464,3976422.908733818,5543.503,34.37956,0.046013966
3.0,636246.2134783762,3976322.971566756,5470.429,27.57047,0.044803653
3.1,636241.0121949577,3976223.1069251113,5385.552,39.835136,0.052887768
3.2,636229.9516364856,3976123.7273258106,5340.2866,100.141884,0.06559435
3.3,636214.5327256576,3976024.987509179,5336.685,158.4312,0.07963273
3.4,636193.5487678145,3975927.2935602698,5331.676,188.83835,0.11156716
3.5,636165.4477316828,3975831.3872035244,5333.4834,189.01865,0.13783997
3.6,636128.3544882835,3975738.5680647325,5335.6685,184.62523,0.14889728
3.7,636080.2821147086,3975650.954212623,5312.2056,177.83098,0.14504606
3.8,636019.6608514008,3975571.611383238,5276.8364,212.08337,0.14440237
3.9,635948.2090495515,3975501.672911557,5270.8394,232.56111,0.15705451
4.0,635873.173057073,3975435.616062456,5272.5166,254.25105,0.20391892
4.1,635793.3900332825,3975375.42976452,5274.0396,259.16928,0.25810596
4.2,635706.398092793,3975326.3385274066,5260.846,275.97455,0.34924665
4.3,635610.3972306285,3975300.5784301846,5256.42,285.0469,0.43658003
4.4,635511.5963959404,3975312.961305786,5247.8096,283.47498,0.5118681
4.5,635416.456798006,3975343.446870321,5245.0396,273.93942,0.50732315
4.6,635324.4628517554,3975382.585269544,5238.598,249.28625,0.47016877
4.7,635234.5677975428,3975426.358480586,5230.8784,255.37355,0.39401975
4.8,635146.3499881007,3975473.4396126247,5216.564,249.90259,0.334789
4.9,635059.4705096177,3975522.9540808867,5211.1436,259.5988,0.27170324
5.0,634975.3618268548,3975577.0300058555,5209.1685,299.69443,0.25861052
5.1,634895.3913592194,3975637.0303538297,5205.0645,330.1054,0.25807843
5.2,634820.7348827221,3975703.4714458087,5201.5312,336.78262,0.2889287
5.3,634753.0504601458,3975776.953114488,5200.8423,331.9532,0.30054298
5.4,634694.3503456899,3975857.7917763754,5200.3613,305.79004,0.29917258
5.5,634649.9624405296,3975947.2420747257,5197.5674,312.20255,0.28629565
5.6,634610.3777794662,3976039.050916587,5198.1323,340.82718,0.24241097
5.7,634565.0251018489,3976128.1516965446,5194.3413,351.2052,0.22171898
5.8,634515.1064442805,3976214.780853627,5195.2925,377.54492,0.23215689
5.9,634461.0550415117,3976298.8967970917,5192.9204,395.04428,0.25847203
6.0,634402.931640422,3976380.2567740837,5188.431,401.44278,0.2692608
6.1,634341.6682311737,3976459.278014151,5185.259,404.08472,0.2532174
6.2,634283.6014291458,3976540.6173068224,5178.527,414.46558,0.22415349
6.3,634231.6821500044,3976626.0493805134,5169.0845,412.44727,0.2141255
6.4,634184.5122713563,3976714.205094136,5164.217,393.15323,0.2074267
6.5,634141.0246022339,3976804.235434424,5153.2324,391.87808,0.19958717
6.6,634100.4178182788,3976895.602055343,5148.5986,393.6717,0.20620629
6.7,634062.0909638071,3976987.954324942,5139.2607,401.29855,0.21786687
6.8,634025.7367152428,3977081.112086891,5134.85,402.8189,0.22009711
6.9,633991.7560479278,3977175.159514162,5126.7744,410.43277,0.22150612
7.0,633958.9482528016,3977269.6173668187,5122.8384,415.93103,0.2145447
7.1,633927.3254762002,3977364.485696624,5119.356,412.78754,0.21338691
7.2,633897.3396793263,3977459.882029111,5115.45,411.6637,0.20864458
7.3,633868.2979525619,3977555.566704054,5113.1133,396.6761,0.20485632
7.4,633840.5439872799,3977651.6381223383,5114.3135,382.3926,0.1943541
7.5,633814.7595659383,3977748.2542962497,5111.578,368.5352,0.19834107
7.6,633790.377868791,3977845.2285543173,5107.684,350.9499,0.2092251
7.7,633767.5879077001,3977942.5925032673,5103.7095,345.07343,0.24669066
7.8,633747.0477565273,3978040.4602823867,5099.068,328.67044,0.21805632
7.9,633728.9466039484,3978138.8027846906,5092.6196,312.4184,0.19459751
8.0,633713.2062924942,3978237.5439246334,5086.0522,306.30978,0.19968185
8.1,633700.1726324181,3978336.6758235395,5078.9985,300.44043,0.19192144
8.2,633687.9948794786,3978435.915737215,5070.8696,297.09793,0.19549061
8.3,633672.575738945,3978534.7112727356,5064.4346,310.0894,0.1713947
8.4,633653.9865721341,3978632.968297305,5051.114,314.0236,0.1366202
8.5,633632.0076430872,3978730.5207327968,5045.9277,301.67938,0.10056533
8.6,633607.3530716773,3978827.4227715307,5040.752,302.50085,0.09272393
8.7,633580.2091324372,3978923.654298668,5040.339,296.6232,0.08950444
8.8,633550.7517895692,3979019.2067565187,5036.1484,299.25696,0.096965834
8.9,633519.1290129672,3979114.0750863235,5033.3677,299.44806,0.103031814
9.0,633484.685559914,3979207.9558348814,5028.1055,280.38113,0.11105696
9.1,633448.4060314188,3979301.133097504,5026.0166,272.21323,0.13840307
9.2,633409.5718420492,3979393.247526626,5014.153,268.11594,0.14464036
9.3,633367.3396934342,3979483.8921382884,5004.633,273.79123,0.1383847
9.4,633321.8754652849,3979572.943101662,4988.805,281.25537,0.15884352
