distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,87.4,87.0,94.0,62,105,5,True
0.1,89.14285714285714,71.0,93.5,62,144,7,True
0.2,77.14285714285714,72.5,82.5,67,86,7,True
0.3,85.6,70.0,84.0,63,134,5,True
0.4,84.33333333333333,66.0,82.75,63,146,6,True
0.5,65.25,63.75,67.5,60,69,4,True
0.6,92.5,64.0,119.0,60,149,6,True
0.7,138.33333333333334,121.75,155.75,113,165,6,True
0.8,105.75,100.5,121.75,63,127,4,True
0.9,110.4,84.0,127.0,69,159,5,True
1.0,123.0,99.0,161.0,69,166,5,True
1.1,110.25,86.5,130.25,67,161,4,True
1.2,98.2,62.0,129.0,60,151,5,True
1.3,63.5,61.75,65.25,60,67,2,True
1.4,113.5,100.5,132.25,67,153,6,True
1.5,107.0,94.5,127.0,67,132,3,True
1.6,75.0,64.5,81.5,62,96,3,True
1.7,120.0,114.25,137.75,67,149,4,True
1.8,76.5,65.75,86.5,60,94,6,True
1.9,90.5,72.5,97.0,60,135,6,True
2.0,78.4,63.0,89.0,60,94,5,True
2.1,85.71428571428571,66.0,90.0,60,153,7,True
2.2,65.8,62.0,67.0,60,75,5,True
2.3,86.25,63.75,88.5,60,153,4,True
2.4,69.6,65.0,70.0,60,86,5,True
2.5,91.75,67.5,98.75,60,158,4,True
2.6,80.0,71.75,86.75,62,101,4,True
2.7,123.0,116.75,132.25,101,139,4,True
2.8,114.0,93.25,140.75,70,146,4,True
2.9,89.0,63.0,101.0,60,142,5,True
3.0,93.75,68.25,113.0,63,137,4,True
3.1,74.66666666666667,61.5,82.0,60,101,3,True
3.2,98.66666666666667,79.5,112.0,72,137,3,True
3.3,87.0,87.0,87.0,87,87,1,True
3.4,101.8,70.0,137.0,62,159,5,True
3.5,99.75,68.0,120.75,62,159,4,True
3.6,105.0,92.5,114.0,87,130,3,True
3.7,135.5,133.75,137.25,132,139,2,True
3.8,115.0,103.0,130.5,84,139,3,True
3.9,115.0,103.0,130.5,84,139,3,True
4.0,96.0,96.0,96.0,96,96,1,True
4.4,112.0,94.5,129.5,77,147,2,True
4.5,77.0,77.0,77.0,77,77,1,True
4.6,81.5,73.25,89.75,65,98,2,True
4.7,65.0,65.0,65.0,65,65,1,True
4.8,69.5,67.25,71.75,65,74,2,True
4.9,90.0,65.5,104.0,62,139,3,True
5.0,139.0,139.0,139.0,139,139,1,True
5.1,134.0,134.0,134.0,134,134,1,True
5.3,65.0,65.0,65.0,65,65,1,True
5.4,83.5,72.75,94.25,62,105,2,True
5.5,108.0,91.0,125.0,74,142,2,True
5.6,93.33333333333333,83.5,103.0,74,113,3,True
5.7,102.0,85.5,118.0,63,142,4,True
5.8,97.25,69.25,109.5,67,159,4,True
5.9,116.25,99.75,135.0,69,159,4,True
6.0,102.0,89.5,118.5,69,127,3,True
6.1,135.0,123.5,156.0,93,158,3,True
6.2,105.0,105.0,105.0,105,105,1,True
6.3,77.5,69.75,85.25,62,93,2,True
6.4,100.66666666666667,89.5,114.0,74,123,3,True
6.5,87.0,73.0,91.5,70,123,4,True
6.6,98.33333333333333,75.5,112.5,70,144,3,True
6.7,91.0,86.0,96.0,81,101,2,True
6.8,88.75,81.75,99.5,69,101,4,True
6.9,92.66666666666667,77.5,104.5,69,123,3,True
7.0,88.75,67.25,106.5,62,123,4,True
7.1,105.75,96.25,115.5,82,129,4,True
7.2,87.4,81.0,101.0,62,111,5,True
7.3,97.25,90.75,103.5,84,111,4,True
7.4,96.5,86.25,100.25,84,122,4,True
7.5,84.0,79.5,88.5,75,93,3,True
7.6,82.5,81.75,83.25,81,84,2,True
7.7,70.5,65.25,75.75,60,81,2,True
7.8,70.5,65.25,75.75,60,81,2,True
8.4,93.0,93.0,93.0,93,93,1,True
8.5,103.0,98.0,108.0,93,113,2,True
8.6,62.0,62.0,62.0,62,62,1,True
8.7,74.0,74.0,74.0,74,74,1,True
8.8,73.0,72.5,73.5,72,74,2,True
8.9,94.33333333333333,74.5,105.5,72,134,3,True
9.0,103.0,87.5,118.5,72,134,2,True
9.3,65.0,65.0,65.0,65,65,1,True
9.4,63.333333333333336,62.5,64.0,62,65,3,True
9.5,64.0,63.5,64.5,63,65,2,True
9.6,70.66666666666667,62.5,76.0,60,87,3,True
9.7,62.5,61.25,63.75,60,65,2,True
9.8,62.333333333333336,61.0,63.5,60,65,3,True
9.9,78.66666666666667,64.0,86.5,63,108,3,True
10.0,82.0,73.5,90.5,65,99,2,True
10.1,89.0,89.0,89.0,89,89,1,True
10.2,65.0,65.0,65.0,65,65,1,True
10.3,65.0,65.0,65.0,65,65,1,True
10.4,65.0,65.0,65.0,65,65,1,True
10.6,72.0,72.0,72.0,72,72,1,True
11.0,65.0,65.0,65.0,65,65,1,True
11.1,62.5,61.25,63.75,60,65,2,True
11.2,72.0,72.0,72.0,72,72,1,True
11.3,72.0,72.0,72.0,72,72,1,True
11.4,60.0,60.0,60.0,60,60,1,True
11.6,60.0,60.0,60.0,60,60,1,True
11.9,110.0,110.0,110.0,110,110,1,True
12.1,60.0,60.0,60.0,60,60,1,True
12.3,72.0,72.0,72.0,72,72,1,True
12.4,67.5,65.25,69.75,63,72,2,True
12.5,72.0,72.0,72.0,72,72,1,True
12.6,67.5,63.75,71.25,60,75,2,True
12.7,83.5,64.25,95.25,62,120,4,True
12.8,62.333333333333336,61.0,63.5,60,65,3,True
12.9,70.33333333333333,61.0,75.5,60,89,3,True
13.0,76.66666666666667,70.5,84.0,62,89,3,True
13.1,60.0,60.0,60.0,60,60,1,True
13.2,60.0,60.0,60.0,60,60,1,True
13.6,62.0,62.0,62.0,62,62,1,True
13.7,62.0,62.0,62.0,62,62,1,True
13.8,62.0,62.0,62.0,62,62,1,True
13.9,79.0,79.0,79.0,79,79,1,True
14.0,89.0,89.0,89.0,89,89,1,True
14.3,63.0,63.0,63.0,63,63,1,True
14.5,62.0,62.0,62.0,62,62,1,True
14.6,60.0,60.0,60.0,60,60,1,True
14.8,96.0,96.0,96.0,96,96,1,True
14.9,135.0,135.0,135.0,135,135,1,True
15.1,147.0,138.0,155.0,135,161,4,True
15.2,104.5,82.25,126.75,60,149,2,True
15.3,94.33333333333333,80.5,111.5,60,122,3,True
15.4,144.0,144.0,144.0,144,144,1,True
15.6,142.0,142.0,142.0,142,142,1,True
15.7,94.0,94.0,94.0,94,94,1,True
15.8,118.66666666666667,114.5,122.5,111,127,3,True
15.9,122.66666666666667,119.0,128.5,111,130,3,True
16.0,104.0,81.25,119.25,79,144,4,True
16.1,99.16666666666667,85.5,110.75,79,117,6,True
16.2,104.0,77.0,112.5,67,165,6,True
16.3,100.0,71.75,116.75,67,165,6,True
16.4,116.0,90.5,148.0,65,154,4,True
16.5,116.2,101.0,134.0,87,142,5,True
16.6,99.0,82.75,112.25,70,134,4,True
16.7,104.66666666666667,98.5,114.0,86,117,3,True
16.8,101.25,93.25,106.5,79,129,4,True
16.9,111.0,89.25,129.75,63,165,4,True
17.0,84.66666666666667,78.0,95.5,63,98,3,True
17.1,84.0,73.5,94.5,63,105,3,True
17.2,127.0,108.75,136.75,105,166,4,True
17.3,118.6,105.0,118.0,99,161,5,True
17.4,106.28571428571429,91.5,108.0,79,161,7,True
17.5,108.0,72.0,143.0,67,161,7,True
17.6,89.0,67.0,82.0,60,161,5,True
17.7,106.5,71.25,133.5,67,161,6,True
17.8,113.66666666666667,103.5,126.75,70,161,6,True
17.9,114.85714285714286,104.0,127.0,70,161,7,True
18.0,126.2,105.0,151.0,70,161,5,True
18.1,117.6,101.0,144.0,70,151,5,True
18.2,115.33333333333333,99.5,138.0,70,147,3,True
18.3,126.25,116.75,148.0,77,151,4,True
18.4,109.5,100.25,124.75,77,130,4,True
18.5,94.66666666666667,82.0,103.5,77,120,3,True
18.6,107.2,87.0,122.0,77,144,5,True
18.7,100.5,84.25,118.5,63,127,6,True
18.8,118.5,106.5,141.25,77,147,6,True
18.9,116.5,100.25,131.25,77,159,4,True
19.0,85.4,69.0,96.0,63,122,5,True
19.1,84.0,72.0,91.5,69,108,3,True
19.2,84.0,72.0,91.5,69,108,3,True
19.3,133.5,120.75,146.25,108,159,2,True
19.4,99.5,79.75,119.25,60,139,2,True
19.5,99.5,79.75,119.25,60,139,2,True
19.54,99.5,79.75,119.25,60,139,2,True
