distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-10-22,295,0.10029472410678864
0.1,2018,2018-05-19,139,0.18743367493152618
0.2,2018,2018-03-20,79,0.2074042111635208
0.3,2018,2018-04-13,103,0.2988424599170685
0.4,2018,2018-08-11,223,0.5068956613540649
0.5,2018,2018-10-22,295,0.4935002326965332
0.6,2018,2018-06-24,175,0.613462507724762
0.7,2018,2018-10-22,295,0.7581501007080078
0.8,2018,2018-05-19,139,0.5100233554840088
0.9,2018,2018-07-18,199,0.611439049243927
1.0,2018,2018-06-24,175,1.1166844367980957
1.1,2018,2018-09-04,247,1.2664614915847778
1.2,2018,2018-10-22,295,1.5013993978500366
1.3,2018,2018-05-31,151,1.5903985500335693
1.4,2018,2018-07-18,199,1.2315077781677246
1.5,2018,2018-03-20,79,1.3535257577896118
1.6,2018,2018-07-30,211,1.548095941543579
1.7,2018,2018-03-20,79,1.6889660358428955
1.8,2018,2018-10-10,283,2.5530357360839844
1.9,2018,2018-07-18,199,1.9458441734313965
2.0,2018,2018-03-08,67,1.2217199802398682
2.1,2018,2018-07-18,199,2.282503604888916
2.2,2018,2018-07-18,199,2.1355080604553223
2.3,2018,2018-06-24,175,1.3034695386886597
2.4,2018,2018-07-18,199,1.71973717212677
2.5,2018,2018-08-11,223,1.5623804330825806
2.6,2018,2018-08-11,223,2.5670032501220703
2.7,2018,2018-10-22,295,2.8067102432250977
2.8,2018,2018-05-19,139,1.8400495052337646
2.9,2018,2018-08-11,223,1.977033257484436
3.0,2018,2018-05-19,139,1.6802425384521484
3.1,2018,2018-05-19,139,1.6896326541900635
3.2,2018,2018-07-30,211,1.858751893043518
3.3,2018,2018-10-22,295,1.3345102071762085
3.4,2018,2018-04-13,103,1.395976185798645
3.5,2018,2018-03-08,67,1.055086374282837
3.6,2018,2018-06-24,175,0.8175593018531799
3.7,2018,2018-05-31,151,0.6747153401374817
3.8,2018,2018-03-08,67,0.7390713095664978
3.9,2018,2018-03-08,67,0.7390713095664978
4.0,2018,2018-06-24,175,0.6308585405349731
4.1,2018,2018-05-19,139,0.6525675058364868
4.2,2018,2018-06-24,175,0.6602917909622192
4.3,2018,2018-05-19,139,0.6304087042808533
4.4,2018,2018-06-24,175,0.6297731995582581
4.5,2018,2018-06-24,175,0.628363847732544
4.6,2018,2018-10-10,283,0.5834916234016418
4.7,2018,2018-09-28,271,0.5103088021278381
4.8,2018,2018-05-31,151,0.47152775526046753
4.9,2018,2018-05-31,151,0.473479688167572
5.0,2018,2018-05-31,151,0.511332631111145
5.1,2018,2018-03-08,67,0.6232503652572632
5.2,2018,2018-07-30,211,0.47679999470710754
5.3,2018,2018-07-30,211,1.003089189529419
5.4,2018,2018-09-04,247,0.7779860496520996
5.5,2018,2018-10-22,295,0.5546738505363464
5.6,2018,2018-10-22,295,0.5766133069992065
5.7,2018,2018-09-04,247,1.6508504152297974
5.8,2018,2018-08-11,223,1.916304111480713
5.9,2018,2018-05-19,139,2.3434791564941406
6.0,2018,2018-05-19,139,1.1133087873458862
6.1,2018,2018-05-19,139,0.8317680954933167
6.2,2018,2018-04-13,103,1.9495680332183838
6.3,2018,2018-05-19,139,2.129025936126709
6.4,2018,2018-05-19,139,1.5211561918258667
6.5,2018,2018-07-30,211,1.4760069847106934
6.6,2018,2018-05-19,139,1.8188804388046265
6.7,2018,2018-07-30,211,2.199876070022583
6.8,2018,2018-07-30,211,2.1320574283599854
