distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,186.85714285714286,122.5,249.5,7,True
0.1,154.28571428571428,128.0,181.5,7,True
0.2,161.14285714285714,100.5,208.0,7,True
0.3,156.0,110.5,190.0,7,True
0.4,190.28571428571428,138.5,240.0,7,True
0.5,193.71428571428572,136.5,272.5,7,True
0.6,210.85714285714286,182.0,260.5,7,True
0.7,195.42857142857142,145.0,234.0,7,True
0.8,135.42857142857142,116.5,152.5,7,True
0.9,224.57142857142858,215.0,268.5,7,True
1.0,216.0,206.5,247.0,7,True
1.1,198.85714285714286,164.5,242.0,7,True
1.2,180.0,171.5,190.0,7,True
1.3,168.0,139.5,193.5,7,True
1.4,190.28571428571428,159.5,223.5,7,True
1.5,173.14285714285714,126.0,223.5,7,True
1.6,209.14285714285714,184.0,244.5,7,True
1.7,180.0,127.5,229.5,7,True
1.8,192.0,123.5,271.0,7,True
1.9,186.85714285714286,160.0,223.0,7,True
2.0,159.42857142857142,103.0,198.0,7,True
2.1,192.0,168.0,216.5,7,True
2.2,192.0,159.5,228.5,7,True
2.3,193.71428571428572,171.5,222.0,7,True
2.4,197.14285714285714,176.5,223.5,7,True
2.5,212.57142857142858,178.0,248.5,7,True
2.6,193.71428571428572,170.5,221.0,7,True
2.7,202.28571428571428,169.0,217.0,7,True
2.8,171.42857142857142,146.5,191.5,7,True
2.9,180.0,157.5,226.5,7,True
3.0,185.14285714285714,157.5,212.5,7,True
3.1,180.0,145.5,206.5,7,True
3.2,171.42857142857142,158.5,203.0,7,True
3.3,178.28571428571428,129.5,223.0,7,True
3.4,137.14285714285714,104.5,175.5,7,True
3.5,137.14285714285714,83.0,169.0,7,True
3.6,181.71428571428572,136.5,219.5,7,True
3.7,171.42857142857142,147.5,183.5,7,True
3.8,149.14285714285714,119.0,184.0,7,True
3.9,149.14285714285714,119.0,184.0,7,True
4.0,162.85714285714286,156.0,184.0,7,True
4.1,204.0,161.0,250.5,7,True
4.2,202.28571428571428,125.0,272.5,7,True
4.3,180.0,103.5,271.0,7,True
4.4,154.28571428571428,90.0,212.0,7,True
