s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,661602.4641835941,3926229.375704039,7137.714,23.369242,0.058337282
0.1,661696.0692468787,3926263.53339342,7140.3877,15.287407,0.07275283
0.2,661780.5107060951,3926316.9358018604,6973.6743,20.407717,0.09991844
0.3,661857.220584737,3926381.009504432,6913.7075,18.47015,0.15066653
0.4,661929.0735222629,3926450.4981545145,6814.2305,23.242817,0.19020729
0.5,662011.6266248274,3926506.603776388,6713.999,23.739618,0.23598786
0.6,662101.9350024324,3926549.137662618,6627.229,36.058044,0.24498165
0.7,662196.9523706597,3926579.929945176,6569.1714,33.712364,0.29801118
0.8,662294.6169306932,3926601.079001365,6524.8574,32.376938,0.3585419
0.9,662393.6588682667,3926614.5209085224,6432.8535,33.160954,0.3758576
1.0,662493.3459401912,3926621.8674393403,6334.1655,36.27254,0.38931316
1.1,662593.27772393,3926624.3932833434,6263.739,37.987885,0.5073359
1.2,662693.1305413482,3926621.5156949232,6135.273,42.180027,0.5701665
1.3,662792.5163381211,3926610.7212235816,6104.6616,54.408733,0.5902277
1.4,662890.3713166197,3926590.1201754757,6071.795,72.736206,0.56009555
1.5,662985.9216406764,3926560.8751472044,6026.8896,89.7073,0.59055084
1.6,663078.695160438,3926523.8950139266,6016.881,107.25879,0.64376605
1.7,663168.2685489497,3926479.7107149432,6002.5034,110.14969,0.7058268
1.8,663254.3904581104,3926428.993468852,5993.4736,123.10021,0.66898465
1.9,663336.0872444371,3926371.3251490924,5982.911,142.47194,0.6265455
2.0,663413.2288504941,3926307.777092589,5970.1265,150.97774,0.6160637
2.1,663486.7982706432,3926240.1690669484,5957.2314,186.59393,0.66357315
2.2,663557.0893064624,3926169.0717360904,5952.5796,207.33644,0.71073925
2.3,663621.7870512818,3926092.820822553,5947.693,217.33269,0.72120726
2.4,663681.4422581777,3926012.6633277754,5947.076,236.13602,0.71863
2.5,663735.7534418126,3925928.829355105,5949.1274,251.20335,0.71974635
2.6,663783.9536207535,3925841.289258704,5947.8564,270.63284,0.77795386
2.7,663824.5674673583,3925749.908103842,5945.6265,278.2454,0.77557313
2.8,663856.1407064436,3925655.062772407,5942.169,310.23804,0.809747
2.9,663879.7096720356,3925557.99909885,5937.4023,318.39908,0.8036136
3.0,663895.1438710942,3925459.337569081,5930.7754,287.25723,0.7175295
3.1,663902.5740542465,3925359.7176072863,5923.689,272.21887,0.6743115
3.2,663902.4597032513,3925259.720614442,5915.5957,274.21103,0.6158132
3.3,663897.2038199408,3925159.858831509,5906.523,276.20352,0.58190894
3.4,663887.1293800448,3925060.3912155274,5897.6978,260.0021,0.5474437
3.5,663871.6470893562,3924961.6404822995,5888.8384,236.66455,0.49158502
3.6,663849.9938502935,3924864.0724675306,5879.875,225.69684,0.4339197
3.7,663821.3851092941,3924768.326448487,5859.256,204.8769,0.4288353
3.8,663785.0792070464,3924675.238639879,5842.873,168.73418,0.4310149
3.9,663740.4690250313,3924585.8410862302,5839.2954,125.1873,0.43058276
4.0,663687.1912430073,3924501.3190664854,5819.479,110.97464,0.4357581
4.1,663634.8280517483,3924416.14127921,5794.205,82.238205,0.43989736
4.2,663587.4272724685,3924328.1086952854,5759.5396,68.42809,0.43749675
4.3,663545.477717024,3924237.3620740087,5717.988,56.6709,0.42868426
4.4,663509.3172733532,3924144.1682549375,5682.84,51.41906,0.41181034
4.5,663479.473580597,3924048.763087974,5643.346,47.627995,0.40116405
4.6,663457.0663958557,3923951.347332999,5597.8755,49.890938,0.38093597
4.7,663437.9185245028,3923853.27116437,5562.721,65.88907,0.3610988
4.8,663409.43881672,3923757.487570765,5533.434,92.079544,0.33115855
4.9,663372.4618561747,3923664.624007971,5498.773,128.7731,0.33905357
5.0,663327.1784157334,3923575.5007601785,5475.919,161.35216,0.37648207
5.1,663275.4513855429,3923489.9592802892,5465.831,186.06625,0.38589922
5.2,663218.3404888405,3923407.9151961356,5453.1416,230.49869,0.38978398
5.3,663156.6337525453,3923329.264921302,5439.0894,252.9672,0.35276318
5.4,663092.2595061021,3923252.7424392747,5426.891,266.43942,0.30726895
5.5,663027.057442125,3923176.924179405,5415.8677,270.79654,0.2806877
5.6,662961.0044242092,3923101.846199553,5409.9033,272.84885,0.3116319
5.7,662894.0770797404,3923027.5466113877,5405.2627,280.7438,0.40149298
5.8,662826.2518674387,3922954.0656825257,5399.512,285.83948,0.45482472
5.9,662757.5051556234,3922881.4459397886,5397.6357,288.90216,0.5022537
6.0,662687.813312225,3922809.7322727726,5389.3496,286.7273,0.5167804
6.1,662616.9545278219,3922739.1802244936,5391.274,284.41354,0.4998858
6.2,662542.4231391719,3922672.529483935,5398.5005,293.14648,0.5025871
6.3,662464.7321456259,3922609.5942911203,5397.7456,293.88223,0.5008756
6.4,662384.2994224754,3922550.2031536554,5394.9033,293.87775,0.5157005
6.5,662301.4961020646,3922494.1618592273,5387.381,290.21338,0.53814507
6.6,662216.6474961969,3922441.2639217293,5381.7197,288.1674,0.5888024
6.7,662130.0358124456,3922391.2988246656,5372.4478,293.78812,0.61446196
6.8,662041.9039109673,3922344.058211704,5369.082,312.842,0.55645555
6.9,661952.4600932066,3922299.3391051446,5354.9863,317.4173,0.54863393
7.0,661862.1466927476,3922256.4032262377,5350.566,304.9517,0.5253885
7.1,661770.9464723009,3922215.387815576,5332.4937,296.5862,0.5230346
7.2,661678.713142701,3922176.754471212,5320.8906,296.08792,0.55507606
7.3,661585.2065576591,3922141.327009018,5316.68,289.1933,0.57188565
7.4,661490.3252813037,3922109.795830709,5307.0264,281.73895,0.581783
