distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
21.9,84.0,84.0,84.0,84,84,1,True
23.0,84.0,84.0,84.0,84,84,1,True
23.2,100.8,89.0,103.0,60,153,5,True
23.3,94.33333333333333,91.25,102.0,72,105,6,True
23.4,75.42857142857143,66.0,81.5,60,103,7,True
23.5,78.85714285714286,68.5,81.5,63,117,7,True
23.6,84.0,68.5,81.5,63,153,7,True
23.7,98.5,72.5,124.5,67,154,6,True
23.8,98.33333333333333,68.75,121.5,60,161,6,True
23.9,88.33333333333333,72.5,100.5,67,117,6,True
24.0,88.33333333333333,75.75,100.5,72,103,6,True
24.1,102.33333333333333,85.5,106.75,74,149,6,True
24.2,95.25,80.5,104.75,79,122,4,True
24.3,102.0,95.25,107.75,81,127,6,True
24.4,100.0,95.0,100.5,81,127,6,True
24.5,110.0,95.0,129.5,69,159,6,True
24.6,108.0,96.0,117.5,69,159,7,True
24.7,104.0,88.75,119.75,69,149,6,True
24.8,113.14285714285714,90.0,141.5,69,161,7,True
24.9,106.28571428571429,80.5,127.0,69,161,7,True
25.0,92.6,70.0,110.0,67,117,5,True
25.1,104.6,99.0,110.0,70,139,5,True
25.2,92.6,82.0,99.0,79,105,5,True
25.3,92.6,82.0,99.0,79,105,5,True
25.4,83.0,75.0,86.0,70,105,5,True
25.5,92.6,75.0,93.0,70,146,5,True
25.6,99.0,70.0,99.0,67,161,5,True
25.7,78.66666666666667,68.5,84.5,67,99,3,True
25.8,108.5,78.25,137.25,67,153,4,True
25.9,100.33333333333333,84.5,119.0,63,132,3,True
26.0,98.5,85.5,112.5,63,132,4,True
26.1,85.25,66.0,105.25,63,106,4,True
26.19,78.33333333333333,65.0,86.0,63,105,3,True
