distance_km,year,peak_date,peak_doy,peak_val
21.4,2018,2018-07-18,199,2.5572082449798472e-05
21.6,2018,2018-09-28,271,0.21156452596187592
21.7,2018,2018-04-13,103,2.1183890567044728e-05
21.8,2018,2018-04-13,103,2.050767398031894e-05
21.9,2018,2018-03-20,79,2.1488509446498938e-05
22.0,2018,2018-03-20,79,2.4061353542492725e-05
22.1,2018,2018-05-07,127,2.5652478143456392e-05
22.3,2018,2018-05-07,127,3.205020766472444e-05
22.4,2018,2018-05-07,127,2.8976111934753135e-05
22.5,2018,2018-05-07,127,2.432843393762596e-05
22.7,2018,2018-05-07,127,2.350772774661891e-05
22.8,2018,2018-05-07,127,2.5048151655937545e-05
22.9,2018,2018-05-07,127,2.0713383491965942e-05
23.0,2018,2018-09-28,271,0.04696540907025337
23.1,2018,2018-03-20,79,3.0046359825064428e-05
23.2,2018,2018-05-07,127,0.30203261971473694
23.3,2018,2018-04-13,103,0.3253496289253235
23.4,2018,2018-07-30,211,0.36711621284484863
23.5,2018,2018-03-20,79,0.35637983679771423
23.6,2018,2018-05-19,139,0.31788837909698486
23.7,2018,2018-05-19,139,0.32397642731666565
23.8,2018,2018-05-19,139,0.302653044462204
23.9,2018,2018-05-19,139,0.2849195599555969
24.0,2018,2018-04-13,103,0.2434036135673523
24.1,2018,2018-06-24,175,0.2537012994289398
24.2,2018,2018-06-24,175,0.2454851120710373
24.3,2018,2018-09-28,271,0.21584273874759674
24.4,2018,2018-09-28,271,0.2626650333404541
24.5,2018,2018-09-28,271,0.24504360556602478
24.6,2018,2018-09-28,271,0.25412991642951965
24.7,2018,2018-05-19,139,0.2201957106590271
24.8,2018,2018-05-31,151,0.23660258948802948
24.9,2018,2018-05-31,151,0.22856613993644714
25.0,2018,2018-05-19,139,0.19815482199192047
25.1,2018,2018-05-31,151,0.22257386147975922
25.2,2018,2018-05-31,151,0.21900887787342072
25.3,2018,2018-09-16,259,0.2152065634727478
25.4,2018,2018-08-11,223,0.18582552671432495
25.5,2018,2018-08-11,223,0.1721135377883911
25.6,2018,2018-05-31,151,0.14538352191448212
25.7,2018,2018-05-31,151,0.13448090851306915
25.8,2018,2018-03-20,79,0.08397053182125092
25.9,2018,2018-08-11,223,0.11120978742837906
26.0,2018,2018-08-11,223,0.07870887219905853
26.1,2018,2018-08-11,223,0.06439558416604996
26.19,2018,2018-08-11,223,0.057503592222929
21.6,2019,2019-05-14,134,3.3431457268306985e-05
21.7,2019,2019-05-14,134,2.8740601919707842e-05
21.9,2019,2019-07-25,206,3.3601329050725326e-05
22.0,2019,2019-05-02,122,3.276113420724869e-05
22.3,2019,2019-05-14,134,4.2111172660952434e-05
22.4,2019,2019-05-14,134,4.2936979298247024e-05
22.7,2019,2019-05-14,134,3.454237958067097e-05
22.8,2019,2019-05-14,134,3.0345114282681607e-05
23.0,2019,2019-04-20,110,3.3389951568096876e-05
