distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
20.9,168.0,168.0,168.0,1,True
21.1,132.0,132.0,132.0,1,True
21.2,168.0,168.0,168.0,1,True
21.3,182.5,175.25,189.75,2,True
21.4,163.2,149.0,183.0,5,True
21.5,164.5,148.25,180.75,2,True
21.6,178.28571428571428,133.0,216.5,7,True
21.7,169.71428571428572,118.5,216.5,7,True
21.8,165.66666666666666,134.5,175.5,6,True
21.9,138.85714285714286,97.0,169.0,7,True
22.0,152.57142857142858,112.5,180.5,7,True
22.1,172.8,127.0,183.0,5,True
22.2,158.5,153.75,163.25,2,True
22.3,159.42857142857142,115.5,186.0,7,True
22.4,173.14285714285714,129.5,210.5,7,True
22.5,171.66666666666666,137.25,193.5,6,True
22.6,156.66666666666666,151.0,160.5,3,True
22.7,161.14285714285714,120.0,186.0,7,True
22.8,169.71428571428572,122.0,210.5,7,True
22.9,167.66666666666666,130.75,175.5,6,True
23.0,169.71428571428572,115.0,216.5,7,True
23.1,162.85714285714286,113.5,216.5,7,True
23.2,150.85714285714286,132.0,166.5,7,True
23.3,138.85714285714286,113.5,164.5,7,True
23.4,157.71428571428572,126.0,194.5,7,True
23.5,137.14285714285714,102.0,181.5,7,True
23.6,166.28571428571428,140.5,193.5,7,True
23.7,174.85714285714286,153.5,193.5,7,True
23.8,164.57142857142858,150.0,180.0,7,True
23.9,161.14285714285714,140.0,180.0,7,True
24.0,114.85714285714286,106.5,129.5,7,True
24.1,144.0,126.0,167.0,7,True
24.2,178.28571428571428,162.0,195.5,7,True
24.3,159.42857142857142,114.0,178.5,7,True
24.4,173.14285714285714,138.0,194.5,7,True
24.5,168.0,121.5,187.5,7,True
24.6,164.57142857142858,127.0,190.0,7,True
24.7,150.85714285714286,128.0,169.0,7,True
24.8,154.28571428571428,145.5,161.5,7,True
24.9,161.14285714285714,138.0,167.0,7,True
25.0,192.0,158.0,229.0,7,True
25.1,166.28571428571428,134.5,193.0,7,True
25.2,180.0,159.5,193.0,7,True
25.3,174.85714285714286,150.5,193.0,7,True
25.4,190.28571428571428,156.0,215.0,7,True
25.5,174.85714285714286,163.0,196.0,7,True
25.6,193.71428571428572,164.5,241.5,7,True
25.7,178.28571428571428,140.5,215.0,7,True
25.8,173.14285714285714,141.5,208.0,7,True
25.9,176.57142857142858,138.5,218.0,7,True
26.0,214.28571428571428,177.5,256.0,7,True
26.1,229.71428571428572,206.0,253.5,7,True
26.19,238.28571428571428,224.5,269.5,7,True
