s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,692898.8269661732,3936769.6647582427,6935.5254,0.0,
0.1,692813.1340808306,3936809.782843846,6919.8184,21.73176,
0.2,692746.8727049292,3936884.626103837,6833.224,23.978266,
0.3,692685.0955532345,3936963.253557716,6755.466,31.261673,
0.4,692625.2540620258,3937043.3674873966,6662.417,37.307064,
0.5,692566.6925170039,3937124.4237284036,6616.5996,41.12296,
0.6,692509.5767874821,3937206.499332628,6575.413,44.569454,
0.7,692454.5750155334,3937290.0034549157,6538.5674,46.489765,
0.8,692402.2832717624,3937375.2272565705,6505.0396,46.756542,
0.9,692353.5326160411,3937462.523228076,6481.712,45.625946,
1.0,692310.7214745498,3937552.856737021,6479.3853,42.90625,
1.1,692275.8783679389,3937646.5184121025,6453.735,39.957985,
1.2,692256.2637348325,3937744.4633500003,6401.5215,37.36933,
1.3,692245.1758828656,3937843.8237436335,6317.4595,36.91611,
1.4,692237.9034695566,3937943.551773583,6270.653,38.411625,
1.5,692232.6488933994,3938043.4082943583,6267.6465,39.081852,
1.6,692228.587124953,3938143.3230776205,6248.223,39.03162,
1.7,692225.6472197924,3938243.279853067,6178.063,39.59879,
1.8,692223.5643355269,3938343.256619133,6144.3647,38.01024,
1.9,692221.8404538012,3938443.241759188,6139.635,41.525112,
2.0,692220.9681448103,3938543.237515425,6102.8716,39.96439,
2.1,692220.1989367988,3938643.2345569762,6083.976,41.45464,
2.2,692220.0917814043,3938743.2341448464,6044.4395,42.573902,
2.3,692220.0917814041,3938843.2341448464,5878.907,44.43811,
2.4,692210.4433984121,3938942.4671519413,5936.7007,49.79795,
2.5,692194.6443483018,3939041.211215133,5900.8296,51.860966,
2.6,692175.6180222976,3939139.20447534,5875.9966,58.552063,
2.7,692146.2094374137,3939234.782376212,5890.2705,52.859024,
2.8,692116.8008525298,3939330.360277084,5941.1797,58.225094,
2.9,692079.695847053,3939423.0556105324,5923.289,61.69478,
3.0,692039.0820004474,3939514.436765394,5941.1514,62.492813,
3.1,691998.4681538419,3939605.8179202564,5895.313,65.06893,
3.2,691949.6024657034,3939693.0210607178,5910.683,68.85266,
3.3,691899.9885718678,3939779.8453749306,5868.113,70.16889,
3.4,691850.3746780322,3939866.669689143,5844.272,75.71581,
3.5,691794.3637168792,3939949.470451804,5865.5864,80.76029,
3.6,691737.590421299,3940031.791730395,5869.3037,80.64852,
3.7,691680.8171257187,3940114.1130089867,5869.3037,84.30156,
3.8,691620.6778788429,3940193.9321364444,5822.9175,88.49639,
3.9,691558.2083740873,3940272.0190173886,5714.9175,91.217026,
4.0,691495.7388693318,3940350.105898333,5708.0615,101.971886,
4.1,691433.2693645763,3940428.1927792775,5684.2354,100.19406,
4.2,691366.2901898469,3940502.4450917523,5680.127,94.55107,
4.3,691299.26156405,3940576.655356027,5725.8794,91.7595,
4.4,691232.2329382531,3940650.8656203025,5803.09,89.29454,
4.5,691164.9358313979,3940724.8207082483,5772.2744,83.7346,
4.6,691094.2251532793,3940795.531386367,5646.137,86.77842,
4.7,691023.5144751606,3940866.242064486,5582.8687,92.31882,
4.8,690952.8037970421,3940936.9527426045,5535.021,99.20544,
4.9,690882.0931189235,3941007.6634207233,5552.6387,118.069695,
5.0,690813.272085943,3941080.204790906,5514.2227,123.40948,
5.1,690744.8373333886,3941153.1203903537,5506.7676,136.61514,
5.2,690676.4025808342,3941226.035989802,5489.291,142.44429,
5.3,690607.9678282798,3941298.9515892495,5472.465,155.66571,
5.4,690542.4241583946,3941374.4760458786,5475.215,164.9594,
5.5,690476.896462698,3941450.014917307,5477.5654,174.63947,
5.6,690411.3687670014,3941525.5537887355,5479.457,170.37216,
5.7,690347.9799571862,3941602.8573341216,5462.8745,173.40404,
5.8,690286.265963668,3941681.542675857,5447.2124,176.59494,
5.9,690224.5519701499,3941760.2280175923,5423.623,197.74849,
6.0,690165.5353710449,3941840.8928566836,5424.2886,218.60864,
6.1,690108.9825354897,3941923.365741868,5420.3867,228.81175,
6.2,690052.4296999344,3942005.8386270525,5410.907,240.52898,
6.3,690002.1724867661,3942092.2446251735,5410.1274,239.1555,
6.4,689952.8539476212,3942179.237048387,5409.713,229.12329,
6.5,689909.7291234535,3942269.276070875,5406.488,208.59344,
6.6,689870.923423448,3942361.439608389,5414.324,189.79599,
6.7,689842.4155160693,3942456.9690415277,5405.7295,181.53596,
6.8,689820.0917814045,3942554.3531363714,5394.0713,176.07994,
6.9,689820.0917814043,3942654.3531363714,5380.1973,182.87268,
7.0,689818.5222648314,3942754.3344542976,5365.8413,204.30559,
7.1,689815.2363839995,3942854.27270633,5342.9463,228.26573,
7.2,689809.9694990576,3942954.1303346287,5334.7617,256.7233,
7.3,689802.0992505155,3943053.820149494,5328.709,282.90042,
7.4,689791.3614728674,3943153.2375350753,5323.597,290.39902,
7.5,689777.6120862373,3943252.2766853836,5322.5205,292.7212,
7.6,689760.3551976258,3943350.7598717296,5318.6016,288.7304,
7.7,689739.0042962165,3943448.4325519055,5315.9297,286.08936,
7.8,689712.8724137711,3943544.932544959,5313.8096,292.79944,
7.9,689684.2465083511,3943640.7459752294,5305.7007,289.93546,
8.0,689653.6450609784,3943735.945749494,5300.7524,290.48425,
8.1,689620.7433221146,3943830.373021288,5294.5063,285.02817,
8.2,689585.2279961915,3943923.84695785,5279.9204,279.75656,
8.3,689545.8153812619,3944015.7381335543,5271.0747,278.594,
8.4,689501.4582943778,3944105.317656762,5256.489,274.10187,
8.5,689449.2237617071,3944190.551697775,5243.524,274.56635,
8.6,689390.7684695425,3944271.6518734917,5242.277,278.25082,
8.7,689327.9307200563,3944349.4215088827,5233.6084,282.81427,
8.8,689261.8501474699,3944424.4642314636,5226.764,301.36737,
8.9,689192.8855069773,3944496.8710326715,5221.487,308.27246,
