distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,90.75,69.75,98.0,63,146,4,True
0.1,78.75,68.0,89.25,62,96,4,True
0.2,66.0,64.0,68.0,62,70,2,True
0.3,93.0,93.0,93.0,93,93,1,True
0.7,105.0,105.0,105.0,105,105,1,True
0.8,69.5,69.25,69.75,69,70,2,True
0.9,69.5,69.25,69.75,69,70,2,True
1.0,69.0,69.0,69.0,69,69,1,True
1.1,69.0,69.0,69.0,69,69,1,True
1.2,91.0,76.5,105.5,62,120,2,True
1.3,66.0,64.0,68.0,62,70,2,True
1.4,76.5,72.75,80.25,69,84,2,True
1.5,91.0,87.5,94.5,84,98,2,True
1.6,72.0,72.0,72.0,72,72,1,True
1.8,72.0,72.0,72.0,72,72,1,True
1.9,72.0,72.0,72.0,72,72,1,True
2.0,79.5,69.75,89.25,60,99,2,True
2.1,68.33333333333333,65.0,72.5,60,75,3,True
2.2,72.0,71.0,73.0,70,74,3,True
2.3,86.5,65.25,89.75,60,149,4,True
2.4,78.75,65.25,91.5,60,99,4,True
2.5,68.5,61.5,69.5,60,89,4,True
2.6,88.5,70.5,95.75,67,135,6,True
2.7,86.33333333333333,80.5,93.5,72,98,3,True
2.8,85.4,81.0,89.0,72,98,5,True
2.9,83.0,81.0,87.0,72,89,5,True
3.0,76.0,70.5,83.0,60,89,4,True
3.1,90.2,69.0,99.0,60,149,5,True
3.2,104.57142857142857,77.0,133.0,60,154,7,True
3.3,92.33333333333333,68.75,109.5,60,149,6,True
3.4,108.0,89.75,129.0,82,139,6,True
3.5,93.5,87.25,99.75,82,105,4,True
3.6,109.25,85.25,133.5,74,144,4,True
3.7,77.66666666666667,72.0,81.5,70,89,3,True
3.8,90.4,74.0,89.0,60,142,5,True
3.9,75.75,67.5,80.75,60,98,4,True
4.0,114.5,92.25,136.75,70,159,2,True
4.1,114.5,92.25,136.75,70,159,2,True
4.2,103.66666666666667,82.5,121.75,60,149,6,True
4.3,87.4,70.0,105.0,60,127,5,True
4.4,96.6,75.0,105.0,70,149,5,True
4.5,95.5,81.75,108.25,75,118,4,True
4.6,95.5,81.75,108.25,75,118,4,True
4.7,87.16666666666667,76.5,100.75,63,105,6,True
