distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-05-19,139,0.18777509033679962
0.1,2018,2018-03-08,67,0.21860072016716003
0.2,2018,2018-05-19,139,0.1416381597518921
0.3,2018,2018-05-19,139,0.14285613596439362
0.4,2018,2018-08-11,223,0.16196534037590027
0.5,2018,2018-08-23,235,0.22808867692947388
0.6,2018,2018-08-23,235,0.18435928225517273
0.7,2018,2018-08-23,235,0.20913344621658325
0.8,2018,2018-08-23,235,0.2103193700313568
0.9,2018,2018-03-08,67,0.20142193138599396
1.0,2018,2018-03-08,67,0.1790204495191574
1.1,2018,2018-09-28,271,0.16355226933956146
1.2,2018,2018-03-20,79,0.21598975360393524
1.3,2018,2018-03-20,79,0.2109076827764511
1.4,2018,2018-04-13,103,0.2421480417251587
1.5,2018,2018-09-16,259,0.21886159479618073
1.6,2018,2018-08-23,235,0.34984707832336426
1.7,2018,2018-08-23,235,0.3824370801448822
1.8,2018,2018-09-28,271,0.31149056553840637
1.9,2018,2018-09-28,271,0.34196987748146057
2.0,2018,2018-09-28,271,0.2392287701368332
2.1,2018,2018-09-04,247,0.48850610852241516
2.2,2018,2018-09-28,271,0.19803404808044434
2.3,2018,2018-06-24,175,0.5746334791183472
2.4,2018,2018-04-13,103,0.8579029440879822
2.5,2018,2018-07-18,199,0.8026094436645508
2.6,2018,2018-09-16,259,0.7671119570732117
2.7,2018,2018-09-16,259,1.1486213207244873
2.8,2018,2018-05-31,151,0.49729520082473755
2.9,2018,2018-05-31,151,0.5575673580169678
3.0,2018,2018-05-31,151,0.6453273296356201
3.1,2018,2018-05-07,127,0.779534637928009
3.2,2018,2018-04-13,103,1.0816820859909058
3.3,2018,2018-06-24,175,1.2245818376541138
3.4,2018,2018-04-13,103,1.705288052558899
3.5,2018,2018-04-13,103,0.38665416836738586
3.6,2018,2018-09-04,247,0.3555643558502197
3.7,2018,2018-09-16,259,0.3091224730014801
3.8,2018,2018-09-16,259,0.3239802420139313
3.9,2018,2018-09-16,259,0.27953603863716125
4.0,2018,2018-07-30,211,0.3110741972923279
4.1,2018,2018-07-30,211,0.2968013286590576
4.2,2018,2018-05-19,139,0.31634247303009033
4.3,2018,2018-05-07,127,0.3848472237586975
4.4,2018,2018-10-10,283,0.3586815297603607
4.5,2018,2018-05-19,139,0.3048805296421051
4.6,2018,2018-10-10,283,0.21586599946022034
4.7,2018,2018-05-19,139,0.22842547297477722
4.8,2018,2018-04-13,103,0.31870919466018677
4.9,2018,2018-04-13,103,0.2694280743598938
5.0,2018,2018-04-13,103,0.25971224904060364
5.1,2018,2018-05-19,139,0.197787806391716
5.2,2018,2018-05-31,151,0.2338762730360031
5.3,2018,2018-09-04,247,0.19548054039478302
5.4,2018,2018-05-31,151,0.2447151392698288
5.5,2018,2018-05-31,151,0.2986231744289398
5.6,2018,2018-05-07,127,0.19357900321483612
5.7,2018,2018-05-31,151,0.33334535360336304
5.8,2018,2018-05-31,151,0.22905918955802917
5.9,2018,2018-05-31,151,0.25467443466186523
6.0,2018,2018-03-08,67,0.273936927318573
6.1,2018,2018-03-08,67,0.39074549078941345
6.2,2018,2018-05-07,127,0.2662152349948883
6.3,2018,2018-05-07,127,0.24197927117347717
6.4,2018,2018-03-20,79,0.41429245471954346
6.5,2018,2018-03-20,79,0.6419247388839722
6.6,2018,2018-03-20,79,0.6009606719017029
6.7,2018,2018-03-08,67,0.2455032765865326
6.8,2018,2018-05-19,139,0.2499140202999115
6.9,2018,2018-07-18,199,0.20482546091079712
7.0,2018,2018-05-07,127,0.21537087857723236
7.1,2018,2018-05-07,127,0.23583999276161194
7.2,2018,2018-05-07,127,0.24634051322937012
7.3,2018,2018-04-13,103,0.3032516837120056
7.4,2018,2018-05-07,127,0.29813021421432495
7.5,2018,2018-04-13,103,0.25230151414871216
7.6,2018,2018-04-13,103,0.195212259888649
7.7,2018,2018-03-20,79,0.21924979984760284
7.8,2018,2018-05-19,139,0.23829571902751923
7.9,2018,2018-03-20,79,0.1885930895805359
8.0,2018,2018-03-20,79,0.18859682977199554
8.1,2018,2018-03-20,79,0.23055273294448853
8.2,2018,2018-10-10,283,0.19510488212108612
8.3,2018,2018-09-04,247,0.16025744378566742
8.4,2018,2018-09-04,247,0.16387568414211273
8.5,2018,2018-09-04,247,0.13938221335411072
8.6,2018,2018-03-20,79,0.1508808135986328
8.7,2018,2018-09-04,247,0.12865684926509857
8.8,2018,2018-09-28,271,0.12604081630706787
8.9,2018,2018-09-28,271,0.12249238789081573
9.0,2018,2018-05-19,139,0.13846467435359955
9.1,2018,2018-05-19,139,0.1526736617088318
9.2,2018,2018-05-19,139,0.15620386600494385
9.3,2018,2018-05-19,139,0.18178455531597137
9.4,2018,2018-05-19,139,0.1829707771539688
9.5,2018,2018-09-16,259,0.18194645643234253
9.6,2018,2018-09-16,259,0.18429279327392578
9.7,2018,2018-09-16,259,0.17114268243312836
9.8,2018,2018-05-19,139,0.1644546538591385
9.9,2018,2018-05-19,139,0.1624259352684021
10.0,2018,2018-05-19,139,0.15091757476329803
10.1,2018,2018-09-04,247,0.13738249242305756
10.2,2018,2018-03-20,79,0.1514241248369217
10.3,2018,2018-03-20,79,0.17073996365070343
10.4,2018,2018-03-20,79,0.16631251573562622
10.5,2018,2018-03-20,79,0.15918324887752533
10.6,2018,2018-03-20,79,0.1662658154964447
10.7,2018,2018-03-20,79,0.17645098268985748
10.8,2018,2018-03-20,79,0.1572558730840683
10.9,2018,2018-03-20,79,0.16975772380828857
11.0,2018,2018-03-20,79,0.16255563497543335
11.1,2018,2018-03-08,67,0.13839852809906006
11.2,2018,2018-03-08,67,0.1382647454738617
11.3,2018,2018-03-08,67,0.15577518939971924
11.4,2018,2018-03-08,67,0.15214112401008606
11.5,2018,2018-03-08,67,0.1403760015964508
11.6,2018,2018-03-08,67,0.12645651400089264
11.7,2018,2018-03-08,67,0.12528088688850403
11.8,2018,2018-03-08,67,0.128652885556221
11.9,2018,2018-09-04,247,0.11167695373296738
12.0,2018,2018-10-22,295,0.10543178021907806
12.1,2018,2018-03-20,79,0.12062773108482361
12.2,2018,2018-03-20,79,0.1324698030948639
12.3,2018,2018-03-20,79,0.12282209098339081
