distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,159.42857142857142,97.5,205.0,7,True
0.1,120.0,73.0,127.5,7,True
0.2,157.71428571428572,103.5,206.5,7,True
0.3,197.14285714285714,122.0,276.5,7,True
0.4,186.85714285714286,108.0,248.5,7,True
0.5,133.71428571428572,81.5,168.0,7,True
0.6,192.0,92.5,278.5,7,True
0.7,183.42857142857142,83.0,268.0,7,True
0.8,159.42857142857142,90.5,219.5,7,True
0.9,181.71428571428572,90.5,267.5,7,True
1.0,128.57142857142858,81.5,148.0,7,True
1.1,157.71428571428572,75.5,264.0,7,True
1.2,135.42857142857142,76.5,185.0,7,True
1.3,157.71428571428572,80.0,253.5,7,True
1.4,128.57142857142858,75.5,150.0,7,True
1.5,132.0,67.5,177.5,7,True
1.6,120.0,77.0,149.5,7,True
1.7,142.28571428571428,67.5,218.0,7,True
1.8,192.0,119.5,272.5,7,True
1.9,164.57142857142858,96.0,234.0,7,True
2.0,156.0,107.5,206.5,7,True
2.1,111.42857142857143,77.0,111.5,7,True
2.2,144.0,77.0,210.0,7,True
2.3,149.14285714285714,109.0,170.0,7,True
2.4,149.14285714285714,107.0,195.5,7,True
2.5,176.57142857142858,121.5,230.0,7,True
2.6,171.42857142857142,114.5,221.5,7,True
2.7,161.14285714285714,111.5,196.0,7,True
2.8,150.85714285714286,98.5,194.5,7,True
2.9,171.42857142857142,133.0,212.0,7,True
3.0,162.85714285714286,125.0,182.5,7,True
3.1,128.57142857142858,104.5,136.5,7,True
3.2,118.28571428571429,95.0,143.0,7,True
3.3,123.42857142857143,90.0,157.5,7,True
3.4,114.85714285714286,105.5,129.5,7,True
3.5,138.85714285714286,105.5,170.5,7,True
3.6,166.28571428571428,105.5,215.0,7,True
3.7,157.71428571428572,96.0,204.0,7,True
3.8,171.42857142857142,117.5,218.0,7,True
3.9,157.71428571428572,84.0,220.0,7,True
4.0,171.42857142857142,137.0,204.0,7,True
4.1,193.71428571428572,157.0,236.0,7,True
4.2,168.0,129.5,201.5,7,True
4.3,145.71428571428572,106.5,163.5,7,True
4.4,132.0,90.0,138.0,7,True
4.5,147.42857142857142,119.0,162.0,7,True
4.6,176.57142857142858,144.5,217.0,7,True
4.7,135.42857142857142,123.5,149.0,7,True
4.8,135.42857142857142,104.5,160.0,7,True
4.9,144.0,104.5,181.5,7,True
5.0,145.71428571428572,120.0,163.5,7,True
5.1,135.42857142857142,91.0,174.0,7,True
5.2,147.42857142857142,120.0,179.5,7,True
5.3,207.42857142857142,162.0,260.5,7,True
5.4,149.14285714285714,79.5,210.0,7,True
5.5,147.42857142857142,97.0,190.0,7,True
5.6,168.0,111.5,223.0,7,True
5.7,132.0,106.5,155.0,7,True
5.8,130.28571428571428,102.5,158.0,7,True
5.9,130.28571428571428,102.5,158.0,7,True
6.0,109.71428571428571,86.5,122.5,7,True
6.1,99.42857142857143,70.5,119.0,7,True
6.2,176.57142857142858,122.5,238.5,7,True
6.3,125.14285714285714,97.0,151.0,7,True
6.4,113.14285714285714,96.0,121.0,7,True
6.5,101.14285714285714,80.0,113.0,7,True
6.6,121.71428571428571,90.0,144.0,7,True
6.7,99.42857142857143,72.0,100.5,7,True
6.8,140.57142857142858,97.5,145.5,7,True
6.9,113.14285714285714,88.5,120.0,7,True
7.0,157.71428571428572,108.5,205.0,7,True
7.1,144.0,108.5,140.5,7,True
7.2,147.42857142857142,120.0,140.5,7,True
7.3,108.0,100.0,120.0,7,True
7.4,123.42857142857143,90.5,139.0,7,True
7.5,108.0,90.5,121.0,7,True
7.6,171.42857142857142,102.0,222.0,7,True
7.7,140.57142857142858,103.5,157.0,7,True
7.8,154.28571428571428,101.0,196.0,7,True
7.9,130.28571428571428,87.5,139.5,7,True
8.0,144.0,98.5,171.5,7,True
8.1,178.28571428571428,98.5,251.5,7,True
8.2,198.85714285714286,126.0,280.5,7,True
8.3,169.71428571428572,81.5,262.5,7,True
8.4,166.28571428571428,106.5,236.5,7,True
8.5,219.42857142857142,186.0,262.5,7,True
8.6,181.71428571428572,137.0,236.5,7,True
8.7,214.28571428571428,153.5,266.5,7,True
8.8,164.57142857142858,112.5,216.0,7,True
8.9,205.71428571428572,145.0,272.5,7,True
9.0,186.85714285714286,102.0,263.0,7,True
9.1,140.57142857142858,80.5,182.0,7,True
9.2,176.57142857142858,129.5,231.5,7,True
9.3,152.57142857142858,118.5,169.5,7,True
9.4,188.57142857142858,143.0,231.5,7,True
9.5,169.71428571428572,96.0,255.5,7,True
