distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,78.66666666666667,74.5,83.0,70,87,3,True
0.1,77.8,63.0,70.0,60,127,5,True
0.2,80.0,62.25,84.25,60,127,4,True
0.3,65.8,63.0,69.0,60,70,5,True
0.4,75.4,63.0,69.0,60,118,5,True
0.5,85.0,63.0,69.0,60,166,5,True
0.6,88.25,68.5,103.75,67,118,4,True
0.7,99.0,68.0,115.0,67,161,3,True
0.8,121.66666666666667,102.0,133.0,99,161,3,True
0.9,82.33333333333333,77.0,90.0,67,93,3,True
1.0,86.33333333333333,77.0,96.0,67,105,3,True
1.1,74.0,70.5,77.5,67,81,2,True
1.2,88.75,66.0,108.75,63,120,4,True
1.3,88.75,66.0,108.75,63,120,4,True
1.4,91.2,67.0,105.0,65,120,5,True
1.5,111.4,105.0,127.0,70,135,5,True
1.6,75.5,61.5,78.5,60,113,4,True
1.7,72.0,62.0,70.0,60,101,5,True
1.8,71.25,65.25,74.0,60,89,4,True
1.9,75.0,66.0,81.0,63,93,4,True
2.0,77.5,69.75,85.25,62,93,2,True
2.1,103.0,71.5,120.0,69,166,3,True
2.2,85.8,70.0,89.0,69,127,5,True
2.3,80.0,64.5,84.25,62,127,6,True
2.4,84.0,66.0,86.5,62,151,7,True
2.5,89.66666666666667,67.5,87.75,63,166,6,True
2.6,81.75,73.5,88.75,63,103,4,True
2.7,83.33333333333333,73.5,93.5,63,103,3,True
2.8,97.0,83.0,114.0,63,125,3,True
2.9,127.33333333333333,114.0,146.5,89,154,3,True
3.0,89.25,79.5,99.25,75,103,4,True
3.1,91.16666666666667,76.5,93.5,67,142,6,True
3.2,106.5,74.25,144.75,67,166,6,True
3.3,100.0,81.25,120.25,67,130,4,True
3.4,75.0,72.0,77.5,70,81,3,True
3.5,82.0,68.75,87.0,63,118,6,True
3.6,83.0,74.0,81.0,67,118,5,True
3.7,98.33333333333333,74.0,114.0,67,147,3,True
3.8,82.33333333333333,77.0,90.0,67,93,3,True
3.9,89.25,72.25,100.5,67,123,4,True
4.0,78.75,73.0,84.75,70,87,4,True
4.1,75.16666666666667,67.75,83.25,62,87,6,True
4.2,71.16666666666667,63.25,78.25,60,87,6,True
4.3,81.0,81.0,86.0,67,87,5,True
4.4,96.33333333333333,79.5,107.0,75,130,3,True
4.5,108.6,84.0,130.0,75,149,5,True
4.6,100.4,75.0,105.0,70,151,5,True
4.7,101.0,71.25,117.25,63,166,4,True
4.8,102.0,91.5,113.5,63,139,4,True
4.9,122.0,130.0,139.0,63,144,5,True
5.0,102.25,77.25,117.5,63,161,4,True
5.1,109.25,66.0,153.25,63,154,4,True
5.2,110.0,93.0,122.5,63,166,4,True
5.3,100.5,79.0,106.75,63,161,6,True
5.4,99.66666666666667,81.25,106.75,63,153,6,True
5.5,107.66666666666667,81.25,140.25,63,153,6,True
5.6,90.5,66.5,104.5,62,139,6,True
5.7,94.5,65.25,126.25,62,139,6,True
5.8,85.71428571428571,62.5,97.5,60,151,7,True
5.9,85.16666666666667,69.25,91.5,63,139,6,True
6.0,102.85714285714286,69.5,142.5,63,161,7,True
6.1,78.75,73.75,81.0,70,93,4,True
6.2,90.0,87.25,98.25,70,99,4,True
6.3,100.83333333333333,87.5,103.5,70,149,6,True
6.4,102.0,100.5,103.5,99,105,2,True
6.5,84.0,73.5,94.5,63,105,2,True
6.6,111.5,91.5,120.5,87,158,4,True
6.7,119.16666666666667,103.5,136.5,87,142,6,True
6.8,124.0,107.0,148.5,75,158,3,True
6.9,82.25,73.0,87.25,67,106,4,True
7.0,97.25,73.0,102.25,67,166,4,True
7.1,71.33333333333333,69.5,72.5,69,75,3,True
7.2,85.25,69.75,88.0,69,127,4,True
7.3,87.0,72.75,100.75,69,106,4,True
7.4,83.33333333333333,75.5,90.5,69,99,3,True
7.5,85.25,78.25,94.5,67,99,4,True
7.6,88.0,68.5,100.5,63,127,3,True
7.7,95.0,73.75,112.75,70,127,4,True
7.8,74.0,69.25,77.25,67,84,4,True
7.9,93.8,70.0,103.0,63,149,5,True
8.0,89.5,68.25,93.25,63,151,4,True
8.1,98.0,73.5,118.0,63,142,4,True
8.2,105.16666666666667,72.0,134.0,60,165,6,True
8.3,100.8,74.0,118.0,60,165,5,True
8.4,94.83333333333333,67.5,113.0,60,149,6,True
8.5,72.83333333333333,64.75,79.25,60,89,6,True
8.6,73.66666666666667,63.5,78.25,60,103,6,True
8.7,72.6,65.0,81.0,60,87,5,True
8.8,111.4,87.0,130.0,81,134,5,True
8.9,94.6,81.0,110.0,75,125,5,True
9.0,87.0,81.75,89.75,81,98,4,True
9.1,113.0,104.5,120.0,99,130,3,True
9.2,105.0,98.5,108.5,98,118,3,True
9.3,80.5,77.25,83.75,74,87,2,True
9.4,99.5,69.5,130.5,62,135,4,True
9.5,84.0,79.5,90.0,72,93,3,True
9.6,67.5,65.25,69.75,63,72,2,True
9.7,131.5,123.0,155.0,75,158,4,True
9.8,98.66666666666667,83.0,116.5,63,130,3,True
9.9,94.66666666666667,71.0,108.5,67,142,3,True
10.0,63.0,63.0,63.0,63,63,1,True
10.1,110.0,87.75,135.25,63,151,4,True
10.2,111.4,84.0,130.0,63,151,5,True
10.3,110.5,78.75,138.25,63,166,4,True
10.4,124.8,98.0,159.0,72,166,5,True
10.5,119.5,89.75,154.75,62,166,4,True
10.6,107.5,62.75,145.75,62,166,4,True
10.7,105.75,80.75,128.5,62,154,4,True
10.8,110.5,83.25,135.25,72,154,4,True
10.9,101.8,75.0,129.0,72,139,5,True
11.0,66.5,64.75,68.25,63,70,2,True
11.1,114.5,94.75,134.25,75,154,2,True
11.2,101.5,80.25,106.75,69,166,4,True
11.3,78.33333333333333,75.5,83.0,69,84,3,True
11.4,80.0,78.0,83.0,74,84,3,True
11.5,72.75,62.75,82.5,62,84,4,True
11.6,91.2,74.0,81.0,60,166,5,True
11.7,91.2,82.0,105.0,60,110,5,True
11.8,96.0,77.25,114.75,63,129,4,True
11.9,79.75,62.75,81.0,62,129,4,True
12.0,103.33333333333333,100.0,105.5,99,110,3,True
12.1,120.66666666666667,104.5,131.5,99,153,3,True
12.2,91.75,80.75,97.5,65,129,4,True
12.3,93.66666666666667,76.0,108.0,65,129,3,True
12.4,88.25,79.25,94.5,65,117,4,True
12.5,88.25,79.25,94.5,65,117,4,True
12.6,79.25,77.0,84.75,65,87,4,True
12.7,79.25,77.0,84.75,65,87,4,True
12.8,91.25,77.0,98.25,65,132,4,True
12.9,67.0,66.0,68.0,65,69,2,True
13.0,99.5,84.75,114.25,70,129,2,True
13.1,111.0,96.0,131.5,70,141,3,True
13.2,111.5,96.75,126.25,82,141,2,True
13.3,102.0,77.25,126.75,63,141,4,True
13.4,95.33333333333333,72.5,111.5,63,141,3,True
13.5,90.5,76.75,104.25,63,118,2,True
13.6,114.5,88.75,140.25,63,166,2,True
13.7,79.25,68.25,85.5,63,105,4,True
13.8,102.33333333333333,86.0,114.0,79,135,3,True
13.9,132.5,115.75,149.25,99,166,2,True
14.0,115.25,91.75,143.5,70,151,4,True
14.1,110.5,82.75,138.25,70,151,4,True
14.2,102.0,84.75,101.75,75,161,6,True
14.3,112.0,82.5,148.25,63,166,6,True
14.4,107.0,67.0,146.0,63,166,5,True
14.5,86.0,65.5,90.25,63,146,6,True
14.6,108.0,79.0,129.5,65,166,3,True
14.7,118.25,91.5,136.75,87,166,4,True
14.8,100.25,67.5,118.75,63,166,4,True
14.9,78.0,70.5,85.5,63,93,2,True
15.0,106.25,66.0,138.25,63,166,4,True
15.1,71.0,69.0,73.0,67,75,2,True
15.2,114.0,101.5,128.0,86,139,3,True
15.3,74.0,74.0,74.0,74,74,1,True
15.4,74.0,74.0,74.0,74,74,1,True
15.5,92.25,72.75,94.0,69,151,4,True
15.6,69.0,69.0,69.0,69,69,1,True
15.7,91.75,72.75,93.5,69,149,4,True
15.8,111.33333333333333,95.0,123.5,87,144,3,True
15.9,116.5,107.75,125.25,99,134,2,True
16.0,63.0,63.0,63.0,63,63,1,True
16.1,93.0,93.0,93.0,93,93,1,True
16.2,81.0,81.0,81.0,81,81,1,True
16.3,75.0,75.0,75.0,75,75,1,True
16.4,92.5,89.25,95.75,86,99,2,True
16.5,93.0,93.0,93.0,93,93,1,True
16.6,104.33333333333333,96.5,119.0,75,120,3,True
16.7,95.0,82.5,107.5,70,120,2,True
16.8,92.33333333333333,78.5,103.5,70,120,3,True
16.82,92.33333333333333,78.5,103.5,70,120,3,True
