distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-03-20,79,0.16847792267799377
0.1,2018,2018-05-07,127,0.17662127315998077
0.2,2018,2018-05-07,127,0.21035194396972656
0.3,2018,2018-10-22,295,0.24201808869838715
0.4,2018,2018-10-22,295,0.2526116967201233
0.5,2018,2018-10-22,295,0.24670761823654175
0.6,2018,2018-03-20,79,0.21073079109191895
0.7,2018,2018-10-10,283,0.15238355100154877
0.8,2018,2018-10-22,295,0.1777268797159195
0.9,2018,2018-09-28,271,0.10638903081417084
1.0,2018,2018-05-07,127,0.17059291899204254
1.1,2018,2018-08-11,223,0.12376853078603745
1.2,2018,2018-03-20,79,0.12754447758197784
1.3,2018,2018-03-20,79,0.13001418113708496
1.4,2018,2018-09-28,271,0.1311252862215042
1.5,2018,2018-05-07,127,0.15706850588321686
1.6,2018,2018-05-07,127,0.1745058298110962
1.7,2018,2018-05-07,127,0.18865308165550232
1.8,2018,2018-03-08,67,0.2949557304382324
1.9,2018,2018-03-08,67,0.3118602931499481
2.0,2018,2018-05-07,127,0.21948538720607758
2.1,2018,2018-07-30,211,0.2266339808702469
2.2,2018,2018-07-30,211,0.28687620162963867
2.3,2018,2018-07-30,211,0.29615432024002075
2.4,2018,2018-06-24,175,0.4628642797470093
2.5,2018,2018-06-24,175,0.4959225654602051
2.6,2018,2018-06-24,175,0.5318266749382019
2.7,2018,2018-06-24,175,0.6022131443023682
2.8,2018,2018-04-13,103,0.8354504704475403
2.9,2018,2018-05-19,139,0.6347443461418152
3.0,2018,2018-04-13,103,0.8270860314369202
3.1,2018,2018-04-13,103,0.7864687442779541
3.2,2018,2018-09-16,259,0.9379410147666931
3.3,2018,2018-05-07,127,0.9115716814994812
3.4,2018,2018-07-30,211,2.329263210296631
3.5,2018,2018-07-30,211,1.9043669700622559
3.6,2018,2018-09-28,271,1.3291796445846558
3.7,2018,2018-05-07,127,1.7531810998916626
3.8,2018,2018-09-28,271,1.34529447555542
3.9,2018,2018-09-28,271,1.130904197692871
4.0,2018,2018-08-23,235,0.7483896017074585
4.1,2018,2018-03-08,67,1.482479453086853
4.2,2018,2018-05-19,139,1.5804133415222168
4.3,2018,2018-03-20,79,1.5685755014419556
4.4,2018,2018-05-19,139,0.37275344133377075
4.5,2018,2018-05-19,139,0.4471997618675232
