distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,166.28571428571428,115.5,205.0,7,True
0.1,150.85714285714286,104.0,171.5,7,True
0.2,97.71428571428571,84.0,112.5,7,True
0.3,168.0,89.5,246.0,7,True
0.4,157.71428571428572,94.5,222.0,7,True
0.5,149.14285714285714,97.5,187.5,7,True
0.6,142.28571428571428,81.5,204.0,7,True
0.7,176.57142857142858,98.5,254.5,7,True
0.8,210.85714285714286,135.5,276.0,7,True
0.9,204.0,139.0,266.0,7,True
1.0,169.71428571428572,123.5,210.0,7,True
1.1,162.85714285714286,91.0,238.5,7,True
1.2,144.0,80.0,187.0,7,True
1.3,144.0,80.0,187.0,7,True
1.4,171.42857142857142,90.0,262.5,7,True
1.5,132.0,93.5,136.5,7,True
1.6,156.0,103.5,197.5,7,True
1.7,96.0,78.0,112.5,7,True
1.8,121.71428571428571,84.5,116.5,7,True
1.9,169.71428571428572,90.0,274.0,7,True
2.0,176.57142857142858,108.0,239.5,7,True
2.1,135.42857142857142,91.0,180.0,7,True
2.2,152.57142857142858,97.5,202.5,7,True
2.3,157.71428571428572,76.0,250.5,7,True
2.4,166.28571428571428,103.0,224.5,7,True
2.5,176.57142857142858,115.5,223.5,7,True
2.6,197.14285714285714,155.0,237.5,7,True
2.7,150.85714285714286,148.0,176.0,7,True
2.8,154.28571428571428,132.0,177.5,7,True
2.9,164.57142857142858,105.5,202.5,7,True
3.0,125.14285714285714,97.0,156.0,7,True
3.1,144.0,112.5,184.5,7,True
3.2,188.57142857142858,174.0,199.5,7,True
3.3,161.14285714285714,135.5,182.5,7,True
3.4,188.57142857142858,169.5,212.0,7,True
3.5,171.42857142857142,129.5,207.5,7,True
3.6,171.42857142857142,123.5,202.5,7,True
3.7,157.71428571428572,114.0,191.0,7,True
3.8,168.0,119.5,200.5,7,True
3.9,188.57142857142858,163.0,222.5,7,True
4.0,138.85714285714286,88.5,189.5,7,True
4.1,147.42857142857142,111.5,188.5,7,True
4.2,162.85714285714286,118.5,202.5,7,True
4.3,130.28571428571428,83.0,165.5,7,True
4.4,138.85714285714286,101.5,151.5,7,True
4.5,123.42857142857143,101.5,144.5,7,True
4.6,183.42857142857142,132.5,238.5,7,True
4.7,156.0,120.0,194.5,7,True
4.8,156.0,102.0,200.5,7,True
4.9,174.85714285714286,150.5,200.5,7,True
5.0,195.42857142857142,157.5,238.5,7,True
5.1,198.85714285714286,162.0,238.5,7,True
5.2,169.71428571428572,127.5,210.0,7,True
5.3,166.28571428571428,116.5,215.5,7,True
5.4,152.57142857142858,121.0,152.0,7,True
5.5,123.42857142857143,102.5,152.0,7,True
5.6,145.71428571428572,125.0,150.0,7,True
5.7,150.85714285714286,109.5,186.0,7,True
5.8,156.0,127.5,189.5,7,True
5.9,169.71428571428572,118.5,199.5,7,True
6.0,173.14285714285714,109.5,218.5,7,True
6.1,178.28571428571428,124.0,218.5,7,True
6.2,113.14285714285714,104.5,126.0,7,True
6.3,130.28571428571428,102.0,152.5,7,True
6.4,181.71428571428572,115.0,260.5,7,True
6.5,217.71428571428572,167.0,262.0,7,True
6.6,216.0,167.0,280.0,7,True
6.7,209.14285714285714,143.0,280.0,7,True
6.8,198.85714285714286,162.0,246.0,7,True
6.9,195.42857142857142,165.5,246.0,7,True
7.0,258.85714285714283,245.0,279.5,7,True
7.1,144.0,90.0,190.5,7,True
7.2,130.28571428571428,96.5,171.5,7,True
7.3,159.42857142857142,78.5,231.5,7,True
7.4,133.71428571428572,90.0,134.5,7,True
7.5,150.85714285714286,83.0,185.5,7,True
7.6,171.42857142857142,133.0,194.5,7,True
7.7,193.71428571428572,147.5,242.0,7,True
7.8,180.0,134.5,239.0,7,True
7.9,145.71428571428572,120.0,163.5,7,True
8.0,176.57142857142858,126.0,221.5,7,True
8.1,190.28571428571428,159.5,226.5,7,True
8.2,185.14285714285714,145.5,221.5,7,True
8.3,101.14285714285714,78.5,124.5,7,True
8.4,97.71428571428571,78.5,116.0,7,True
8.5,135.42857142857142,99.5,163.0,7,True
8.6,144.0,115.5,160.5,7,True
8.7,128.57142857142858,115.5,145.5,7,True
8.8,171.42857142857142,120.5,199.0,7,True
8.9,192.0,156.0,220.5,7,True
9.0,164.57142857142858,118.0,203.5,7,True
9.1,162.85714285714286,112.0,203.5,7,True
