s_km,x,y,elev_m,thickness_m,vel_mean_md
0.0,549430.0014252438,3977632.124287976,5092.563,36.780594,0.08218415
0.1,549430.0014252437,3977532.124287976,5025.1826,58.19351,0.09009108
0.2,549421.9512048356,3977432.8300909707,4997.194,61.46811,0.097221754
0.3,549386.152073844,3977339.8322697994,4959.139,64.90371,0.10570598
0.4,549330.1562679298,3977257.1722213863,4923.0566,79.68517,0.104602866
0.5,549261.7634833975,3977184.2930307565,4883.49,114.76012,0.10301895
0.6,549221.6069456744,3977093.061098531,4871.395,135.44676,0.10033944
0.7,549196.0113427121,3976996.484526931,4869.8003,155.63936,0.094708145
0.8,549177.8024166939,3976898.1563264322,4866.942,174.24823,0.087626755
0.9,549165.5678008359,3976798.917435872,4863.2065,183.7928,0.08008142
1.0,549155.2950755465,3976699.469237717,4857.923,172.03966,0.07891068
1.1,549147.7535879923,3976599.7540133754,4850.411,163.48303,0.079343826
1.2,549141.8453632327,3976499.9415463246,4840.6865,138.2307,0.076377645
1.3,549137.5016408043,3976400.035930489,4826.7954,121.013794,0.07644851
1.4,549134.0155495992,3976300.103480548,4807.552,117.12002,0.07892332
1.5,549132.1050703251,3976200.121731869,4784.541,128.51129,0.08137544
1.6,549130.1945910511,3976100.1399831898,4770.729,145.1014,0.08733355
1.7,549130.0014252434,3976000.1418285547,4761.5503,161.73274,0.09528062
1.8,549130.0014252432,3975900.1418285547,4745.2197,166.549,0.10796966
1.9,549130.0962586318,3975800.1421305686,4739.1426,165.79478,0.11954085
2.0,549130.7331883871,3975700.144158987,4730.9033,160.48627,0.12257745
2.1,549131.3701181426,3975600.146187405,4721.4995,155.09271,0.12685184
2.2,549132.5721044132,3975500.1541098813,4711.3315,145.20638,0.13087386
2.3,549134.0212275968,3975400.164610223,4700.173,142.54099,0.1331074
2.4,549136.0479226409,3975300.186575856,4684.861,143.66393,0.14119807
2.5,549138.5681303152,3975200.218338134,4669.911,148.06596,0.17225717
2.6,549142.0913520704,3975100.2828019415,4660.0356,158.85889,0.19457524
2.7,549146.3381876115,3975000.375422234,4654.1597,172.59428,0.21516588
2.8,549152.4993001426,3974900.5653992286,4649.2856,188.00677,0.20500764
2.9,549161.6023140823,3974800.9884545966,4645.262,203.7184,0.20299134
3.0,549179.8703022093,3974702.924341703,4633.4375,217.77411,0.2456171
3.1,549221.0491516254,3974612.0137664643,4626.736,229.3771,0.28251117
3.2,549275.7950635409,3974528.419878985,4626.736,243.4363,0.29981083
3.3,549338.4191119304,3974450.5105648846,4618.899,248.33281,0.31446838
3.4,549405.846756916,3974376.685640927,4610.956,253.73138,0.31969455
3.5,549478.2463647996,3974307.8079935834,4603.2188,257.83072,0.32368428
3.6,549557.9206988736,3974247.5291323923,4600.786,259.54706,0.30356985
3.7,549646.2220581378,3974200.8773579807,4592.2607,264.1003,0.26750726
3.8,549740.6872771884,3974168.702372192,4585.6333,263.45438,0.26348245
3.9,549839.3837097463,3974153.4917639345,4580.5957,271.35733,0.28173217
4.0,549939.3237390154,3974153.310759095,4569.785,273.79495,0.32186866
4.1,550039.091738652,3974159.531720466,4570.08,277.02316,0.326331
4.2,550137.0093395528,3974178.596440467,4559.4517,268.43973,0.30379483
4.3,550225.1629868554,3974222.56825605,4556.0933,267.61285,0.2503625
4.4,550323.7999920336,3974238.3308423106,4554.6514,262.91467,0.23216027
4.5,550423.5064779096,3974245.795409545,4553.963,263.59137,0.22571218
4.6,550523.4154124957,3974249.899165739,4545.701,260.33102,0.2053513
4.7,550623.3915420151,3974251.909706641,4540.204,263.759,0.19329739
4.8,550723.3871671198,3974252.5309726014,4523.1,250.57806,0.17377728
4.9,550823.3842696347,3974252.1079199384,4513.932,238.54561,0.1590875
5.0,550923.3687516229,3974250.459235438,4500.47,238.62158,0.1433801
5.1,551023.3115289395,3974247.150797837,4489.52,248.57642,0.14500014
5.2,551123.147192703,3974241.5197597197,4486.0874,262.09448,0.1449661
5.3,551222.726307202,3974232.5059857173,4484.028,269.80045,0.13940229
5.4,551321.5809980328,3974217.7388110035,4480.979,287.52573,0.1423318
5.5,551416.3401834157,3974187.1833390635,4481.3794,287.73895,0.12332835
5.6,551501.6111289202,3974135.180167303,4473.3213,294.546,0.12181899
5.7,551581.0143933982,3974074.4294532016,4470.476,298.11206,0.12549104
5.8,551657.5002562599,3974010.031998444,4456.3867,291.4358,0.125219
5.9,551731.9682169073,3973943.302461802,4448.6494,286.49136,0.11502172
6.0,551804.9962079027,3973874.9936402026,4440.831,274.63696,0.106813625
6.1,551876.9153469101,3973805.5124381087,4440.639,277.35956,0.10253707
6.2,551947.6778805576,3973734.854517286,4428.0444,276.06067,0.100657925
6.3,552017.0883894132,3973662.8862867644,4421.247,278.22083,0.094666965
