distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-08,67
0.1,2018,2018-03-08,67
0.2,2018,2018-03-08,67
0.3,2018,2018-03-08,67
0.4,2018,2018-03-08,67
0.5,2018,2018-03-20,79
0.9,2018,2018-03-20,79
1.0,2018,2018-05-31,151
1.1,2018,2018-05-19,139
1.2,2018,2018-05-19,139
1.3,2018,2018-03-08,67
1.4,2018,2018-03-08,67
1.5,2018,2018-05-19,139
1.6,2018,2018-05-07,127
1.7,2018,2018-03-08,67
1.8,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.1,2018,2018-03-08,67
2.2,2018,2018-05-19,139
2.6,2018,2018-03-08,67
2.7,2018,2018-03-08,67
2.8,2018,2018-03-08,67
2.9,2018,2018-03-08,67
3.0,2018,2018-03-08,67
3.1,2018,2018-03-08,67
3.2,2018,2018-03-08,67
3.7,2018,2018-03-20,79
3.9,2018,2018-05-31,151
4.0,2018,2018-05-31,151
4.1,2018,2018-05-19,139
4.2,2018,2018-05-31,151
4.3,2018,2018-05-31,151
4.4,2018,2018-05-31,151
4.5,2018,2018-03-20,79
4.6,2018,2018-03-08,67
4.7,2018,2018-05-19,139
4.8,2018,2018-05-19,139
5.0,2018,2018-05-19,139
5.1,2018,2018-03-20,79
5.2,2018,2018-05-31,151
5.4,2018,2018-05-31,151
5.5,2018,2018-05-19,139
5.6,2018,2018-05-19,139
5.7,2018,2018-05-07,127
5.8,2018,2018-03-20,79
5.9,2018,2018-03-20,79
6.2,2018,2018-05-19,139
6.6,2018,2018-05-31,151
6.7,2018,2018-03-08,67
6.8,2018,2018-03-08,67
6.9,2018,2018-03-08,67
7.0,2018,2018-03-08,67
7.1,2018,2018-03-08,67
7.2,2018,2018-03-08,67
7.3,2018,2018-03-20,79
7.4,2018,2018-05-07,127
7.6,2018,2018-05-31,151
7.9,2018,2018-03-08,67
8.0,2018,2018-03-08,67
8.1,2018,2018-04-13,103
8.2,2018,2018-04-13,103
8.6,2018,2018-03-08,67
8.9,2018,2018-05-19,139
9.3,2018,2018-05-19,139
11.4,2018,2018-05-31,151
11.5,2018,2018-05-31,151
12.1,2018,2018-05-19,139
12.2,2018,2018-05-19,139
12.3,2018,2018-05-19,139
12.4,2018,2018-05-19,139
12.5,2018,2018-05-19,139
12.6,2018,2018-03-08,67
12.8,2018,2018-05-31,151
12.9,2018,2018-05-31,151
13.0,2018,2018-05-31,151
14.1,2018,2018-03-08,67
14.2,2018,2018-03-08,67
14.3,2018,2018-05-19,139
14.4,2018,2018-05-19,139
14.7,2018,2018-03-08,67
14.8,2018,2018-03-08,67
14.9,2018,2018-03-08,67
15.0,2018,2018-03-08,67
15.1,2018,2018-03-08,67
15.2,2018,2018-04-13,103
15.3,2018,2018-05-31,151
15.4,2018,2018-05-19,139
15.5,2018,2018-05-07,127
15.6,2018,2018-04-13,103
