distance_km,onset_mean_doy,onset_p25_doy,onset_p75_doy,onset_min_doy,onset_max_doy,onset_nyears,onset_valid
0.0,100.75,95.5,111.75,67,123,4,True
0.1,91.25,82.0,105.25,67,106,4,True
0.2,81.16666666666667,67.75,94.5,60,110,6,True
0.3,96.5,69.25,122.25,67,129,4,True
0.4,99.2,84.0,106.0,67,134,5,True
0.5,104.0,79.0,120.0,69,146,5,True
0.6,81.6,62.0,87.0,60,118,5,True
0.7,84.0,62.0,106.0,60,123,5,True
0.8,90.83333333333333,63.75,112.75,60,149,6,True
0.9,92.57142857142857,74.0,104.5,60,149,7,True
1.0,94.6,63.0,105.0,60,151,5,True
1.1,105.0,86.0,132.0,63,139,5,True
1.2,102.33333333333333,84.0,122.0,63,139,3,True
1.3,102.33333333333333,89.0,120.0,67,129,3,True
1.4,106.0,98.0,117.0,67,137,5,True
1.5,113.75,104.0,117.25,101,139,4,True
1.6,102.75,91.5,121.75,63,127,4,True
1.7,86.6,67.0,108.0,63,113,5,True
1.8,89.8,63.0,113.0,60,146,5,True
1.9,86.5,65.25,107.75,60,113,4,True
2.0,97.5,71.25,120.25,60,142,4,True
2.1,74.6,65.0,82.0,60,99,5,True
2.2,92.2,81.0,99.0,60,139,5,True
2.3,104.66666666666667,94.5,116.5,81,125,3,True
2.4,125.4,120.0,142.0,93,147,5,True
2.5,91.8,69.0,106.0,65,147,5,True
2.6,71.0,68.0,73.0,67,77,3,True
2.7,93.5,69.25,118.25,67,146,6,True
2.8,95.8,69.0,120.0,67,146,5,True
2.9,112.6,69.0,146.0,67,161,5,True
3.0,98.25,68.5,124.25,67,137,4,True
3.1,78.0,66.5,79.5,65,111,4,True
3.2,87.0,68.5,90.5,67,137,4,True
3.3,75.0,75.0,75.0,75,75,1,True
3.4,88.0,81.5,94.5,75,101,2,True
3.5,88.0,81.5,94.5,75,101,2,True
3.6,77.66666666666667,72.0,82.0,69,89,3,True
3.7,93.0,76.5,100.5,69,135,4,True
3.8,91.25,75.0,96.75,69,135,4,True
3.9,128.0,104.25,154.75,84,166,4,True
