distance_km,year,peak_date,peak_doy,peak_val
0.0,2018,2018-08-11,223,0.12417882680892944
0.1,2018,2018-09-04,247,0.14214317500591278
0.2,2018,2018-08-11,223,0.14010842144489288
0.3,2018,2018-08-11,223,0.2407258152961731
0.4,2018,2018-04-13,103,0.26316142082214355
0.5,2018,2018-04-13,103,0.2645386755466461
0.6,2018,2018-10-10,283,0.30007031559944153
0.7,2018,2018-06-24,175,0.5624152421951294
0.8,2018,2018-09-28,271,0.4830673933029175
0.9,2018,2018-07-30,211,0.8473975658416748
1.0,2018,2018-07-18,199,1.3228540420532227
1.1,2018,2018-05-31,151,1.098598599433899
1.2,2018,2018-05-31,151,1.0901191234588623
1.3,2018,2018-06-24,175,1.521702527999878
1.4,2018,2018-08-23,235,1.4688947200775146
1.5,2018,2018-05-19,139,1.391748070716858
1.6,2018,2018-05-19,139,0.9758832454681396
1.7,2018,2018-03-20,79,0.3824290633201599
1.8,2018,2018-05-07,127,0.7285396456718445
1.9,2018,2018-06-24,175,0.9869673252105713
2.0,2018,2018-05-19,139,0.9370918869972229
2.1,2018,2018-07-18,199,0.7435567378997803
2.2,2018,2018-05-19,139,0.7462495565414429
2.3,2018,2018-05-19,139,0.7548814415931702
2.4,2018,2018-06-24,175,1.0022794008255005
2.5,2018,2018-06-24,175,1.0228614807128906
2.6,2018,2018-08-11,223,0.9571914076805115
2.7,2018,2018-08-11,223,0.46229788661003113
2.8,2018,2018-10-22,295,0.5181771516799927
2.9,2018,2018-08-11,223,0.4364498555660248
3.0,2018,2018-08-11,223,0.4424349069595337
3.1,2018,2018-08-11,223,0.4626205265522003
3.2,2018,2018-08-11,223,0.519847571849823
3.3,2018,2018-08-11,223,0.5367159247398376
3.4,2018,2018-03-20,79,0.4866985082626343
3.5,2018,2018-03-20,79,0.4824962019920349
3.6,2018,2018-08-23,235,0.4742576479911804
3.7,2018,2018-08-23,235,0.4777168929576874
3.8,2018,2018-10-10,283,0.45714429020881653
3.9,2018,2018-09-04,247,0.4497111141681671
4.0,2018,2018-06-24,175,0.7699509859085083
4.1,2018,2018-06-24,175,0.8387234210968018
4.2,2018,2018-06-24,175,1.3348064422607422
4.3,2018,2018-07-18,199,1.6685203313827515
4.4,2018,2018-06-24,175,1.694591999053955
4.5,2018,2018-05-07,127,0.5866706967353821
4.6,2018,2018-09-04,247,0.6468625664710999
4.7,2018,2018-10-10,283,0.4696284830570221
4.8,2018,2018-05-19,139,0.5555429458618164
4.9,2018,2018-04-13,103,0.5147782564163208
5.0,2018,2018-05-19,139,0.9104195237159729
5.1,2018,2018-06-24,175,1.242310881614685
5.2,2018,2018-05-31,151,0.7508125305175781
5.3,2018,2018-07-30,211,1.1373437643051147
5.4,2018,2018-06-24,175,0.9649036526679993
5.5,2018,2018-06-24,175,0.7605863809585571
5.6,2018,2018-05-31,151,0.9647587537765503
5.7,2018,2018-05-31,151,1.0182576179504395
5.8,2018,2018-05-19,139,2.0964834690093994
5.9,2018,2018-05-19,139,1.7780336141586304
6.0,2018,2018-05-19,139,1.3077024221420288
6.1,2018,2018-10-22,295,1.2174450159072876
6.2,2018,2018-05-31,151,1.4919350147247314
6.3,2018,2018-10-10,283,0.7278002500534058
6.4,2018,2018-10-10,283,0.7176018357276917
6.5,2018,2018-07-18,199,1.195073127746582
6.6,2018,2018-05-31,151,1.3407610654830933
6.7,2018,2018-10-10,283,1.4971380233764648
6.8,2018,2018-09-16,259,2.0238540172576904
6.9,2018,2018-05-19,139,2.2014496326446533
7.0,2018,2018-05-07,127,2.1452548503875732
7.1,2018,2018-10-10,283,2.019923448562622
7.2,2018,2018-10-10,283,1.0166412591934204
7.3,2018,2018-05-07,127,1.379150629043579
7.4,2018,2018-10-10,283,1.64872145652771
7.5,2018,2018-10-10,283,1.4597804546356201
7.6,2018,2018-10-10,283,0.9783213138580322
7.7,2018,2018-07-30,211,1.579131007194519
7.8,2018,2018-08-23,235,0.8594788908958435
7.9,2018,2018-08-23,235,0.8567875027656555
8.0,2018,2018-08-23,235,0.829330325126648
8.1,2018,2018-08-23,235,0.533218264579773
8.2,2018,2018-07-30,211,1.7470409870147705
8.3,2018,2018-05-19,139,0.5032064914703369
8.4,2018,2018-05-19,139,0.6730663180351257
8.5,2018,2018-09-16,259,1.1994339227676392
8.6,2018,2018-09-16,259,1.0846147537231445
8.7,2018,2018-09-28,271,1.2149848937988281
8.8,2018,2018-06-24,175,1.0821638107299805
8.9,2018,2018-05-31,151,1.8038307428359985
9.0,2018,2018-05-19,139,0.5545189380645752
9.1,2018,2018-07-30,211,0.566121518611908
9.2,2018,2018-05-19,139,0.559076189994812
9.3,2018,2018-05-19,139,0.5576475858688354
9.4,2018,2018-05-19,139,0.5568163394927979
9.5,2018,2018-05-19,139,0.5710663199424744
9.6,2018,2018-05-19,139,0.6457948684692383
9.7,2018,2018-09-04,247,0.5601685047149658
9.8,2018,2018-03-08,67,1.1983712911605835
9.9,2018,2018-03-08,67,1.9219346046447754
10.0,2018,2018-08-23,235,1.265333652496338
10.1,2018,2018-03-08,67,1.5409154891967773
10.2,2018,2018-08-11,223,0.7588979601860046
10.3,2018,2018-08-11,223,0.6803703308105469
10.4,2018,2018-08-11,223,0.6066997647285461
10.5,2018,2018-07-18,199,0.6161350011825562
10.6,2018,2018-07-18,199,0.6266397833824158
10.7,2018,2018-07-18,199,0.5995181202888489
10.8,2018,2018-07-30,211,0.5553268790245056
10.9,2018,2018-07-30,211,0.5806411504745483
11.0,2018,2018-07-30,211,0.6270528435707092
11.1,2018,2018-07-30,211,0.6101489663124084
11.2,2018,2018-07-30,211,0.6089984178543091
11.3,2018,2018-07-30,211,0.5470103025436401
11.4,2018,2018-07-30,211,0.5441957116127014
11.5,2018,2018-07-30,211,0.5330143570899963
11.6,2018,2018-06-24,175,0.5526058673858643
11.7,2018,2018-06-24,175,0.5604345798492432
11.8,2018,2018-06-24,175,0.6160933375358582
11.9,2018,2018-06-24,175,0.5759568214416504
12.0,2018,2018-06-24,175,0.6070998907089233
12.1,2018,2018-06-24,175,0.5899987816810608
12.2,2018,2018-06-24,175,0.6600355505943298
12.3,2018,2018-06-24,175,0.5512753129005432
12.4,2018,2018-06-24,175,0.5020447373390198
12.5,2018,2018-06-24,175,0.4765135943889618
12.6,2018,2018-06-24,175,0.4733770191669464
12.7,2018,2018-06-24,175,0.4556093215942383
12.8,2018,2018-07-30,211,0.46232637763023376
12.9,2018,2018-07-30,211,0.4456479847431183
13.0,2018,2018-06-24,175,0.4439058303833008
13.1,2018,2018-06-24,175,0.4203118085861206
13.2,2018,2018-06-24,175,0.43987512588500977
13.3,2018,2018-06-24,175,0.49593204259872437
13.4,2018,2018-06-24,175,0.5092206001281738
13.5,2018,2018-06-24,175,0.4531337320804596
13.6,2018,2018-06-24,175,0.4621831774711609
13.7,2018,2018-06-24,175,0.3831770718097687
13.8,2018,2018-05-19,139,0.4156436622142792
13.9,2018,2018-05-19,139,0.35605648159980774
14.0,2018,2018-05-19,139,0.3834984600543976
14.1,2018,2018-05-19,139,0.3338254690170288
14.2,2018,2018-05-31,151,0.27384960651397705
14.3,2018,2018-05-19,139,0.25906166434288025
14.4,2018,2018-05-19,139,0.24753566086292267
14.5,2018,2018-10-22,295,0.32901090383529663
14.6,2018,2018-10-22,295,0.23483598232269287
14.7,2018,2018-10-10,283,0.3447315990924835
14.8,2018,2018-06-24,175,0.21021950244903564
14.9,2018,2018-06-24,175,0.21792256832122803
15.0,2018,2018-05-31,151,0.2749539017677307
15.1,2018,2018-05-31,151,0.29862797260284424
15.2,2018,2018-09-04,247,0.36928048729896545
15.3,2018,2018-05-31,151,0.29282861948013306
15.4,2018,2018-09-28,271,0.25246208906173706
15.5,2018,2018-07-30,211,0.16953574120998383
15.6,2018,2018-05-19,139,0.19920480251312256
15.7,2018,2018-05-19,139,0.2031269520521164
15.8,2018,2018-06-24,175,0.2036070078611374
15.9,2018,2018-06-24,175,0.21774430572986603
16.0,2018,2018-06-24,175,0.21330250799655914
16.1,2018,2018-06-24,175,0.16855986416339874
16.2,2018,2018-06-24,175,0.169429749250412
16.3,2018,2018-09-28,271,0.2389204502105713
16.4,2018,2018-09-28,271,0.3383059799671173
16.5,2018,2018-09-28,271,0.32202035188674927
16.6,2018,2018-09-16,259,0.1636871099472046
16.7,2018,2018-09-04,247,0.11730051040649414
16.8,2018,2018-07-18,199,0.095438651740551
16.9,2018,2018-09-16,259,0.11539145559072495
17.0,2018,2018-04-13,103,0.1587284952402115
17.1,2018,2018-03-08,67,0.16338422894477844
17.2,2018,2018-04-13,103,0.179351344704628
17.3,2018,2018-04-13,103,0.20324409008026123
17.4,2018,2018-04-13,103,0.1474284529685974
17.5,2018,2018-07-18,199,0.11284025758504868
17.6,2018,2018-10-22,295,0.10916393995285034
17.7,2018,2018-06-24,175,0.16262435913085938
17.8,2018,2018-04-13,103,0.15671367943286896
17.9,2018,2018-05-31,151,0.19687539339065552
18.0,2018,2018-08-11,223,0.20449289679527283
18.1,2018,2018-03-20,79,0.16717804968357086
18.2,2018,2018-05-07,127,0.36749738454818726
18.3,2018,2018-08-11,223,0.40633323788642883
18.4,2018,2018-07-30,211,0.2190685123205185
18.5,2018,2018-08-11,223,0.23587264120578766
18.6,2018,2018-08-11,223,0.2940554618835449
18.7,2018,2018-07-30,211,0.20978018641471863
18.8,2018,2018-10-10,283,0.3371983766555786
18.9,2018,2018-10-10,283,0.29143187403678894
19.0,2018,2018-08-11,223,0.22349998354911804
19.1,2018,2018-07-30,211,0.22991590201854706
19.2,2018,2018-07-30,211,0.23426932096481323
19.3,2018,2018-07-30,211,0.23573419451713562
19.4,2018,2018-07-30,211,0.22663508355617523
19.5,2018,2018-07-18,199,0.22581210732460022
19.6,2018,2018-07-18,199,0.23441411554813385
19.7,2018,2018-07-30,211,0.22601507604122162
19.8,2018,2018-07-30,211,0.2212999165058136
19.9,2018,2018-07-30,211,0.21014702320098877
20.0,2018,2018-07-18,199,0.2309824526309967
20.1,2018,2018-07-18,199,0.2337636649608612
20.2,2018,2018-07-18,199,0.20745986700057983
20.3,2018,2018-07-30,211,0.17485648393630981
20.4,2018,2018-08-11,223,0.16098840534687042
20.5,2018,2018-08-23,235,0.1765870451927185
20.6,2018,2018-08-23,235,0.18713709712028503
20.7,2018,2018-08-23,235,0.1769457310438156
20.8,2018,2018-08-11,223,0.17168520390987396
20.9,2018,2018-08-11,223,0.1921597719192505
21.0,2018,2018-08-11,223,0.2146335393190384
21.1,2018,2018-08-11,223,0.20562216639518738
21.2,2018,2018-08-11,223,0.20420996844768524
21.3,2018,2018-08-11,223,0.23236843943595886
21.4,2018,2018-03-20,79,0.1942526251077652
21.5,2018,2018-03-20,79,0.20164242386817932
21.6,2018,2018-03-20,79,0.18222320079803467
21.7,2018,2018-08-11,223,0.23873113095760345
21.8,2018,2018-08-11,223,0.22560244798660278
21.9,2018,2018-08-11,223,0.20932109653949738
22.0,2018,2018-08-11,223,0.19987381994724274
22.1,2018,2018-08-11,223,0.2114463746547699
22.2,2018,2018-08-11,223,0.20296230912208557
22.3,2018,2018-05-07,127,0.20206306874752045
22.4,2018,2018-05-07,127,0.17788369953632355
22.5,2018,2018-08-11,223,0.18279466032981873
22.6,2018,2018-08-11,223,0.18908707797527313
22.7,2018,2018-08-11,223,0.1947130262851715
22.8,2018,2018-08-11,223,0.189330592751503
22.9,2018,2018-08-11,223,0.1921851634979248
23.0,2018,2018-08-11,223,0.19843053817749023
23.1,2018,2018-08-11,223,0.17846855521202087
23.2,2018,2018-08-11,223,0.1685175597667694
23.3,2018,2018-08-11,223,0.14614398777484894
23.4,2018,2018-05-31,151,0.17622750997543335
23.5,2018,2018-05-31,151,0.1902468204498291
23.6,2018,2018-05-31,151,0.18437731266021729
23.7,2018,2018-05-31,151,0.15707261860370636
23.8,2018,2018-05-31,151,0.15396879613399506
23.9,2018,2018-05-31,151,0.1712934672832489
24.0,2018,2018-05-31,151,0.18150000274181366
24.1,2018,2018-05-31,151,0.17483074963092804
24.2,2018,2018-07-30,211,0.19976480305194855
24.3,2018,2018-05-31,151,0.169644296169281
24.4,2018,2018-07-30,211,0.19515830278396606
24.5,2018,2018-05-19,139,0.17339979112148285
24.6,2018,2018-05-19,139,0.19000068306922913
24.7,2018,2018-05-19,139,0.17638026177883148
24.8,2018,2018-05-19,139,0.15451812744140625
24.9,2018,2018-08-23,235,0.1651870608329773
25.0,2018,2018-08-23,235,0.16505315899848938
25.1,2018,2018-07-30,211,0.14939451217651367
25.2,2018,2018-07-30,211,0.17192214727401733
25.3,2018,2018-07-30,211,0.1800188273191452
25.4,2018,2018-07-30,211,0.17427851259708405
25.5,2018,2018-07-30,211,0.1731368601322174
25.6,2018,2018-07-30,211,0.18966196477413177
25.7,2018,2018-05-19,139,0.1230132207274437
25.8,2018,2018-10-22,295,0.15254522860050201
25.9,2018,2018-10-22,295,0.19005799293518066
26.0,2018,2018-07-30,211,0.20604871213436127
26.1,2018,2018-05-19,139,0.1967214196920395
26.2,2018,2018-05-19,139,0.209604412317276
26.3,2018,2018-05-31,151,0.1499740481376648
26.4,2018,2018-05-19,139,0.22886933386325836
26.5,2018,2018-05-31,151,0.17086836695671082
26.6,2018,2018-03-20,79,0.16130048036575317
26.7,2018,2018-03-20,79,0.1831754893064499
26.8,2018,2018-05-31,151,0.18028298020362854
26.9,2018,2018-08-11,223,0.133213609457016
27.0,2018,2018-08-11,223,0.14374157786369324
27.1,2018,2018-08-11,223,0.15907859802246094
27.2,2018,2018-08-11,223,0.1613304615020752
27.3,2018,2018-08-11,223,0.15340015292167664
27.4,2018,2018-09-16,259,0.15336300432682037
27.5,2018,2018-06-24,175,0.15826891362667084
27.6,2018,2018-06-24,175,0.16406644880771637
27.7,2018,2018-06-24,175,0.15446607768535614
27.8,2018,2018-10-22,295,0.13940902054309845
27.9,2018,2018-09-16,259,0.16272559762001038
28.0,2018,2018-05-19,139,0.20579993724822998
28.1,2018,2018-10-22,295,0.1934998482465744
28.2,2018,2018-10-22,295,0.17560312151908875
28.3,2018,2018-05-31,151,0.18512021005153656
28.4,2018,2018-05-31,151,0.16261763870716095
28.5,2018,2018-05-31,151,0.16443033516407013
28.6,2018,2018-05-31,151,0.16585811972618103
28.7,2018,2018-08-11,223,0.1733274906873703
28.8,2018,2018-07-30,211,0.16148653626441956
28.9,2018,2018-06-24,175,0.14553800225257874
29.0,2018,2018-06-24,175,0.14368584752082825
29.1,2018,2018-05-31,151,0.15567708015441895
29.2,2018,2018-03-20,79,0.20422875881195068
29.3,2018,2018-08-11,223,0.25362974405288696
29.4,2018,2018-09-16,259,0.25689801573753357
29.5,2018,2018-08-11,223,0.29264622926712036
29.6,2018,2018-05-07,127,0.3171606957912445
29.7,2018,2018-07-30,211,0.31092315912246704
29.8,2018,2018-06-24,175,0.3997160494327545
29.9,2018,2018-05-31,151,0.4241795539855957
30.0,2018,2018-05-19,139,0.4397088289260864
30.1,2018,2018-05-19,139,0.43329864740371704
30.2,2018,2018-05-19,139,0.4271441400051117
30.3,2018,2018-05-19,139,0.4192473590373993
30.4,2018,2018-05-19,139,0.41871747374534607
30.5,2018,2018-05-19,139,0.3962169885635376
30.6,2018,2018-05-31,151,0.38446947932243347
30.7,2018,2018-05-31,151,0.3814730942249298
30.8,2018,2018-05-31,151,0.3729702830314636
30.9,2018,2018-05-31,151,0.36967021226882935
31.0,2018,2018-05-19,139,0.3511185348033905
31.1,2018,2018-05-19,139,0.34702929854393005
31.2,2018,2018-05-31,151,0.3476303219795227
31.3,2018,2018-05-31,151,0.33995625376701355
31.4,2018,2018-05-31,151,0.32920390367507935
31.5,2018,2018-05-19,139,0.31270599365234375
31.6,2018,2018-05-19,139,0.3243975043296814
31.7,2018,2018-05-19,139,0.3405347168445587
31.8,2018,2018-05-19,139,0.33185139298439026
31.9,2018,2018-10-22,295,0.28661102056503296
32.0,2018,2018-10-22,295,0.28965523838996887
32.1,2018,2018-07-30,211,0.28611209988594055
32.2,2018,2018-08-11,223,0.29133400321006775
32.3,2018,2018-08-11,223,0.2918647825717926
32.4,2018,2018-07-30,211,0.30276578664779663
32.5,2018,2018-08-11,223,0.2998940348625183
32.6,2018,2018-05-19,139,0.2812366187572479
32.7,2018,2018-05-19,139,0.26307785511016846
32.8,2018,2018-07-30,211,0.2821740508079529
32.9,2018,2018-08-11,223,0.28281646966934204
33.0,2018,2018-08-11,223,0.2814158499240875
33.1,2018,2018-05-19,139,0.2658860683441162
33.2,2018,2018-05-19,139,0.26025980710983276
33.3,2018,2018-08-11,223,0.26746606826782227
33.4,2018,2018-05-19,139,0.26516470313072205
33.5,2018,2018-05-19,139,0.2612376809120178
33.6,2018,2018-05-19,139,0.2524193525314331
33.7,2018,2018-05-31,151,0.23746933043003082
33.8,2018,2018-05-31,151,0.22651949524879456
33.9,2018,2018-05-31,151,0.22290121018886566
34.0,2018,2018-05-31,151,0.21987465023994446
34.1,2018,2018-05-31,151,0.22263985872268677
34.2,2018,2018-06-24,175,0.21315158903598785
34.3,2018,2018-08-11,223,0.23248618841171265
34.4,2018,2018-05-31,151,0.2334117293357849
34.5,2018,2018-05-19,139,0.22949650883674622
34.6,2018,2018-05-19,139,0.22565357387065887
34.7,2018,2018-05-31,151,0.21218116581439972
34.8,2018,2018-07-30,211,0.18343614041805267
34.9,2018,2018-07-30,211,0.17807745933532715
35.0,2018,2018-05-19,139,0.20312094688415527
35.1,2018,2018-08-11,223,0.19333286583423615
35.2,2018,2018-08-11,223,0.1905524581670761
35.3,2018,2018-08-11,223,0.1898290365934372
35.4,2018,2018-05-31,151,0.19602802395820618
35.5,2018,2018-05-31,151,0.19344818592071533
35.6,2018,2018-05-31,151,0.19206760823726654
35.7,2018,2018-05-31,151,0.195575550198555
35.8,2018,2018-06-24,175,0.1810622662305832
35.9,2018,2018-07-30,211,0.17719782888889313
36.0,2018,2018-07-18,199,0.16770435869693756
36.1,2018,2018-07-30,211,0.19263887405395508
36.2,2018,2018-08-23,235,0.1896228939294815
36.3,2018,2018-08-23,235,0.1771211475133896
36.4,2018,2018-05-31,151,0.16841822862625122
36.5,2018,2018-09-16,259,0.16783370077610016
36.6,2018,2018-08-11,223,0.14501667022705078
36.7,2018,2018-08-11,223,0.14891095459461212
36.8,2018,2018-08-11,223,0.15596599876880646
36.9,2018,2018-08-11,223,0.15433306992053986
37.0,2018,2018-03-20,79,0.17062494158744812
37.1,2018,2018-05-31,151,0.17536212503910065
37.2,2018,2018-05-31,151,0.17411640286445618
37.3,2018,2018-05-31,151,0.16578899323940277
37.4,2018,2018-04-13,103,0.13894689083099365
37.5,2018,2018-05-31,151,0.153398334980011
37.6,2018,2018-09-04,247,0.1576792448759079
37.7,2018,2018-05-31,151,0.10396358370780945
37.8,2018,2018-05-31,151,0.10507391393184662
37.9,2018,2018-09-04,247,0.14714369177818298
38.0,2018,2018-08-11,223,0.1508941799402237
38.1,2018,2018-08-23,235,0.1574947088956833
38.2,2018,2018-09-28,271,0.16408772766590118
38.3,2018,2018-07-30,211,0.1609758883714676
38.4,2018,2018-07-30,211,0.18458548188209534
38.5,2018,2018-08-11,223,0.12816046178340912
38.6,2018,2018-07-30,211,0.20042389631271362
38.7,2018,2018-09-16,259,0.19970479607582092
38.8,2018,2018-09-16,259,0.18385210633277893
38.9,2018,2018-08-11,223,0.13349992036819458
39.0,2018,2018-08-11,223,0.12441841512918472
39.1,2018,2018-08-11,223,0.1104525774717331
39.2,2018,2018-09-16,259,0.09834712743759155
39.3,2018,2018-07-18,199,0.09651780873537064
39.4,2018,2018-05-31,151,0.09820430725812912
39.5,2018,2018-08-11,223,0.09228082001209259
