distance_km,peak_mean_doy,peak_p25_doy,peak_p75_doy,peak_nyears,peak_valid
0.0,195.42857142857142,165.5,221.0,7,True
0.1,219.42857142857142,182.5,254.0,7,True
0.2,193.71428571428572,175.5,219.5,7,True
0.3,214.28571428571428,205.0,246.5,7,True
0.4,159.42857142857142,119.0,200.5,7,True
0.5,159.42857142857142,113.0,197.0,7,True
0.6,193.71428571428572,174.0,211.5,7,True
0.7,198.85714285714286,180.0,221.0,7,True
0.8,198.85714285714286,167.5,247.5,7,True
0.9,169.71428571428572,105.5,225.5,7,True
1.0,180.0,151.5,202.5,7,True
1.1,178.28571428571428,140.0,191.0,7,True
1.2,154.28571428571428,109.5,183.5,7,True
1.3,200.57142857142858,162.0,259.5,7,True
1.4,166.28571428571428,128.5,200.0,7,True
1.5,162.85714285714286,138.0,180.0,7,True
1.6,180.0,135.5,222.0,7,True
1.7,185.14285714285714,147.5,221.0,7,True
1.8,205.71428571428572,180.5,235.0,7,True
1.9,169.71428571428572,151.5,191.5,7,True
2.0,154.28571428571428,138.0,152.5,7,True
2.1,130.28571428571428,91.0,152.5,7,True
2.2,181.71428571428572,96.5,279.5,7,True
2.3,140.57142857142858,127.5,161.5,7,True
2.4,169.71428571428572,137.5,185.0,7,True
2.5,166.28571428571428,145.5,182.0,7,True
2.6,181.71428571428572,162.5,213.5,7,True
2.7,185.14285714285714,150.0,240.0,7,True
2.8,186.85714285714286,137.0,254.5,7,True
2.9,180.0,140.5,214.5,7,True
3.0,186.85714285714286,139.0,251.0,7,True
3.1,156.0,95.0,215.0,7,True
3.2,204.0,163.5,255.5,7,True
3.3,197.14285714285714,168.5,241.0,7,True
3.4,180.0,162.0,216.0,7,True
3.5,174.85714285714286,85.5,241.0,7,True
3.6,162.85714285714286,115.0,215.0,7,True
3.7,214.28571428571428,205.5,238.5,7,True
3.8,193.71428571428572,145.0,252.5,7,True
3.9,171.42857142857142,109.5,238.5,7,True
4.0,198.85714285714286,168.0,227.5,7,True
4.1,161.14285714285714,144.5,171.5,7,True
4.2,161.14285714285714,144.0,171.5,7,True
4.3,185.14285714285714,158.5,218.5,7,True
4.4,169.71428571428572,141.5,191.0,7,True
4.5,185.14285714285714,130.5,241.5,7,True
4.6,180.0,127.5,231.5,7,True
4.7,157.71428571428572,126.5,185.5,7,True
4.8,186.85714285714286,150.0,246.0,7,True
4.9,161.14285714285714,101.0,203.0,7,True
5.0,162.85714285714286,134.5,204.0,7,True
5.1,185.14285714285714,158.0,212.5,7,True
5.2,168.0,146.0,186.5,7,True
5.3,219.42857142857142,184.0,259.0,7,True
5.4,181.71428571428572,127.5,217.0,7,True
5.5,173.14285714285714,117.5,225.5,7,True
5.6,176.57142857142858,155.0,199.0,7,True
5.7,144.0,122.5,169.0,7,True
5.8,169.71428571428572,150.0,202.5,7,True
5.9,161.14285714285714,143.0,175.5,7,True
6.0,174.85714285714286,129.5,223.0,7,True
6.1,174.85714285714286,119.0,209.5,7,True
6.2,144.0,115.5,146.0,7,True
6.3,157.71428571428572,115.5,193.0,7,True
6.4,169.71428571428572,93.5,229.0,7,True
6.5,183.42857142857142,140.5,226.5,7,True
6.6,200.57142857142858,160.0,231.5,7,True
6.7,217.71428571428572,184.0,251.0,7,True
6.8,183.42857142857142,163.5,214.5,7,True
6.9,156.0,105.5,198.0,7,True
7.0,171.42857142857142,140.0,206.5,7,True
7.1,174.85714285714286,141.5,200.5,7,True
7.2,173.14285714285714,131.5,200.5,7,True
7.3,214.28571428571428,178.0,251.0,7,True
7.4,186.85714285714286,163.5,229.0,7,True
7.5,181.71428571428572,127.5,233.5,7,True
7.6,154.28571428571428,111.5,182.5,7,True
7.7,156.0,132.0,190.5,7,True
7.8,169.71428571428572,127.5,219.5,7,True
7.9,188.57142857142858,160.0,219.5,7,True
8.0,190.28571428571428,157.5,219.5,7,True
8.1,198.85714285714286,177.5,219.5,7,True
8.2,176.57142857142858,163.5,202.5,7,True
8.3,157.71428571428572,130.5,191.0,7,True
8.4,178.28571428571428,158.5,200.5,7,True
8.5,176.57142857142858,149.5,205.5,7,True
8.6,178.28571428571428,135.5,216.0,7,True
8.7,162.85714285714286,120.0,188.5,7,True
8.8,205.71428571428572,168.0,238.5,7,True
8.9,192.0,156.0,224.5,7,True
9.0,193.71428571428572,150.0,228.0,7,True
9.1,176.57142857142858,130.0,214.5,7,True
9.2,168.0,141.5,195.5,7,True
9.3,188.57142857142858,144.0,238.5,7,True
9.4,171.42857142857142,135.5,195.5,7,True
9.5,149.14285714285714,121.0,157.5,7,True
9.6,174.85714285714286,144.0,193.5,7,True
9.7,198.85714285714286,188.5,202.5,7,True
9.8,152.57142857142858,125.5,190.0,7,True
9.9,200.57142857142858,174.5,247.0,7,True
10.0,222.85714285714286,190.0,260.0,7,True
10.1,176.57142857142858,165.5,200.5,7,True
10.2,210.85714285714286,190.0,236.0,7,True
10.3,190.28571428571428,168.5,213.5,7,True
10.4,219.42857142857142,184.0,254.0,7,True
10.5,181.71428571428572,163.5,201.5,7,True
10.6,185.14285714285714,168.5,198.0,7,True
10.7,197.14285714285714,168.5,198.0,7,True
10.8,212.57142857142858,181.5,236.0,7,True
10.9,168.0,123.5,204.0,7,True
11.0,174.85714285714286,137.0,204.0,7,True
11.1,197.14285714285714,174.5,204.0,7,True
11.2,174.85714285714286,151.0,201.5,7,True
11.3,176.57142857142858,150.0,201.5,7,True
11.4,188.57142857142858,163.5,207.5,7,True
11.5,197.14285714285714,163.5,238.5,7,True
11.6,190.28571428571428,160.0,220.5,7,True
11.7,195.42857142857142,163.5,225.5,7,True
11.8,195.42857142857142,163.5,225.5,7,True
11.9,186.85714285714286,163.5,187.5,7,True
12.0,185.14285714285714,163.5,187.5,7,True
12.1,197.14285714285714,167.0,218.5,7,True
12.2,178.28571428571428,163.5,179.0,7,True
12.3,168.0,163.5,179.0,7,True
12.4,188.57142857142858,167.0,190.0,7,True
12.5,180.0,167.0,190.0,7,True
12.6,180.0,167.0,190.0,7,True
12.7,173.14285714285714,140.5,173.0,7,True
12.8,180.0,142.5,191.0,7,True
12.9,193.71428571428572,140.5,242.0,7,True
13.0,161.14285714285714,136.0,170.5,7,True
13.1,173.14285714285714,140.5,173.0,7,True
13.2,193.71428571428572,151.5,231.5,7,True
13.3,183.42857142857142,139.0,219.5,7,True
13.4,193.71428571428572,156.0,221.0,7,True
13.5,198.85714285714286,168.5,230.5,7,True
13.6,195.42857142857142,173.0,212.5,7,True
13.7,178.28571428571428,145.5,187.5,7,True
13.8,159.42857142857142,124.5,187.5,7,True
13.9,174.85714285714286,140.0,184.0,7,True
14.0,164.57142857142858,129.5,169.5,7,True
14.1,173.14285714285714,146.0,180.5,7,True
14.2,219.42857142857142,163.5,287.5,7,True
14.3,188.57142857142858,150.0,222.0,7,True
14.4,190.28571428571428,152.5,223.0,7,True
14.5,222.85714285714286,174.5,275.5,7,True
14.6,209.14285714285714,163.5,275.5,7,True
14.7,173.14285714285714,119.0,224.5,7,True
14.8,164.57142857142858,119.0,179.0,7,True
14.9,166.28571428571428,140.5,179.0,7,True
15.0,186.85714285714286,156.0,218.5,7,True
15.1,169.71428571428572,152.0,174.5,7,True
15.2,205.71428571428572,157.5,266.0,7,True
15.3,193.71428571428572,156.0,234.0,7,True
15.4,200.57142857142858,163.5,242.0,7,True
15.5,171.42857142857142,107.0,224.0,7,True
15.6,174.85714285714286,119.0,231.5,7,True
15.7,149.14285714285714,107.0,163.0,7,True
15.8,150.85714285714286,107.0,180.0,7,True
15.9,150.85714285714286,80.5,218.0,7,True
16.0,173.14285714285714,67.5,269.5,7,True
16.1,178.28571428571428,114.0,237.5,7,True
16.2,198.85714285714286,152.0,240.0,7,True
16.3,185.14285714285714,132.5,251.5,7,True
16.4,217.71428571428572,169.5,275.5,7,True
16.5,209.14285714285714,151.5,274.5,7,True
